;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g285;-0.11;-0.51;0.19;0.36;g285;0.26;0.23;-0.52;0.16;g285;-0.19;0.01;0.01;-0.18;g285;0.11;0.07;0.08;0.46;g285;-0.15;-0.3;0.21;0.02;g285;0.29;-0.07;0.09;0.11




;c0;c0;c0;c0;c0;c0;;c1;c1;c1;c1;c1;c1;;c2;c2;c2;c2;c2;c2;;c3;c3;c3;c3;c3;c3;;
;t8;t9;t10;t11;t12;t13;;t8;t9;t10;t11;t12;t13;;t8;t9;t10;t11;t12;t13;;t8;t9;t10;t11;t12;t13;;
g156;0.49;-0.1;0.41;-0.35;-0.16;-0.35;g156;0;0;0;0;0;0;g156;-1.44;0.37;-0.12;0;-0.44;1.47;g156;-0.11;0.26;0.14;-0.9;-0.9;-0.04
g157;-0.14;0.2;-0.28;0.13;0.17;0.06;g157;-0.06;0;0;0;-0.02;0;g157;-0.11;0.87;0.31;0.06;0;-0.01;g157;-0.1;0.24;-0.05;0.15;0.25;0.08
g158;-0.09;-0.12;0.23;0.25;-0.11;-0.27;g158;0;0;0;0;0;0;g158;-0.18;-0.09;0.15;-0.07;0.13;-0.15;g158;0.21;0.01;-0.1;0.09;-0.45;-0.1
g159;-0.37;0.38;-0.29;0.27;-0.12;0.06;g159;0.08;-0.02;-0.01;0.19;0.48;0.14;g159;0.11;0.1;0.22;0.1;0.47;-0.09;g159;0.21;0.22;-0.09;0.46;0.04;0.33
g160;0.12;-0.13;0.38;0.11;-0.26;-0.18;g160;0;0;0;0;0;0;g160;-0.11;-0.46;-0.33;-0.75;-0.58;-0.31;g160;-0.02;-0.06;-0.43;-0.13;-0.04;-0.06
g161;-0.06;0.23;-0.48;0.13;0.04;0.13;g161;0.46;-0.6;0.25;-0.11;-0.22;0;g161;-0.07;-0.85;-0.43;-0.59;-0.02;-0.17;g161;-0.09;0;-0.16;0.17;-0.53;0.14
g162;-0.01;0.06;0.27;0.25;-0.01;-0.19;g162;0;0;0;0;0;0;g162;-0.04;0.58;0.38;0.4;0;-0.07;g162;0.1;0.04;-0.37;0.53;0.34;0.09
g163;0.03;0.25;0.06;0.26;0.03;0.05;g163;0.41;-4.05;0.8;0.78;0.92;0.85;g163;-0.03;0.35;0.27;0.23;0.14;-0.03;g163;0.16;0.4;-0.22;0.42;0.31;0.31
g164;0.02;0.17;-0.38;-0.14;-0.06;0.17;g164;-0.3;-0.4;-0.38;-0.59;-0.01;0.1;g164;0.18;-0.39;-0.48;0.13;0.46;0.26;g164;0.05;-0.04;0.31;-0.19;-0.48;-0.19
g165;0.01;0.09;-0.32;-0.03;-0.09;0.24;g165;-0.3;-0.6;-0.05;-0.21;0.23;0.31;g165;0.05;-0.16;-0.36;-0.05;0.33;0.36;g165;0.31;0.25;0.23;-0.06;0.05;-0.02
g166;0.11;0.12;-0.33;0.15;0.28;0.2;g166;0.06;-0.34;-0.04;0.37;-0.32;-0.12;g166;-0.17;-0.08;-0.37;-0.23;-0.38;0;g166;-0.02;0.58;-0.39;-0.78;-0.64;-0.41
g167;-0.02;-0.07;-0.2;-0.08;-0.07;0.1;g167;0;-0.09;0;0.37;0.43;-0.01;g167;-0.02;-0.2;-0.3;-0.29;-0.1;-0.12;g167;0.29;0.14;-0.4;-0.13;-0.29;0.14
g168;-0.04;0.14;-0.02;-0.15;-0.07;0;g168;0;0;0;0;0;0;g168;0.06;0.33;-0.1;0.1;0.29;-0.09;g168;0.12;0.05;-0.4;0.54;0.24;0.2
g169;0.35;0.25;0.06;0.13;0.14;-0.1;g169;0;0;0;0;0;0;g169;-0.07;0.24;-0.17;-0.09;-0.13;-0.24;g169;0.48;-0.54;-0.41;0.38;0.01;0.43
g170;0.2;0.05;0.25;0.05;-0.05;-0.3;g170;-0.5;0;-0.41;0.17;-0.5;0.04;g170;-0.1;0.84;0.4;0.29;-0.05;0;g170;0.21;-0.05;-0.05;0.38;0.36;0.3
g171;-0.03;-0.26;-0.17;-0.26;0.09;-0.33;g171;0;0;0;0;0.37;0;g171;0.09;0.33;0.13;-0.04;-0.18;-0.65;g171;0.24;0.04;0.18;0.03;0.03;-0.13
g172;0.36;-0.04;-0.4;0.01;0.05;-0.46;g172;0.06;-0.18;-0.33;0.41;-0.13;-0.03;g172;0.09;0.36;0.03;-0.17;-0.15;0;g172;0.3;0.05;-0.19;-0.13;0.36;0
g173;-0.02;0.03;-0.03;0.41;0.13;0.11;g173;0.22;0.25;0.43;0.41;0.07;-0.69;g173;-0.08;0.62;0.34;0.25;0.06;0;g173;0.11;0.27;-0.29;-0.02;-0.12;-0.04
g174;-0.16;-0.18;0.13;0.11;0.21;0.11;g174;-0.13;0.52;-0.1;0.35;-0.19;-0.19;g174;-0.09;0.47;0.35;0.27;0.03;0.07;g174;-0.05;0.11;-0.04;0.11;-0.33;0.21
g175;-0.41;0;-0.4;0.03;0.05;0.2;g175;-0.28;-0.09;-0.42;0.23;-0.4;0.42;g175;-0.28;-1.46;-0.14;0.56;0.76;0.43;g175;0.66;0.65;-0.06;0.3;-1.27;0.14
g176;-0.01;-0.17;0.37;-0.09;-0.2;-0.18;g176;0.02;0.15;0.04;0.1;0.04;0.22;g176;-0.24;0.02;0.19;0.22;-0.06;-0.22;g176;0.18;-0.18;-0.87;0.57;0.87;0.46
g177;-0.07;0.01;0.82;0;-0.01;-0.5;g177;0.71;-0.69;0.29;0;0.72;0;g177;-0.75;-0.27;-0.17;-0.03;-0.17;0.01;g177;0.41;0.36;-0.15;0.1;-0.99;-0.08
g178;0.07;-0.37;-0.23;-0.35;-0.17;-0.3;g178;-0.04;0.39;-0.1;0.12;-0.24;0.17;g178;0.39;-1.54;0;-0.95;0.09;0.31;g178;0.08;0.05;-0.09;0.07;0.04;-0.01
g179;0.06;-0.02;0.15;0.01;-0.08;-0.22;g179;0.61;-0.3;0.42;-0.49;0.07;-0.57;g179;0.31;-0.14;-0.24;-0.08;0.17;0;g179;0.17;0.2;-0.25;0.23;0.07;0.03
g180;-0.07;-0.25;0.37;-0.17;-0.08;-0.29;g180;0.39;-0.23;-0.02;-0.19;0.24;-0.34;g180;-0.15;0.69;-0.01;0.06;-0.12;0;g180;-0.13;0.01;-0.49;-0.3;-0.46;-0.23
g181;0.26;0.4;-0.87;0;-0.05;0.17;g181;0;0;0;0;0;0;g181;0.1;-1.28;-0.98;-0.28;0.32;-0.43;g181;0.16;0.09;0.27;0.28;-0.32;0.2
g182;0.13;-0.04;0.3;-0.13;-0.08;-0.41;g182;0;-0.3;0;-0.14;1.06;0.29;g182;-0.42;-0.29;-0.82;-0.73;0.39;0.31;g182;0.12;0.23;-0.46;-0.1;0.2;-0.51
g183;0.38;0.42;-0.37;0.06;-0.01;0.02;g183;0;0;0;0;0;0;g183;-0.1;0.34;-0.26;-0.44;-0.32;0.01;g183;-0.08;-0.01;-0.06;-0.3;-0.52;0.21
g184;-0.02;-0.09;0.18;0.04;0.02;0.11;g184;0;0;0;0;0;0;g184;-0.54;0;-2.56;0.4;-0.32;0.6;g184;0.31;0.31;-0.11;0.05;-0.18;-0.33
g185;0;0.2;0;0.3;0.08;-0.02;g185;1.12;0.06;0;0;0;0;g185;-0.19;0.22;0;0.03;-0.45;0.55;g185;0.1;0.03;0.21;0.05;-1.18;0.32
g186;0.04;-0.07;0.1;0.32;-0.22;-0.2;g186;0;0;0;0;0;0;g186;0.1;0;-0.46;-0.19;0.29;0.84;g186;0.02;0.04;-0.22;0.05;-0.27;0.07
g187;0.3;0.12;-0.18;0.04;-0.29;-0.18;g187;-0.61;-0.08;-0.83;0.08;-0.61;-0.61;g187;0.42;-0.97;0.34;0.12;0.23;-0.37;g187;0.41;0.33;-0.62;0.23;0.92;0.61
g188;-0.2;-0.1;0.15;0.06;-0.07;-0.04;g188;0.19;0.04;-0.05;0.19;0.01;-0.12;g188;-0.17;0.4;0.25;0.19;0;0.04;g188;0.28;0.33;-0.05;0.18;-0.2;0.04
g189;-0.03;-0.06;-0.1;-0.05;-0.12;-0.1;g189;0.14;0.11;0.19;0.01;0.49;0.02;g189;-0.26;0.84;0.26;0.26;-0.26;0;g189;0.21;0.34;0.18;0;-0.22;0.11
g190;-0.05;0.14;-0.43;-0.04;-0.37;-0.22;g190;-0.35;-0.08;-0.41;-0.08;-0.04;-0.65;g190;0.11;0.8;0.66;0.88;0.68;0.65;g190;-0.06;-0.68;-0.32;0.14;0.32;0.06
g191;0.08;-0.17;0;0.08;-0.1;0.23;g191;0.09;0.15;-0.22;-0.11;-0.22;-0.11;g191;0.28;0.04;-0.08;0.12;0.28;0;g191;0.33;0.24;-0.07;0.06;-0.17;-0.02
g192;0.17;-0.07;-0.32;-0.04;-0.11;-0.08;g192;0;0;0;0;0;0;g192;0.07;-0.22;-0.13;0.61;0.65;-0.08;g192;0.36;0.22;0.03;0.36;0.2;0.05
g193;-0.09;0.1;-0.4;0.05;-0.02;0.28;g193;0;0;0;0;0;0;g193;-0.23;0.41;-0.11;-0.11;-0.18;-0.18;g193;0.59;0.17;-0.16;0.11;0.48;0.11
g194;0.29;-0.04;0;-0.23;-0.06;0.12;g194;0.65;-0.15;-0.22;-0.12;0.17;-0.25;g194;0.06;-0.12;-0.08;0.06;0.29;0;g194;0.33;0.39;-0.12;0.39;0.12;0.19
g195;0.22;-0.01;-0.24;0.21;0.08;0.08;g195;0;0;0;0;0;0;g195;-0.09;0.09;-0.06;-0.14;-0.09;0.14;g195;0.23;0.27;0.19;0.16;-0.14;0.33
g196;-0.28;-0.17;-0.09;-0.37;0.22;0;g196;-0.01;0.03;-0.07;0.62;0.1;0.33;g196;0.13;0.08;-0.09;-0.33;0.13;0;g196;0.16;0.05;-0.07;0.13;-0.7;-0.18
g197;0.09;0.08;-0.1;0;-0.02;-0.13;g197;-0.39;-0.18;-0.62;0.06;0.24;0.71;g197;-0.15;0.29;0.07;0.11;0.3;0;g197;-0.38;-0.01;-0.33;-0.62;-0.74;-0.05
g198;-0.35;0;-0.19;0;-0.05;0;g198;-0.26;0.35;-0.12;0.31;-0.17;-0.65;g198;-0.24;0.04;0.31;0.2;0.2;0.06;g198;-0.18;-0.53;-0.44;0.22;-0.08;0.17
g199;0.19;0;0.06;0;0.37;0;g199;0.83;-0.1;0.37;-0.02;0.23;-0.18;g199;-0.62;-1.57;0.4;0.13;-0.43;0.59;g199;0.45;0.39;-0.27;0.16;-0.08;0.26
g200;0.29;0.26;0.09;0.04;-0.29;-0.49;g200;-0.34;-0.01;-0.21;0.9;-0.47;-0.34;g200;-0.04;0.31;-0.06;0.19;0;-0.05;g200;0.39;0.19;-0.46;0.13;-0.02;-0.2
g201;-0.21;0.3;-0.37;-0.15;0.3;-0.1;g201;0.65;-0.47;0.51;-0.31;0.49;-0.37;g201;0.29;-0.45;0.28;0.25;0.44;0.24;g201;0.21;0.49;-0.12;0.25;-0.75;0.17
g202;0.15;-0.3;0.13;0.16;-0.2;0;g202;-0.09;0.3;-0.14;0.03;0.62;-1.02;g202;0;0.61;0.39;0.52;0.04;0.1;g202;-0.12;0;0.05;0.14;-0.07;-0.03
g203;0.05;0.45;-0.27;0.36;-0.03;0.08;g203;0.07;-0.03;-0.22;-0.16;-0.24;-0.07;g203;0.02;-0.04;0.08;0;0.28;0;g203;0.07;0.19;-0.14;0.33;0.02;0.36
g204;0.26;-0.15;0.42;0.13;0.04;-0.03;g204;0.23;-0.08;0.05;-0.17;0.04;-0.23;g204;-0.79;1.51;0.35;0;-0.64;0.28;g204;0.18;0.13;-0.21;0.09;-0.02;-0.33
g205;-0.08;0.41;-0.14;0.32;0.25;-0.03;g205;-0.08;-0.08;0.09;-0.17;0.26;-0.3;g205;-0.22;0.14;-0.09;-0.11;0;-0.11;g205;0.14;-0.13;-0.37;0.76;-0.27;-0.14
g206;0.12;-0.21;-0.14;0.3;-0.14;-0.16;g206;0.2;-0.26;-0.21;-0.44;0.06;-0.31;g206;0.01;0.06;-0.19;0.01;0.06;0.07;g206;-0.03;-0.18;-0.05;0.04;-0.2;0.14
g207;0.12;0.43;-0.56;0.46;-0.11;0.2;g207;0.41;-0.28;0.04;-0.38;0.2;-0.32;g207;0.08;0.37;0.19;0.32;0.31;-0.35;g207;-0.16;-0.09;0.04;0.08;0.2;0.02
g208;-0.04;-0.1;0.05;0.37;-0.24;0;g208;0.26;-0.43;0.12;-0.39;0.13;-0.18;g208;0.03;-0.04;-0.1;-0.18;0.36;0.13;g208;0;-0.18;-0.11;0.04;-0.02;0
g222;0.02;-0.11;0;-0.19;0.02;-0.19;g222;0.45;-0.49;0.14;-0.18;0;-0.52;g222;1.39;0;0;0;-0.03;-1.61;g222;0.3;0.01;-0.02;0.26;0.1;-0.02
g223;-0.22;0.3;-0.3;0.57;0.36;0.2;g223;0.68;0.33;0.29;-0.04;0.3;-0.15;g223;-0.06;-1.32;-0.88;-0.92;-0.03;0.2;g223;0.33;0.37;0.14;0.37;-0.57;0.31
g224;-0.34;0.56;0.37;0.94;0.19;0.04;g224;0.41;0.99;1.14;0.54;0.43;-0.03;g224;0.02;0.1;0.55;0.27;0.36;0;g224;0.07;0.43;-0.16;0.18;0;0.31
g225;-0.47;0.1;0.43;1.25;-0.1;-0.1;g225;0.56;0.91;1.19;0.45;0.54;-0.09;g225;-0.18;1;0.68;0.72;0.02;-0.03;g225;0.1;0.07;-0.27;0;-0.25;-0.13
g226;-0.35;0.7;0.25;0.85;0.19;0.01;g226;0.27;1.02;1.11;0.55;0.37;0.02;g226;-0.41;1.21;0.66;0.09;-0.29;-0.04;g226;0.31;0.38;-0.34;0.11;0.2;0.25
g227;-0.19;-0.05;0.3;0.56;-0.2;-0.25;g227;0;0;0;0;0;0.17;g227;-0.04;0.49;0.38;0.36;0.11;-0.76;g227;-0.09;-0.21;-0.52;0.27;0.12;0.23
g228;-0.18;0.95;-0.66;0.03;0.39;-0.14;g228;0.31;0.03;0.09;-0.25;-0.34;-0.36;g228;-0.02;0.04;-0.23;-0.13;0.14;-0.28;g228;0.14;0.54;-0.18;-1.28;-0.2;0.05
g229;-0.25;-0.27;0.12;0.4;-0.02;-0.17;g229;0;0;0;0;0;-0.33;g229;0.15;0.37;0.4;0.51;0.56;-0.03;g229;0.14;-0.1;-0.11;0.38;0.05;0.17
g230;-0.16;0.18;-0.48;0.08;0.03;0.03;g230;0.86;-0.11;0.74;-0.22;0.47;-0.64;g230;-0.01;0.06;-0.22;-0.13;-0.08;-0.27;g230;-0.12;0.16;-0.23;0;-0.49;-0.08
g231;0.03;-0.43;-0.27;-0.23;-0.3;-0.26;g231;0.35;-0.2;0.19;-0.11;-0.21;-0.29;g231;0.09;0.13;-0.2;-0.19;-0.21;-0.39;g231;0.05;-0.14;-0.25;0.19;-0.04;0.17
g232;-0.03;0.14;-0.08;0.21;0.3;-0.31;g232;0.16;-0.51;0.46;0.01;0.35;-0.3;g232;0.03;-0.03;-0.12;0.21;0.39;-0.67;g232;0.07;-0.22;-0.37;0.45;0.47;0.88
g233;-0.11;-0.29;0.11;0;-0.11;-0.06;g233;-0.06;0.05;0.41;0.17;0.2;0.4;g233;-0.28;-0.49;-0.05;0.17;0.23;-0.33;g233;0.07;0.31;-0.02;0.11;-0.15;-0.15
g234;-0.19;0.11;-0.87;0.21;0.08;0.11;g234;-0.45;-0.45;-0.2;0.23;0.41;0.4;g234;-0.5;0.23;-0.58;-0.1;0.3;0.01;g234;0.37;0.34;-0.06;0.2;-0.18;0.08
g235;-0.31;-0.33;-0.74;-0.01;0.97;1.01;g235;-1.7;-1.12;-0.44;1.08;0.79;1.7;g235;-0.46;0;-2.72;0.43;-0.18;0.51;g235;1.07;0.68;0.34;0.69;0.11;-0.64
g236;-0.4;-0.78;-1.12;-0.09;0.96;1.32;g236;-2.13;-0.88;-0.54;1.05;0.89;1.75;g236;-0.96;0.34;0.24;0;-0.38;0.63;g236;0.84;0.58;0.05;0.6;-0.14;-0.4
g237;0.04;-0.08;0.24;-0.15;-0.17;-0.06;g237;-0.32;0.18;-0.55;0.21;-0.33;0.09;g237;-0.29;0.75;0.06;-0.05;0;0.09;g237;0.36;0.12;-0.39;0.42;-0.01;0.15
g238;0.06;0.19;0.09;0.01;-0.17;-0.43;g238;0.37;-0.29;0.52;0;0.79;0.25;g238;0;0;0;0;0;0;g238;0.07;-0.24;0.2;-0.24;0.03;-0.12
g239;-0.14;-0.12;0.22;-0.11;-0.42;-0.04;g239;0;0;0;0;0;0;g239;-0.5;-0.2;0.23;-0.07;0;0.4;g239;-0.12;-0.05;-0.71;-0.03;-0.27;-0.02
g240;0.05;0.14;-0.12;-0.08;-0.14;-0.11;g240;0;0.22;0;-0.12;0.29;-0.14;g240;-0.54;-0.17;0.23;-0.09;-0.02;0.44;g240;0.21;0.14;-0.33;0.11;-0.33;0.01
g241;0.21;-0.09;-0.25;0.06;-0.23;-0.14;g241;0;0;0;0;0;0;g241;-0.34;-1.34;0;-0.34;0.98;0;g241;0.15;-0.18;-0.15;0.05;0.01;0.09
g242;0.05;-0.06;-0.35;-0.28;-0.15;-0.25;g242;-0.72;0.19;-0.64;-0.2;-0.37;0.13;g242;-0.19;-0.13;-0.17;-0.05;0.09;0.08;g242;0.22;0.09;0.12;0.26;0.25;-0.01
g243;-0.31;-0.31;-0.14;0.06;-0.02;0;g243;0;0;0;0;0;0;g243;-0.24;0.32;0.15;0.21;0.23;0;g243;0.22;0.2;-0.42;0.28;-0.05;-0.09
g244;-0.07;-0.14;-0.12;-0.07;0.04;0.16;g244;-1.17;0.36;-0.35;0.36;-0.12;0.33;g244;-0.32;0.61;0.23;0.19;0;0.27;g244;0.38;0.2;0.01;0.39;0.5;0.06
g245;0.05;-0.03;0.55;0.24;-0.04;-0.16;g245;0.95;0.06;-0.03;0.03;-0.17;-0.11;g245;0.1;0.22;0.09;0.06;0.08;-0.11;g245;0.3;0.31;-0.15;0.37;0.28;-0.05
g246;-0.21;0.17;0;-0.05;-0.28;-0.05;g246;0.43;-0.84;0.78;0;0.84;0;g246;-0.12;0.22;0.06;-0.57;0.22;0.37;g246;0.18;0.23;-0.45;0.21;-0.09;0.14
g247;-0.17;0.07;-0.47;0.2;0.04;-0.17;g247;0.59;-0.58;0.27;-0.52;0.22;-0.35;g247;-0.16;-0.16;-0.54;-1.05;-0.05;-0.27;g247;0.22;-0.02;-0.22;0.25;-1.37;0.24
g248;-0.43;0.14;0.26;0.04;-0.05;-0.02;g248;0.58;-0.23;0.5;-0.51;0.22;-0.54;g248;-0.1;0.53;-0.4;-0.4;-0.36;-0.01;g248;0.29;0.09;-0.69;-0.03;-0.49;-0.03
g249;-0.19;0.07;-0.01;0.19;0.18;-0.52;g249;0;0;0;0;0;0;g249;0.3;-0.38;-0.03;-0.01;0.29;0;g249;-0.37;0.21;0.02;0;-0.74;0
g250;-0.27;0.03;-0.32;0.48;0.01;0;g250;-0.42;0;0.42;0;0;0;g250;-0.07;0.16;0.39;0.45;-0.22;0.19;g250;0.14;0.3;0.03;0.02;-0.12;0.2
g251;-0.45;-0.35;-0.06;0.52;0.16;0.19;g251;0;0;0;0;0;0;g251;-0.24;0.29;0.41;0.55;0.17;0;g251;0.03;0.27;0.23;0.27;0.24;-0.3
g252;-0.06;0.14;-0.54;0.14;-0.13;0.07;g252;0;0;0;0;0;0;g252;0.04;0.24;0.1;0.15;0.11;0;g252;0.16;-0.02;0.16;0.2;0.2;0.31
g253;-0.16;-0.03;-0.06;0.48;0;-0.14;g253;0;0;0;0;0;0;g253;-0.36;0.51;0.15;0.06;0;-0.05;g253;0.03;0.13;0.2;0.03;-0.07;-0.38
g254;-0.4;0.22;-0.25;0.18;-0.1;-0.21;g254;-0.12;0;-0.59;0;-0.36;0;g254;0.02;0.33;0.4;0.53;0.51;0;g254;0.08;0.08;-0.36;0.34;0.7;0.7
g255;-0.13;0;-0.24;0.27;0.18;0.08;g255;0;0;0;0;0;0;g255;-0.36;0.8;-1.06;-0.06;0.8;0.85;g255;0.06;0.03;0.1;-0.13;0.24;-0.1
g256;-0.08;0.2;-0.44;0.2;-0.05;0.24;g256;-0.58;0;-0.35;0;0.01;0;g256;0.04;0.16;-0.15;0.09;0.74;0.39;g256;0.06;0.17;0.21;-0.02;-0.19;0.04
g257;0.11;0.22;-0.07;-0.1;0.16;0.04;g257;0;0;0;0;0;0;g257;0.16;0.26;0.04;-0.28;0.24;0;g257;0.21;0.46;0.02;0.15;-0.18;-0.16
g258;-0.02;0.28;-0.07;0.2;-0.17;0.05;g258;-0.55;0.3;-0.26;-0.06;-0.19;-0.14;g258;0.05;0.82;-0.18;-0.4;0.14;0.15;g258;0.36;0.31;-0.21;0.04;0.01;0.08
g259;0.06;0.18;-0.11;-0.09;0.12;0.16;g259;0.86;-0.11;0.29;-0.12;0.44;-0.58;g259;-0.38;0;-2.71;0.3;-0.13;0.53;g259;0.56;0.62;-0.24;0.39;-0.13;-0.13
g260;-0.12;0.04;-0.1;-0.1;-0.26;-0.01;g260;0.27;0.15;0.1;0.02;0.1;-0.53;g260;-0.1;0.34;-0.33;-0.41;-0.5;-0.53;g260;0.34;0.08;0.28;0.05;0.3;-0.11
g261;-0.38;0.3;-0.34;0.31;-0.16;0.18;g261;0.33;0.2;-0.23;-0.31;-0.09;-0.41;g261;0.22;-0.03;-0.22;-0.09;-0.12;0.25;g261;0.13;-0.09;-0.21;0.03;-0.29;-0.25
g262;0.21;0.24;0.19;0.16;0.27;0.24;g262;0;0;0;0;0.28;0;g262;-0.24;0.39;0.06;0;-0.29;0.17;g262;0.22;0.66;-0.01;-0.08;0.1;-0.04
g263;-0.05;0.04;-0.12;-0.1;0.03;-0.07;g263;0;0;0;0;0;0;g263;-0.24;0.52;0.34;0.45;-0.1;0;g263;0.69;0.24;-0.29;0.67;0.48;0.35
g264;-0.08;0.15;-0.15;0.13;-0.11;0.09;g264;0;0;0;0;0;0;g264;0.07;-0.4;0.14;0.22;0.23;0;g264;0.29;-0.02;-0.08;0.19;0.41;-0.02
g265;0.05;0.11;-0.17;-0.19;-0.21;0.84;g265;0;0;0;0;0;0;g265;0.3;0.3;0.41;0.46;0.52;-0.05;g265;0.62;0.4;-0.46;0.64;0.46;0.14
g266;1.63;0.1;0.51;0.46;-0.71;0.86;g266;1.83;0.23;-0.46;-1.1;-1.43;-0.93;g266;1.25;0.34;0.01;-0.57;0.01;-0.25;g266;1.16;1.31;1.3;1.6;1.23;0.88
g267;-0.01;0.27;0.05;0.15;0.17;0.1;g267;0;0;0;0;0;0;g267;0.01;0.51;0.19;0.13;0.01;0;g267;0.32;0.35;-0.09;0.42;0.03;-0.18
g268;-1.04;-1.06;-1.18;-0.77;-1.25;0;g268;0;0;0;0;0;0;g268;-0.65;-1.3;0;0.06;0.21;-0.3;g268;0.28;-0.11;0.37;-0.26;-0.32;-0.26
g269;-0.33;-0.26;-0.35;0.13;0.13;0.23;g269;0.02;0.05;0.2;0.28;0.7;0.17;g269;-0.22;0.11;0.18;0.42;0.49;0;g269;0.4;0.34;-0.06;0.43;0.16;-0.04
g270;-0.37;0.61;-0.27;0.1;0.15;0;g270;0.33;-0.07;0.08;0.23;-0.34;0.12;g270;-0.02;-0.11;0.32;0.34;0.26;-0.29;g270;0.25;0.39;0.01;0.15;0.1;0.09
g271;0.03;0.16;-0.31;0.08;0;0;g271;0.07;-0.24;-0.02;-0.18;0.07;-0.15;g271;-0.01;-0.19;-0.55;-0.4;0.06;0.16;g271;-0.03;0.17;-0.25;-0.02;0.06;0.32
g272;0.04;0.42;-0.17;-0.08;-0.29;0;g272;0;0.1;0.2;-0.21;0.15;-0.19;g272;0.04;0.27;0.11;0.09;0.34;0.11;g272;0.28;0.53;0.04;0.36;0.01;0.34
g273;-0.19;-0.07;-0.05;-0.08;-0.08;-0.04;g273;0;0;0;0;0;0;g273;0.41;0.11;-1.07;0.07;0.3;0.04;g273;0.01;0.24;-0.45;0.11;-0.64;0.01
g274;0.11;0.2;-0.24;-0.27;-0.31;0;g274;0.37;-0.4;0.61;-0.28;0.61;-0.34;g274;-0.17;0.1;-0.01;0.03;0.21;0.32;g274;0.36;0.43;-0.2;0.46;0.55;0.48
g275;0.15;-0.09;-0.16;-0.06;0.13;-0.19;g275;0;0;0;0;0;0;g275;-0.49;-0.53;-0.24;-0.09;0.18;0.27;g275;-0.13;-0.13;-0.36;-0.04;0.24;0.07
g276;-0.09;0.18;-0.15;-0.11;-0.04;-0.29;g276;0.33;0.06;0.01;0.02;-0.01;-0.16;g276;-0.51;-1.86;0.46;0.28;-0.36;0.45;g276;0.12;0.11;-0.2;-0.18;-0.24;-0.45
g277;-0.05;-0.03;-0.43;-0.08;-0.05;0.25;g277;0;0;0;0;0;0;g277;0.16;-0.35;-0.15;0.08;0.48;0.22;g277;0.54;0.27;-0.13;0.59;0.29;0.2
g278;-0.1;0;-0.64;0;-0.17;0;g278;0;0;0;0;0;0;g278;-0.09;0.07;-0.26;-0.4;-0.35;-0.5;g278;0.21;0.01;0.31;0.39;0.55;-0.1
g279;-0.33;0.04;-0.33;0;0.08;0;g279;0;0;0;0;0;0;g279;0.14;-0.04;0.05;0.31;-0.09;-0.44;g279;0.16;-0.67;0.17;0.32;0.25;-0.06
g280;-0.31;0.59;-0.36;0.43;-0.1;0.04;g280;0;0;0;0;0;0;g280;0.03;0.93;0.54;0.53;0.26;0.12;g280;0.41;0.12;0.04;0.62;0.76;0.49
g281;-0.34;-0.06;-0.34;0.22;0.08;-0.09;g281;0;0;0;0;0;0;g281;0.31;0.87;0.86;0.74;0.54;0.01;g281;0.25;0.19;-0.36;0.68;0.53;0.32
g282;1.21;1.54;1.39;1.12;0.3;0.21;g282;2.14;1.02;0.76;-0.46;-0.73;-1.67;g282;1.03;1.72;1.12;0.44;-0.1;-0.93;g282;0.09;0.15;-0.45;0.39;0.88;0.57
g283;0.06;-0.07;0.14;0.28;-0.16;0.18;g283;0.09;0.18;0.12;0.08;-0.25;-0.16;g283;0.12;0.29;-0.23;-0.14;-0.07;0;g283;0.21;0.18;-0.1;0.13;0.09;-0.1
g284;-0.14;0.16;-0.23;0.08;-0.13;-0.19;g284;-0.02;0.07;0.17;-0.04;0.32;-0.05;g284;0;0.49;0.58;0.63;0.84;-0.07;g284;0.22;-0.12;-0.54;0.38;0.8;0.7
g285;-0.11;0.26;-0.19;0.11;-0.15;0.29;g285;-0.51;0.23;0.01;0.07;-0.3;-0.07;g285;0.19;-0.52;0.01;0.08;0.21;0.09;g285;0.36;0.16;-0.18;0.46;0.02;0.11
