;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t12;t12;t12;t12;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g5660;0.4;-0.07;-0.15;0.19;g5660;-0.93;0.52;-0.38;0.35;g5660;-0.18;-0.51;-0.52;-0.25;g5660;0.02;0.26;-0.17;-0.46
g5662;0.37;0.39;-0.25;0.08;g5662;-0.39;0.05;-0.51;0.68;g5662;0;-0.02;0.06;-0.13;g5662;-0.03;-0.29;-0.37;-0.62
g6011;-0.21;0.19;0.26;-0.11;g6011;-0.12;-0.39;0.09;0.02;g6011;-0.29;0.2;-0.53;-0.03;g6011;-0.07;-0.43;0.29;0.13




;c0;c0;c0;c0;;c1;c1;c1;c1;;c2;c2;c2;c2;;c3;c3;c3;c3;;
;t9;t10;t11;t12;;t9;t10;t11;t12;;t9;t10;t11;t12;;t9;t10;t11;t12;;
g35;0.13;0.11;0.09;0.28;g35;0.27;-0.27;0.21;-0.4;g35;0.39;-0.35;-0.15;-0.14;g35;0.46;-0.24;-0.18;-0.37
g112;-0.77;-1.1;-0.02;0.88;g112;-1.32;0.26;1.01;0.2;g112;-0.4;0.48;1.02;0;g112;0.42;0.54;0.59;-0.13
g365;-0.14;0.09;-0.04;0.01;g365;-0.11;-0.38;0.22;-0.16;g365;0.29;-0.03;0.06;-0.02;g365;0.25;0.05;0.35;0.48
g369;0.11;0.35;0.21;-0.38;g369;0;0;0;0;g369;0.7;0.49;0.31;0.59;g369;0.03;-0.02;0.56;0.65
g381;-0.06;0.12;-0.06;-0.16;g381;0.21;-0.31;0.22;-0.16;g381;-0.08;0.14;-0.02;0.02;g381;-0.05;-0.33;0.61;0.53
g389;-0.16;0.21;-0.21;0.1;g389;0.25;-0.14;0.2;0.03;g389;0.16;0.25;0.03;-0.02;g389;0.13;0.15;0.35;0.15
g413;-0.36;-0.44;-0.3;-0.05;g413;0.05;-0.1;0.24;0.15;g413;-0.35;-0.1;0.07;0.13;g413;0.13;-0.22;0.02;-0.3
g414;0.13;-0.52;0.01;0.13;g414;-0.05;0.29;0.11;0.66;g414;0.37;0.81;0.68;0.85;g414;0.44;-0.02;0.61;0.38
g425;0.02;-0.39;-0.04;-0.02;g425;-0.39;0.45;0.08;0.08;g425;0.04;-0.27;-0.1;-0.44;g425;-0.33;0.22;-0.18;-0.09
g430;0;-0.09;-0.01;0.02;g430;0.33;-0.24;0.29;0.09;g430;0.56;0.07;0.17;0.07;g430;0.02;-0.1;0;0.1
g478;0.48;0.11;0.33;0.22;g478;0.37;-0.56;-0.05;-0.74;g478;0.27;-0.16;-0.09;-0.19;g478;0.47;-0.27;-0.31;-0.44
g479;-0.02;0.06;0.1;0.01;g479;0.05;-0.51;0.1;-0.51;g479;0.45;-0.2;0.01;0.08;g479;0.2;-0.18;0.52;0.16
g490;0.38;0.4;0.15;-0.04;g490;-0.13;0.16;-0.11;0.18;g490;-0.59;-0.15;0.07;0.25;g490;0.13;0.07;-0.19;-0.02
g496;0.38;0.18;-0.09;0.19;g496;-0.21;-0.16;0.04;0.12;g496;-0.1;0.11;0.16;0.32;g496;0.23;0.02;0.09;0.04
g532;0.03;0.01;0.11;0.21;g532;-2.07;-0.07;0.1;0.27;g532;0.4;0.16;0.07;-0.3;g532;-0.34;-0.03;0.03;0.15
g617;0.17;-0.2;-0.09;0.03;g617;-0.08;-0.13;-0.11;-0.19;g617;-0.35;-0.08;-0.04;0.22;g617;0.07;0.25;0.01;-0.6
g759;0.22;0.37;-0.02;0.13;g759;0;0;0;0;g759;0.34;-0.06;-0.09;-0.28;g759;0.2;-0.11;0.18;0.08
g792;-0.22;0.95;-0.28;0.02;g792;0.21;-0.12;0.27;-0.93;g792;0.13;0.2;0.22;0.18;g792;-0.01;-0.05;0.18;0.23
g910;0.05;0.33;0.13;0.01;g910;0;0;0;0;g910;0.13;0.24;0.14;-0.18;g910;-0.22;-0.1;0.13;0.02
g937;-0.1;-0.22;-0.04;0.22;g937;0;0;0;0;g937;0.54;0.39;0.27;0;g937;0.11;0.05;0.18;-0.05
g1003;0.31;0.18;0.16;-0.03;g1003;-0.19;0.69;-0.55;-0.06;g1003;0.17;-0.1;-0.25;-0.19;g1003;0.12;-0.08;-0.26;-0.33
g1066;-0.18;0.41;0.09;-0.17;g1066;-0.44;0.15;-0.56;1.12;g1066;0.13;0.03;0.03;0.35;g1066;-0.24;-0.18;-0.06;-0.26
g1082;-0.23;0.19;0.18;-0.15;g1082;0.41;0.2;0.24;0;g1082;0.39;0.37;0.2;-0.24;g1082;-0.22;-0.18;0.31;0.27
g1158;0.07;0.15;0.13;0.32;g1158;0.36;-0.2;0.25;-0.45;g1158;-0.07;-0.09;0.09;-0.17;g1158;0.4;0.11;-0.07;0.13
g1162;-0.2;0.58;0.05;0.25;g1162;0.33;0.06;0.16;-0.11;g1162;-0.07;0.1;-0.01;-0.29;g1162;0.15;0.18;-0.37;-0.39
g1195;0.07;0.25;0.03;0.23;g1195;0.5;0.31;0.36;-0.12;g1195;0.17;0;-0.09;0.11;g1195;-0.05;-0.05;-0.02;0.13
g1219;-0.35;0.21;0.07;0.17;g1219;-0.28;0;0.16;0.26;g1219;-0.25;-0.02;0.05;0.37;g1219;0.03;-0.07;0.25;0.46
g1242;0;0;0;0;g1242;0.11;0.21;-0.07;0.17;g1242;-0.39;-0.01;0.01;0.12;g1242;0;0;0;0
g1270;-0.23;0.67;-0.14;-0.02;g1270;0.01;-0.18;-0.11;0.04;g1270;-0.06;-0.18;-0.24;-0.63;g1270;-0.09;-0.15;0.2;0.27
g1290;0.25;0.49;0.12;-0.05;g1290;0.02;0.05;0.12;-0.12;g1290;0.09;0.08;0.13;-0.14;g1290;0.19;0.26;-0.08;-0.19
g1292;-0.07;-0.17;-0.12;-0.01;g1292;0.03;0.01;0.36;0.01;g1292;0.23;0.12;0.23;0.16;g1292;0.32;-0.06;0.46;0.22
g1327;0.14;-0.21;-0.03;0.07;g1327;0.36;-0.36;0.7;-0.58;g1327;-0.03;0.13;0.16;-0.28;g1327;-0.06;-0.07;0.26;0.01
g1359;0.18;0.15;-0.19;0.29;g1359;0.1;-0.19;-0.01;-0.5;g1359;-0.4;-0.27;-0.26;-0.29;g1359;0.09;-0.23;-0.25;-0.82
g1393;-0.09;0.19;0.06;0.19;g1393;0.14;-0.04;0.24;-0.04;g1393;-0.3;0.13;0.04;-0.02;g1393;0.2;-0.19;0.46;0.11
g1420;0.13;0.01;0.07;0.08;g1420;0.03;-0.18;-0.08;-0.33;g1420;-0.47;0.01;0.14;0.07;g1420;0;0.1;0.15;0.03
g1422;0.02;-0.05;-0.22;0.11;g1422;-0.03;0.02;-0.37;-0.12;g1422;0.68;0.24;0;-0.49;g1422;-0.21;0.2;0.08;0.15
g1427;-0.28;0.34;0.07;-0.09;g1427;0.32;0.04;0.11;-0.52;g1427;0.29;-0.04;-0.23;0;g1427;-0.14;0.14;-0.43;-0.43
g1442;-0.02;-0.31;0.1;0.29;g1442;0.01;-0.09;0.3;-0.32;g1442;-0.3;-0.47;-0.22;-0.01;g1442;0.34;0.11;0.37;0.11
g1451;-0.22;0.5;-0.17;0.25;g1451;-0.11;0.38;0.58;0.55;g1451;-0.14;-0.45;-0.74;-0.47;g1451;0.07;-0.24;-0.03;0.4
g1464;0.38;-0.29;0.19;0.05;g1464;-0.09;0.19;0.16;-0.02;g1464;-0.03;-0.14;-0.04;-0.11;g1464;-0.15;0.22;0.28;-0.13
g1474;0.16;0.64;-0.06;0.06;g1474;-0.21;0.05;0.07;0.32;g1474;0.35;-0.06;-0.15;-0.28;g1474;0.15;-0.15;0.28;-0.18
g1490;0.26;0.16;0.18;0.67;g1490;-0.28;-0.3;0;0.21;g1490;-0.41;-0.7;-0.61;-0.45;g1490;0.37;0.13;0.01;-0.4
g1508;0.32;-0.13;-0.03;-0.17;g1508;-0.1;-0.59;0.22;-0.16;g1508;0.6;0.09;0.07;0;g1508;0.32;0.06;0.24;0.5
g1544;-0.09;-0.07;-0.32;-0.02;g1544;-0.28;0.28;-0.13;0.52;g1544;0.33;0.05;0.44;0.11;g1544;0.07;0.36;-0.18;-0.05
g1585;0.07;-0.31;-0.08;0.11;g1585;-0.03;0.23;0.1;0.07;g1585;-0.16;0.18;0.25;0.1;g1585;-0.34;0.14;0.22;0.23
g1594;0.33;0.28;-0.04;0.07;g1594;-0.03;-0.43;0.27;0.2;g1594;0.55;0.59;0.2;0.31;g1594;0.17;0.25;0.06;0.11
g1601;-0.4;0.04;-0.06;0.13;g1601;-0.27;0.14;-0.12;0.19;g1601;0.02;-0.67;-0.59;-0.52;g1601;-0.24;0.15;-0.14;-0.16
g1671;0;0;0;0;g1671;-0.14;0.02;0;0.64;g1671;0.46;-1.02;-0.15;-0.02;g1671;0;0;0;0
g1686;0.21;-0.13;0.13;-0.27;g1686;0.28;0.31;-0.12;-0.35;g1686;-0.01;0.22;0.59;0.18;g1686;-0.01;0.45;-0.09;0.09
g1694;-0.18;-0.11;-0.2;-0.02;g1694;0;0.07;0.42;0;g1694;0.01;-0.13;-0.09;0.34;g1694;0.47;-0.2;0.51;0.96
g1698;0.32;0.12;0.08;-0.1;g1698;0;0;0;0;g1698;0.01;0.06;-0.27;0.25;g1698;0.17;0.1;-0.27;-0.19
g1729;0.16;-0.1;0.05;0.09;g1729;-0.21;-0.22;-0.16;0.55;g1729;0.34;-0.66;0.08;-0.24;g1729;-0.21;0.14;-0.32;-0.49
g1757;-1.08;0.31;1.59;1.36;g1757;1.1;1.98;1.68;1.35;g1757;0.67;2.19;2.1;1.54;g1757;-0.29;0.71;1.49;2.14
g1765;-0.03;0.08;-0.12;0;g1765;-0.13;-0.4;0.59;-0.25;g1765;0.06;-0.49;-0.5;-0.2;g1765;0.03;-0.22;0.36;0.61
g1781;-0.15;0.05;-0.03;0.05;g1781;0.32;-0.44;0.21;-0.46;g1781;0.1;-0.08;-0.09;-0.04;g1781;-0.27;0.03;-0.24;-0.36
g1796;0.14;0.01;-0.01;0;g1796;0;0;0;0;g1796;-0.03;0.07;-0.09;-0.2;g1796;-0.25;0.14;-0.03;-0.22
g1801;-0.06;0.42;0.37;-0.63;g1801;0;0;0;0;g1801;-0.12;-0.4;-0.19;0.11;g1801;0.02;0.1;-0.28;-0.24
g1802;0.44;0.34;0.2;0.22;g1802;-0.58;0.43;0.56;-0.02;g1802;-0.59;-0.32;-0.23;0.25;g1802;0.1;-0.31;0.01;-0.06
g1841;-0.04;-0.09;0;-0.13;g1841;-0.32;-0.38;-0.28;-0.18;g1841;0.41;0.08;0.07;-0.08;g1841;-0.12;0.18;0.05;0.39
g1866;0.33;0.22;0.22;0.13;g1866;0.04;-0.32;0.22;-0.36;g1866;0.32;0.04;0.07;-0.22;g1866;0.11;-0.1;-0.04;0.32
g1874;0.22;-0.16;0.09;0.01;g1874;-0.46;-0.01;-0.1;0.43;g1874;-0.62;-0.19;0.14;0.03;g1874;0.1;0.47;-0.79;-0.54
g1938;-0.09;0.21;-0.25;0.02;g1938;0.11;0.04;-0.14;-0.43;g1938;-0.34;-0.09;-0.19;0.07;g1938;-0.2;-0.81;0.23;-0.11
g2003;0.06;0.02;-0.06;0.02;g2003;0.22;-0.47;0.17;-0.2;g2003;0.44;0.1;0.25;0.01;g2003;0.1;-0.13;0.25;0.28
g2029;0.25;-0.32;-0.98;0.43;g2029;0.02;0.04;-0.37;0.36;g2029;0.22;-0.2;-0.08;0.03;g2029;0.06;-0.11;0.03;-0.29
g2036;-0.38;0.09;-0.38;0.13;g2036;-0.62;0.44;-0.08;0.5;g2036;0;-0.59;-0.2;-0.44;g2036;-0.48;0.02;-0.17;-0.23
g2111;0.16;0;-0.03;-0.18;g2111;0.1;0.1;0.09;0.25;g2111;-0.23;0.04;-0.04;0.84;g2111;-0.3;-0.2;-0.01;0.61
g2132;-0.24;0.07;-0.19;-0.26;g2132;-0.37;0.32;-0.05;0.15;g2132;0.44;-0.3;-0.01;0.11;g2132;-0.21;-0.07;-0.48;0.15
g2158;-0.42;0.13;0;-0.17;g2158;0.02;-0.35;-0.09;-0.33;g2158;0.08;-0.32;-0.08;-0.13;g2158;-0.04;0.1;0;-0.11
g2238;0.01;-0.07;-0.12;-0.11;g2238;-0.31;-0.3;-0.15;0.01;g2238;0.31;0.13;0.19;-0.28;g2238;-0.17;-0.29;0.18;0.38
g2266;-0.01;-0.07;0.07;0;g2266;-0.07;-0.26;0.4;-0.09;g2266;-0.45;-0.07;0.07;-0.5;g2266;0.39;-0.06;0.07;0.09
g2277;-0.41;0.11;0.15;0.12;g2277;0.19;-0.18;0.09;0.19;g2277;-0.16;-0.44;-0.04;-0.34;g2277;-0.25;0.02;-0.23;-0.32
g2281;-0.06;0.2;-0.37;0.16;g2281;0.03;-0.29;-0.09;-0.11;g2281;0.35;0.5;0.15;0.22;g2281;-0.17;-0.33;-0.31;-1.24
g2352;0.12;-0.02;-0.11;0.04;g2352;-0.12;0.05;0.09;-0.38;g2352;-0.43;0.12;-0.04;-0.21;g2352;-0.16;-0.01;-0.32;-0.17
g2384;-0.1;-0.01;0.04;0.11;g2384;0.2;-0.02;0;-0.26;g2384;0.28;0.28;0.18;0.14;g2384;0.12;0.31;0;-0.22
g2468;0.25;0.06;-0.07;-0.05;g2468;-0.09;0.15;0.31;0.13;g2468;-0.24;-0.75;-0.75;0.09;g2468;-0.24;-0.01;0.1;-0.14
g2516;0.45;0.19;-0.13;0.28;g2516;0.28;-0.56;0.28;0.07;g2516;-1.56;0.54;0.23;-0.28;g2516;0.38;-0.03;0.09;0.09
g2525;-0.27;0.2;-0.09;-0.22;g2525;0.19;0.48;0.34;0.34;g2525;0.43;-0.22;-0.09;0.07;g2525;-0.35;-0.16;-0.12;-0.37
g2529;0.01;-0.16;-0.18;-0.12;g2529;0.21;-0.44;-0.02;-0.12;g2529;-0.51;-0.27;0.11;0.05;g2529;-0.12;0.02;0.06;-0.14
g2612;0;-0.25;-0.08;0.26;g2612;0.25;-0.22;0.13;-0.24;g2612;-0.49;0.01;0.38;0.43;g2612;-0.42;0.24;0.17;-0.08
g2715;-1.31;0.55;1.24;1.31;g2715;0.82;2.02;2.13;1.99;g2715;0.25;1.34;1.27;1.17;g2715;-0.21;0.6;0.85;1.64
g2774;0.01;-0.16;-0.1;0.18;g2774;0.27;-0.66;0.33;-0.58;g2774;-0.15;0.28;0.13;-0.13;g2774;0.11;0.05;0.14;0.16
g2815;-0.01;0.13;-0.08;0.32;g2815;0.03;-0.23;0.1;-0.06;g2815;-0.56;-0.17;-0.24;-0.05;g2815;0.07;0.04;-0.12;0.07
g2875;-0.15;-0.1;-0.24;-0.45;g2875;0.22;-0.34;0;-0.42;g2875;0.1;-0.12;-0.21;-0.41;g2875;-0.09;-0.2;-0.18;0.1
g2963;0.29;-0.07;0.31;-0.05;g2963;-0.33;0.26;0;0.39;g2963;0.52;0.37;0.42;0.07;g2963;-0.3;0.08;-0.3;-0.32
g2986;-0.09;-0.13;-0.2;0.11;g2986;-0.17;-0.19;-0.28;0.34;g2986;0.57;-0.07;0.12;0.43;g2986;-0.35;0.05;0.34;0.21
g2990;-0.05;0;-0.24;0.03;g2990;0.13;-0.22;0.01;0.17;g2990;-0.1;-0.14;0.55;-0.1;g2990;-0.27;-0.16;-0.38;-0.25
g2999;0.25;-0.12;0;-0.07;g2999;0.02;0.36;0.08;-0.42;g2999;-1.37;-0.79;-0.2;0.44;g2999;-0.33;0.09;-0.04;0
g3002;-0.21;-0.14;-0.23;0.29;g3002;0.31;-0.59;0.06;-0.43;g3002;0.1;0.09;0.07;-0.22;g3002;-0.23;0.16;-0.35;-0.17
g3031;0.04;-0.34;0.07;-0.01;g3031;-0.08;-0.01;-0.13;0.08;g3031;-0.29;0.33;0.05;0.09;g3031;-0.33;0.02;-0.29;-0.37
g3159;0.07;-0.37;-0.11;-0.11;g3159;-0.65;-0.33;-0.52;0.13;g3159;0.33;-0.63;-0.25;-0.77;g3159;-0.63;-0.33;-0.25;-0.41
g3232;-0.46;0.69;0.42;0.71;g3232;0.26;0.16;0.5;0.31;g3232;-0.19;-0.63;0.51;0.1;g3232;0.24;0.65;0.78;0.47
g3267;0.1;-0.04;-0.19;-0.22;g3267;0.3;-0.22;0.01;-0.42;g3267;1.39;0.12;0.01;-0.07;g3267;0.2;-0.19;0.28;-0.1
g3270;-0.22;1.07;0.11;0.07;g3270;0.44;0.53;0.5;0.03;g3270;-0.3;-1.55;1.11;0.78;g3270;0.08;-0.1;-0.06;-0.28
g3301;0.38;0.1;0.15;-0.08;g3301;-0.42;0.31;0.58;-0.28;g3301;-0.29;-0.28;0.07;0.04;g3301;-0.03;-0.09;0.16;0.14
g3324;-0.21;-0.01;-0.25;0.27;g3324;0.02;0.21;0.29;-0.19;g3324;0.92;0.2;0.08;-0.07;g3324;0.03;-0.24;0.46;0.3
g3401;-0.37;0.27;-0.02;0.18;g3401;-0.03;0.55;0.21;0.72;g3401;0.02;-0.05;0.43;0.38;g3401;-0.36;-0.14;0.11;0.1
g3451;-0.06;0.35;-0.28;-0.12;g3451;-0.09;-0.64;0.35;-0.25;g3451;-0.73;-0.43;0.01;0.53;g3451;0.18;0.27;0.18;0.01
g3456;-0.02;-0.52;-0.09;-0.02;g3456;0.12;-0.8;0.06;-0.94;g3456;-0.22;-0.27;-0.09;0.18;g3456;-0.15;0.27;0.11;-0.01
g3483;-0.1;0.13;-0.15;0.19;g3483;0.29;-0.09;0.35;-0.01;g3483;0.77;0.21;0;-0.23;g3483;0.3;-0.25;0.53;0.17
g3484;-0.13;-0.06;0.03;0.06;g3484;0.25;-0.1;0.18;-0.28;g3484;0.8;-0.76;0.05;0.1;g3484;0.17;0.11;-0.15;-0.45
g3541;-0.37;-0.08;-0.21;0.07;g3541;0;0;0.44;0;g3541;0.04;-0.12;0.23;0.03;g3541;-0.37;0.1;-0.07;-0.18
g3570;0.28;0;-0.17;0.16;g3570;0.17;-0.66;-0.11;-0.33;g3570;0.22;0.04;-0.1;-0.02;g3570;-0.11;2.07;-0.56;-0.42
g3582;0.56;0;0;0.52;g3582;0.63;0.55;0.17;0.11;g3582;0.72;1.36;1.07;0.79;g3582;-0.17;0.01;-0.26;-1.04
g3594;-0.02;-0.05;-0.14;0.27;g3594;0.12;-0.51;0.07;-0.53;g3594;0.67;0.24;0.17;0;g3594;0.01;0.09;0.12;-0.04
g3646;0.39;-0.26;0.24;-0.16;g3646;-0.33;0.16;0.55;-0.33;g3646;-0.14;0.02;0.2;0.08;g3646;0.18;-0.19;-0.17;0.26
g3650;0.33;-0.1;-0.03;-0.18;g3650;-0.14;-0.36;0.03;-0.29;g3650;-0.16;-1.5;-0.26;-0.09;g3650;0.3;0.24;-0.15;-0.36
g3697;-0.27;-0.11;-0.21;0.16;g3697;0.14;-0.44;0.55;-0.12;g3697;0.49;-0.1;0.14;-0.08;g3697;-0.2;0.16;0.28;0.31
g3700;0.12;-0.11;0;0.1;g3700;0.25;-0.54;0.03;-0.71;g3700;0.43;-0.09;0;-0.26;g3700;0.21;0.11;0.25;0.17
g3720;-0.22;-0.17;-0.14;0.02;g3720;0.59;0.21;0.61;-0.2;g3720;0.73;0.86;0.35;-0.08;g3720;-0.14;0.05;0.29;-0.01
g3724;0.06;-0.07;-0.05;0.05;g3724;0.07;-0.23;-0.39;-0.37;g3724;0.59;0.37;-0.12;-0.18;g3724;0.24;-0.23;-0.23;-0.52
g3747;-0.42;-0.4;-0.2;0.23;g3747;0.06;0;0.81;-0.62;g3747;0;-0.12;0.09;-0.08;g3747;-0.17;-0.37;-0.27;-0.34
g3772;0.23;-0.27;-0.02;0.25;g3772;0.42;-0.61;0.34;-0.84;g3772;0.16;0.06;-0.02;0.02;g3772;0.13;0.19;-0.03;0.01
g3807;-0.06;-0.06;-0.05;0.09;g3807;0.02;-0.22;-0.04;-0.09;g3807;-0.27;0.02;0.12;0.08;g3807;-0.24;0.01;-0.06;-0.32
g3856;0.26;-0.14;0.07;-0.09;g3856;-0.42;0.14;0.24;0.33;g3856;0;-2.77;-0.39;-0.04;g3856;0.17;0.07;-0.04;-0.16
g3863;0.1;-0.14;-0.34;0.17;g3863;0.23;-0.5;0.38;-1.52;g3863;0;-2.88;0.28;0.01;g3863;-0.18;0.12;-0.18;-0.27
g4017;-0.12;0.07;-0.04;0.38;g4017;0.16;-0.37;0.21;-0.69;g4017;-0.03;-0.32;0.01;-0.21;g4017;0.29;0.1;0.1;-0.24
g4032;0;-0.13;-0.25;0.03;g4032;0.04;-0.09;0.07;0.1;g4032;0.24;0.13;0.02;0;g4032;0.21;0.26;0.1;-0.01
g4116;0;0;0;0;g4116;0.37;0.25;0.44;0.18;g4116;0;0;0;0;g4116;0;0;0;0
g4130;-0.22;-0.47;-0.07;0.22;g4130;-0.28;-0.36;0.41;0.16;g4130;-0.56;0.58;0.43;0.03;g4130;0;0.21;0.23;0.16
g4132;0.05;-0.25;-0.15;0.06;g4132;0.3;-0.22;0.19;-0.55;g4132;0.15;0.25;-0.13;0.29;g4132;0.19;0.03;0.24;-0.1
g4163;0.42;-0.1;0.03;-0.11;g4163;-0.24;0.22;-0.47;0.11;g4163;0.28;0.16;0.05;-0.11;g4163;0.07;0.15;0.04;0.29
g4202;0.06;0.14;0.2;0.24;g4202;0.36;-0.34;0.06;-0.5;g4202;0.28;-0.07;0.06;0.22;g4202;-0.2;-0.38;0.43;0.4
g4231;0.22;-0.14;0.14;-0.09;g4231;0.01;-0.1;0.01;0.04;g4231;-0.81;0.13;0.36;0.24;g4231;-0.02;0.28;0.12;-0.02
g4256;-0.09;-0.14;-0.26;-0.01;g4256;0.01;-0.07;-0.32;-0.18;g4256;-0.74;-0.36;-0.22;-0.16;g4256;-0.12;0.13;-0.01;-0.53
g4355;0.08;-0.27;0;-0.2;g4355;-0.23;0.39;0;0.34;g4355;-0.2;-0.38;-1.7;-1.12;g4355;0.24;-0.05;-0.03;0.34
g4380;0.06;-0.01;0.14;-0.14;g4380;0.17;-0.09;-0.04;-0.59;g4380;0.35;0.27;-0.3;-0.63;g4380;0.21;-0.28;0.16;0.06
g4402;-0.09;-0.38;-0.14;-0.09;g4402;-1.3;-0.41;-0.41;-0.24;g4402;-1.14;-0.68;-0.07;0.3;g4402;0.09;0.28;0.05;-0.07
g4425;-0.02;-0.04;0.08;0.15;g4425;-0.07;-0.05;0.31;-0.34;g4425;0.02;0.26;0.07;-0.15;g4425;0.23;-0.27;0.16;0.3
g4427;0.31;0.1;-0.15;0.13;g4427;-0.18;0.15;-0.05;-0.65;g4427;-0.12;0.07;0.17;-0.03;g4427;0.01;0.01;0.01;0.24
g4449;-0.1;-0.05;-0.15;0.08;g4449;-0.68;-0.29;-0.1;-0.12;g4449;-0.15;0;-0.31;-0.19;g4449;-0.36;0.12;-0.34;-0.15
g4482;0;0;0;0;g4482;0;0;0;0;g4482;-0.64;0.48;0.22;0.08;g4482;0;0;0;0
g4548;0.19;0.06;0.24;0.14;g4548;-0.2;-0.18;0.76;-0.16;g4548;-0.11;0.1;0.05;0.07;g4548;0.22;0.16;-0.15;-0.32
g4552;0.1;-0.14;0.12;0.07;g4552;0.01;0.27;0.83;0.37;g4552;0.42;0.54;0.18;0.05;g4552;0.37;0.42;0.16;-0.04
g4624;-0.56;-0.35;-0.3;0;g4624;0;0;0;-0.84;g4624;0.06;0.02;-0.06;-0.2;g4624;-0.29;-0.08;-0.36;-0.52
g4679;0.06;-0.04;-0.12;0.09;g4679;0.08;-0.21;0.15;-0.42;g4679;-0.03;0.07;0.18;0.06;g4679;0.11;0.26;0.03;-0.27
g4686;-0.18;0.07;-0.05;0.16;g4686;0;0;0;0;g4686;0.6;0.52;0.34;0.21;g4686;-0.09;-0.74;0.37;1
g4715;0.21;0.08;-0.17;0.13;g4715;0.41;-0.19;0.07;-0.34;g4715;0.18;0.09;0.26;0.13;g4715;0.12;-0.2;-0.04;-0.08
g4728;0.03;0.03;0.11;0.14;g4728;0.23;-0.15;0;0;g4728;-0.36;-0.22;0.08;0.27;g4728;0.25;-0.13;-0.39;-0.43
g4736;-0.07;0.05;0;0.31;g4736;0;0;0;0;g4736;-0.37;0.01;-0.16;0;g4736;0.13;-0.03;-0.16;-0.54
g4739;0.2;-0.13;0.03;-0.09;g4739;-0.02;-0.38;0.31;0.16;g4739;-0.2;0.29;0.34;0.1;g4739;0.13;-0.22;0.16;0.24
g4795;-0.23;0.61;0.68;0.41;g4795;0.81;0.64;0.68;0.38;g4795;0.82;1.31;1.23;0.55;g4795;-0.03;0.08;-0.01;-0.4
g4797;-0.18;0.17;0.01;-0.04;g4797;0.16;-0.16;0.42;-0.06;g4797;0.15;0.05;0.43;-0.18;g4797;-0.28;-0.03;0.31;0.02
g4820;0.06;-0.11;-0.1;-0.06;g4820;0.08;0.38;-0.11;0.04;g4820;-0.3;-0.21;0.46;0.1;g4820;-0.06;0.14;0.08;-0.12
g4847;-0.3;-0.03;0;-0.08;g4847;0.37;-0.12;-0.06;-0.69;g4847;0.57;0.38;0.4;0.21;g4847;-0.35;-0.54;0.1;0.07
g4988;0.22;-0.06;0.03;0.27;g4988;-0.47;-0.6;0.45;0.18;g4988;-0.51;-0.12;0.08;-0.16;g4988;0.31;0.23;0.29;-0.38
g5067;-0.01;0.07;-0.17;0.11;g5067;0.49;0;0;0;g5067;-0.19;-0.47;-0.22;-0.37;g5067;0.02;-0.13;0.08;-0.15
g5104;0.22;-0.23;0.17;-0.06;g5104;-0.19;0.28;0.03;0.26;g5104;0.39;0.19;-0.03;-0.08;g5104;0.02;0.08;-0.02;0.08
g5114;0.31;-0.22;0.27;-0.1;g5114;0.09;0.13;-0.45;-0.31;g5114;-1.21;-0.27;-0.59;0.04;g5114;-0.11;-0.13;0.17;-0.45
g5118;-0.14;-0.24;0.06;0;g5118;0.29;0.46;0.76;0.53;g5118;0;0.22;-1.02;0.33;g5118;0;0.35;-0.14;-0.87
g5343;0.31;-0.04;0.36;0.04;g5343;0.09;-0.2;0;-0.15;g5343;0.18;-0.04;-0.34;0.17;g5343;0.35;1.03;-0.09;-0.49
g5347;0.2;-0.5;0.02;-0.32;g5347;-0.36;0.22;0.61;-0.18;g5347;0.54;0.22;0.33;0;g5347;-0.33;-0.22;0.14;0.1
g5374;-0.38;-0.05;-0.35;-0.1;g5374;-0.21;0.12;0.32;0.41;g5374;0.13;0.36;0.21;0.4;g5374;-0.23;0.04;-0.39;-0.19
g5469;-0.41;0.16;-0.11;0.03;g5469;0.42;-0.02;-0.02;-0.5;g5469;0.27;0.24;0.16;0.12;g5469;-0.3;0.12;-0.28;-0.56
g5485;0.09;-0.25;0.24;0.23;g5485;-0.55;0.91;-0.01;0.69;g5485;-0.11;0;0.1;0.23;g5485;-0.02;0.27;-0.1;-0.46
g5492;-0.12;0.07;-0.22;0.13;g5492;0.51;-0.17;1.43;0.58;g5492;0.39;0.27;0.35;0.27;g5492;0.25;-0.32;-0.67;-0.37
g5500;-0.1;-0.04;-0.26;0.04;g5500;0.37;-0.25;0.24;-0.45;g5500;0.33;-0.08;-0.4;-0.15;g5500;0;0.17;-0.05;0.02
g5522;-0.25;-0.04;-0.02;-0.2;g5522;-0.04;0.26;0;0.33;g5522;0.01;0.39;-0.03;0.09;g5522;0.08;-0.55;0.73;0.46
g5655;-0.12;-0.05;-0.2;0.19;g5655;0.3;-0.09;0.21;-0.35;g5655;-0.49;-0.46;-0.3;-0.13;g5655;0.22;-0.24;-0.49;-0.41
g5656;0.32;-0.24;0.14;0.4;g5656;0.23;0;0.25;-0.29;g5656;-0.55;-0.17;-0.01;-0.2;g5656;-0.05;0.14;-0.27;-0.42
