;t0;t0;t0;t0;;t1;t1;t1;t1;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t7;t7;t7;t7;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g4793;0.07;0.48;0.26;0.19;g4793;-0.08;0.38;-0.34;-0.11;g4793;0.3;0.12;0.08;-0.15;g4793;0.12;0.2;-0.26;-0.13;g4793;-0.21;0.3;-0.1;-0.09;g4793;0.07;0.72;0.11;-0.07;g4793;-0.14;0.2;0.07;0.06
g4818;1.03;-0.53;0;-0.23;g4818;0;0.1;-0.06;0.02;g4818;-0.18;0;1.52;-0.12;g4818;-0.33;0;0.4;0.04;g4818;0.12;0;0.11;-0.34;g4818;-0.01;0.03;0.26;-0.06;g4818;-0.2;0.3;0.26;0.04
g4840;0.22;-0.18;-0.19;0.18;g4840;0.23;0.18;-0.31;-0.16;g4840;0.34;-0.14;-0.4;-0.09;g4840;0.1;-0.4;-0.17;-0.05;g4840;0.27;-0.38;-0.17;0.13;g4840;-0.16;0.05;-0.06;0.07;g4840;-0.09;-0.12;0.13;-0.12
g5000;-0.15;0.1;-0.55;-0.04;g5000;-0.33;0.01;-0.18;-0.29;g5000;0.08;0.34;-0.22;-0.38;g5000;0.19;0.1;0.3;0.03;g5000;0.04;0.32;-0.28;0.21;g5000;0.23;0.05;0.01;0.06;g5000;-0.1;0.06;-0.23;0.12
g5013;-1.24;-1.25;-0.96;-0.47;g5013;-0.78;-0.1;-0.27;-0.7;g5013;1.46;-0.1;1.61;-0.03;g5013;1.11;0;0.82;0.44;g5013;0.62;-0.74;0.44;0.58;g5013;0.07;0;-0.19;0.54;g5013;-0.23;0;-1;0.26
g5064;0.28;0.41;-0.26;-1.33;g5064;-0.43;0.38;0.45;0.17;g5064;-0.13;0.17;0.15;0.47;g5064;0.03;0.11;0.16;0.36;g5064;0.12;-0.14;0.17;0.16;g5064;0.15;1.36;0.31;0.1;g5064;-0.05;-0.03;0.33;0.08
g5178;-0.11;0.06;-0.45;-0.24;g5178;0.09;-0.26;-0.07;0.09;g5178;-0.05;0.14;-0.62;-0.44;g5178;-0.01;-0.06;-0.05;-0.22;g5178;0.06;0.15;-0.46;-0.28;g5178;0.08;-0.06;-0.2;-0.19;g5178;-0.15;0.29;-0.12;0.08
g5186;0.03;0.06;0.09;0.15;g5186;-0.49;0.02;0.13;0.05;g5186;0.41;0.06;-0.34;-0.06;g5186;0.1;0.08;-0.27;0.06;g5186;0.23;0.16;0.17;-0.07;g5186;0.12;-0.06;0.27;0.03;g5186;0.06;0.02;0.47;0.02
g5230;-0.02;0.05;0.07;0.09;g5230;-0.04;0.26;0.02;-0.24;g5230;-0.02;0;0.41;0.07;g5230;-0.04;0.56;0.07;0.02;g5230;0.16;-0.24;0.03;0.04;g5230;0.29;0.33;0.04;0.01;g5230;0.28;-0.65;0.09;0.06
g5244;-0.1;-0.66;-0.07;1.14;g5244;-0.19;-0.46;-0.12;0;g5244;-0.25;-0.18;0.1;0.12;g5244;-0.17;0.21;0.18;0.12;g5244;0.15;-0.46;-0.12;-0.31;g5244;0.11;0.8;-0.27;-0.01;g5244;0.2;0;0.04;-0.19
g5279;-0.33;0.55;0.63;-0.22;g5279;0.3;-0.66;0;0.53;g5279;0.45;-0.11;-0.76;0.53;g5279;0.27;0.34;-0.99;-0.05;g5279;-0.05;-0.36;-0.5;-0.49;g5279;0.23;0.52;-0.26;-0.64;g5279;-0.4;0.34;-0.11;-0.37
g5359;-0.12;-0.21;-0.34;0.26;g5359;-0.07;0.04;-0.34;-0.61;g5359;-0.03;0.27;-0.42;-0.12;g5359;0.04;0.04;0.06;0.31;g5359;0.15;0.39;0.26;0.26;g5359;0.15;0.43;0.06;-0.21;g5359;0.02;0.34;0.19;0.21
g5366;0.11;-0.07;0.71;-0.42;g5366;-0.05;-0.01;0.33;-0.4;g5366;0.2;-0.4;0.41;0.09;g5366;0.09;0.14;-0.86;0.49;g5366;0.04;-0.21;0.01;0.29;g5366;0.14;0.58;-0.23;0.14;g5366;-0.07;0.22;-0.55;0.11
g5437;-0.08;-0.94;0.06;-0.68;g5437;0.34;-1.19;-0.74;-0.34;g5437;0.31;-0.31;-0.3;0.14;g5437;-0.02;-0.02;0.17;-0.18;g5437;0.17;-0.09;0.18;-0.02;g5437;0.01;0.11;0.12;0.07;g5437;0.03;-0.25;0.1;0.34
g5448;-0.15;-0.89;-0.29;0.99;g5448;-0.51;-2.23;-0.91;-0.03;g5448;-0.74;0.47;-0.84;-0.37;g5448;-0.36;1.11;0.07;-0.11;g5448;0.1;0.78;-0.24;-0.3;g5448;0.45;1.03;0.09;-0.21;g5448;0.36;0.54;-0.02;-0.03
g5457;0;-0.03;0.32;-0.28;g5457;-0.11;-0.31;0.22;0;g5457;-0.22;-0.37;-0.04;-0.07;g5457;-0.02;0.35;0.11;-0.16;g5457;-0.24;-0.49;0.17;0.12;g5457;0.13;0.65;0.25;-0.03;g5457;0.16;-0.01;0.21;0.17
g5470;-0.02;0.3;-0.78;0.23;g5470;-0.18;0.46;0.05;1.33;g5470;-0.18;0.14;0.4;-0.33;g5470;0.01;0.21;0.59;-0.23;g5470;0.03;-0.08;0.06;-0.31;g5470;0.19;-0.48;0.09;-0.04;g5470;-0.11;-0.4;-0.21;-0.06
g5544;-0.04;0.3;0.16;0.67;g5544;-0.26;0.03;0.01;-0.52;g5544;0.24;0.35;-0.28;0.25;g5544;0.12;-0.04;-0.31;0.44;g5544;0.07;0.31;-0.13;0.19;g5544;0.03;0.07;0.02;0.25;g5544;-0.04;0.19;0.18;-0.07
g5585;0.49;-1.11;-0.43;0.4;g5585;0;0.75;-0.61;0.2;g5585;0;-0.57;-0.17;-0.11;g5585;-0.5;-0.08;0.47;-0.12;g5585;0.48;0.02;0.28;-0.11;g5585;-0.02;0.33;0.12;0.04;g5585;-0.31;-0.18;0.07;-0.15
g5599;0;-0.86;-0.13;0;g5599;0;-0.39;-0.1;0;g5599;0;1.01;-0.12;0;g5599;0;-0.27;0.13;0;g5599;0;-0.65;0.14;0;g5599;0;0.47;0.09;0;g5599;0;-1.17;0.12;0
g5713;0;-0.27;-0.12;0.45;g5713;0;-0.26;0.06;-0.3;g5713;0.25;-0.27;0.32;0.38;g5713;0.09;0.09;0.12;0.26;g5713;0.14;0.16;-0.01;-0.02;g5713;-0.03;-0.11;-0.08;-0.02;g5713;-0.09;0.38;-0.12;0.13
g5715;-0.22;0.01;-0.95;0.37;g5715;-0.2;-0.3;-1.3;-0.31;g5715;-0.47;0.38;0.83;0.05;g5715;0.36;0.1;0.41;-0.02;g5715;0.49;0.13;0.6;-0.08;g5715;0.07;-0.04;0.33;-0.06;g5715;0.2;0.3;-0.17;-0.16
g5813;0.09;-0.47;0;2.11;g5813;0.87;-0.29;-0.66;0.57;g5813;-0.15;-0.43;-0.9;0.5;g5813;0.09;0.01;-0.66;-0.54;g5813;-0.02;-0.36;-0.07;-0.65;g5813;0.1;-0.03;-0.53;-0.3;g5813;-0.11;-0.18;-0.37;-0.21
g5933;-0.05;0.33;-0.74;0.38;g5933;-0.78;0.32;-0.01;-0.09;g5933;-0.26;0.23;-0.34;0.34;g5933;-0.15;0;0.15;0.31;g5933;0.31;0.2;0.01;0.09;g5933;0.12;-0.26;0.17;0.24;g5933;0.36;0;0.13;-0.16
g5988;-0.25;0.17;0.97;0.25;g5988;-0.14;0.36;0.74;0;g5988;-0.05;-0.18;0.74;-0.13;g5988;0.18;0.63;0.15;0.15;g5988;0.44;-0.36;0.08;0.19;g5988;-0.12;0.67;-0.21;0.07;g5988;0.14;-0.02;-0.46;-0.01
g6016;0.02;-0.48;-0.11;-0.86;g6016;0.04;-0.26;0.28;-0.31;g6016;-0.11;-0.04;-0.09;0.11;g6016;-0.21;0.11;0.18;0.3;g6016;-0.11;0.31;-0.48;0.3;g6016;0.24;0.34;-0.33;0.37;g6016;-0.05;0.08;-0.47;0.36
g6066;0.12;-0.13;0.8;0.74;g6066;0.2;0.11;0.16;0.18;g6066;0.15;-0.21;0.04;-0.09;g6066;-0.53;-0.34;-0.23;-0.03;g6066;0.29;-0.11;-0.41;-0.38;g6066;0.09;0.52;-0.05;0.37;g6066;0.22;0.19;-0.07;-0.25




;c0;c0;c0;c0;c0;c0;c0;;c1;c1;c1;c1;c1;c1;c1;;c2;c2;c2;c2;c2;c2;c2;;c3;c3;c3;c3;c3;c3;c3;;
;t0;t1;t3;t4;t5;t6;t7;;t0;t1;t3;t4;t5;t6;t7;;t0;t1;t3;t4;t5;t6;t7;;t0;t1;t3;t4;t5;t6;t7;;
g0;-0.15;-0.15;0.17;-0.42;-0.44;-0.15;0.24;g0;-0.16;0.09;0.03;-0.04;-0.12;-0.28;-0.44;g0;-0.19;-0.77;-0.19;0.13;-0.36;-0.55;-0.07;g0;0.3;-0.12;0.18;-0.24;0.11;-0.12;0.37
g351;0;-0.6;-0.32;-0.13;-0.37;0.07;0.1;g351;0;0;0;0;0;0;0;g351;-0.16;-0.3;-0.03;0.54;-0.43;0.19;-0.04;g351;-0.6;-0.22;0.09;0.2;0.2;0.17;0.35
g551;0.54;0.06;0.07;0.06;0.14;0;-0.02;g551;0.74;0.58;0.59;0.2;0.44;0.11;0.42;g551;-0.51;-0.37;-0.05;0.04;-0.88;0.77;-0.59;g551;0.25;0;0.16;0.24;-0.13;-0.09;-0.45
g694;-0.35;0.03;-0.04;0.33;0.15;0.33;0.03;g694;-0.52;-0.35;0.21;0.23;-0.08;0.16;-0.2;g694;0.02;-1.43;0.39;0.3;0.16;0;-0.33;g694;0.58;-0.01;0.01;-0.21;-0.03;0.21;-0.04
g914;0.1;-0.05;-0.17;0.36;-0.26;0.17;-0.12;g914;0;0;0;0;0;0;0;g914;-0.24;0.2;-0.17;-0.12;-0.03;0.17;0.01;g914;-0.08;-0.18;0.03;0.03;-0.22;0.13;0.03
g1019;-0.03;0.36;-0.14;-0.64;-0.45;-0.12;0.45;g1019;-0.19;0.16;0.38;0.06;-0.84;0.36;-0.36;g1019;0.96;-0.23;-0.01;-0.01;0.13;-0.17;-0.11;g1019;0.27;0.24;0.05;-0.04;-0.02;0.05;-0.15
g1031;0.11;-0.15;0.01;-0.08;-0.25;0.13;-0.17;g1031;-0.13;-0.35;0.47;-0.53;-0.07;-0.18;-0.18;g1031;-0.62;-0.68;-0.05;-0.04;0.37;0.18;0.19;g1031;0.06;-0.11;-0.13;-0.08;-0.03;-0.3;0.22
g1144;-0.33;0;-0.31;0.01;0.15;-0.05;0.23;g1144;0.09;0.22;0.25;-0.63;-0.26;0.29;0.02;g1144;-0.77;-0.39;-0.3;0.23;0.41;0.47;0.07;g1144;-0.39;-0.08;-0.18;-0.09;-0.16;0.02;0.23
g1159;-0.26;-0.03;-0.07;-0.13;-0.27;-0.43;0;g1159;0.03;0.38;-0.03;-0.34;-0.24;0.04;0.14;g1159;0.04;-0.45;0.03;-0.01;-0.07;0.03;0.06;g1159;-0.33;0.28;0.15;-0.25;-0.22;0;0.2
g1164;-0.35;0;1.31;-0.39;-0.23;-0.37;0.12;g1164;0.01;0.24;-0.18;-0.1;-0.15;-0.03;0.08;g1164;-0.26;-0.01;-0.13;0.01;-0.02;-0.07;0.17;g1164;-0.21;-0.21;0.05;-0.13;-0.16;-0.03;0.19
g1209;-0.03;-0.24;-0.06;-0.14;-0.19;-0.19;-0.12;g1209;0.55;0.51;0.15;0.01;-0.08;-0.18;0.08;g1209;-0.65;0.38;0.17;-0.54;0.17;0.22;-0.49;g1209;-0.96;-0.23;0.33;0.17;0.2;0.23;0.04
g1272;0.24;-0.49;-0.57;0.28;-0.26;-0.05;-0.29;g1272;1.42;0.75;-0.44;0.2;-0.6;0.45;-0.7;g1272;0;3.78;3.24;1.83;-0.7;0;0;g1272;0.7;0.47;0.27;0.5;-0.13;0.12;-0.07
g1274;0.02;-0.05;-0.31;-0.01;-0.29;0.57;0;g1274;-0.52;-0.85;-0.08;-0.21;0.42;0.12;0.36;g1274;-0.84;-0.21;-0.21;-0.23;-0.33;0.28;-0.69;g1274;0.06;-0.15;-0.45;-0.41;-0.37;-0.43;0.22
g1296;-0.07;-0.2;0.11;0;0.19;0.28;0.16;g1296;-0.91;-1.02;0.51;-0.03;0.44;0.34;0.21;g1296;-0.42;-0.22;-0.05;-0.21;0.27;-0.08;-0.33;g1296;0.44;-0.24;-0.42;0.09;0.05;-0.74;0.21
g1297;-0.08;-1.03;-0.28;0.38;0.28;0.27;0;g1297;0.33;0.33;0.3;0.3;-0.03;0.15;0.2;g1297;-0.3;0.44;0.17;0.01;0.3;0.16;-0.04;g1297;-0.66;-0.06;0.4;0.82;0.48;0.27;-0.04
g1365;-0.07;-0.13;-0.3;-0.03;-0.17;0.26;-0.19;g1365;-0.08;-0.25;0.07;0.69;0.35;0.82;0.39;g1365;-0.41;-0.27;0.08;-0.08;0.15;0.36;0.02;g1365;-0.16;-0.47;-0.28;0.12;-0.24;-0.16;0.41
g1400;0;0.06;-0.02;-0.14;-0.03;-0.05;0;g1400;0.1;0.1;-0.35;0.2;-0.52;0.35;-0.33;g1400;1.04;1.31;0.75;0.55;0.66;-0.34;0.17;g1400;-0.22;-0.24;0.04;0.31;-0.13;0.27;0.27
g1412;-0.19;-0.28;0.43;0.27;0;0.28;-0.28;g1412;-0.27;-0.05;0.27;0.09;0.13;0.11;-0.16;g1412;0.16;0.42;0.2;-0.54;0.32;-0.29;0.04;g1412;-1.06;0;-0.26;0.12;0.22;0.12;0.22
g1441;0.14;-0.11;-0.14;0;-0.2;0.38;-0.08;g1441;-0.09;-0.03;0.04;0.32;0.31;0.19;0.25;g1441;0.19;0.17;0.4;-0.04;0.62;-0.18;-0.04;g1441;-0.38;-0.3;-0.15;-0.13;-0.17;-0.02;-0.06
g1460;-0.03;0.08;0;0.23;-0.06;0.25;-0.13;g1460;-0.73;0;0;0;0;0;0;g1460;0.13;-0.31;-0.33;-0.22;-0.02;-0.75;-0.27;g1460;-0.2;-0.01;-0.21;-0.13;-0.11;-0.12;0.03
g1494;0.1;-0.79;-0.1;0.37;0.13;0.09;0.06;g1494;1.23;1.06;0.23;-0.13;0.33;-0.18;0.15;g1494;-0.53;0.13;0.28;0.08;0.3;0.29;-0.01;g1494;0.49;-0.11;0.28;0.49;-0.22;-0.22;0.05
g1497;-0.16;0;0.07;-0.09;-0.03;-0.13;0.04;g1497;-0.71;-0.06;-0.17;0.27;-0.87;0.1;0.02;g1497;-0.08;-0.02;0.39;0.18;0.64;-0.32;-0.34;g1497;-0.18;-0.08;0.23;0.03;0.06;0.15;-0.1
g1501;-0.21;0.46;0.81;0;0.18;-0.37;-0.24;g1501;-0.02;0.27;-0.33;-0.07;-0.97;-0.25;-0.84;g1501;-0.16;0.29;0.73;-1.12;-0.02;-0.35;-1.69;g1501;-0.58;-0.13;-0.03;-0.11;0.06;0.14;0.3
g1536;-0.04;-0.07;0.32;0.21;0.11;0.24;-0.11;g1536;-0.86;-0.72;-0.41;0.28;-0.06;0.41;-0.19;g1536;-0.34;-0.39;-0.27;-0.82;0.45;-0.45;-0.54;g1536;-0.21;-0.67;0.04;0.07;0.13;0.06;0.14
g1546;-0.23;0.2;0.18;-0.33;0.32;-0.29;0.25;g1546;-0.19;-0.05;0.26;0.03;-0.57;0.62;-0.48;g1546;-0.35;0.05;0.19;0.42;-0.07;0.2;0.03;g1546;0.09;0.36;0.09;0.19;0.28;0.3;-0.17
g1568;-0.19;0.51;0.36;-0.22;0;-0.29;-0.09;g1568;-1.33;-1.51;-0.18;0.45;0;-0.21;0.15;g1568;0.19;-1.35;-0.69;-0.14;-0.33;-0.27;0.2;g1568;0.47;0.16;-0.09;0.03;0.14;0.01;0.12
g1580;0.06;-0.21;0.13;0.09;0.22;0.48;0.14;g1580;0.74;0.15;0.75;-0.28;0.61;-0.67;0.29;g1580;-0.34;-0.18;0.32;0.43;-0.06;0.28;0.35;g1580;-0.48;-0.39;-0.14;0.23;0.24;0.26;0.17
g1619;-0.6;0;0.27;-0.48;0.28;-0.46;-0.24;g1619;0.08;0.14;-0.07;-0.17;-0.23;-0.29;0.14;g1619;1.17;0.89;0.57;0.48;0.19;-0.02;0.32;g1619;-0.46;-0.24;-0.21;-0.08;0.05;0.22;0.09
g1625;-2.29;0;1.6;0.53;0.55;-0.38;-0.54;g1625;-0.88;0.25;0.79;0.36;-0.74;-1.23;-0.92;g1625;-1.05;0.22;0.7;0.76;0.16;-0.07;-0.49;g1625;-1.14;-0.14;-0.3;0.45;0.68;0.74;0.34
g1630;0.17;-0.63;-0.31;-0.13;0.17;-0.26;0.36;g1630;1.17;1.1;0.49;0.16;0.35;0.15;0.21;g1630;-0.44;0.21;0.4;0.32;0.02;0.33;0.37;g1630;-0.76;-0.34;0.66;0.85;0.86;0.52;0.24
g1632;0.16;-0.01;-0.01;-0.04;0.1;0.16;0.13;g1632;0.32;0.28;0.25;-0.17;0.11;0.25;0.06;g1632;0.8;0.61;-0.01;-0.16;-0.36;-0.43;0.39;g1632;-0.02;-0.06;0.52;0.24;0.12;-0.18;-0.08
g1640;0.31;0.35;-0.13;0.18;-0.24;0.11;-0.1;g1640;-1.05;-0.28;-0.07;0.19;-0.1;0.04;0.27;g1640;0.53;0.43;0.49;0.36;-0.11;-0.02;0.08;g1640;0.44;0.2;-0.23;-0.21;-0.5;-0.45;-0.14
g1642;-0.34;-0.34;0.09;0.04;0.14;-0.12;-0.34;g1642;-0.17;-0.07;0.08;-0.13;0.22;-0.37;0.12;g1642;0.1;0.15;-0.21;0.3;-0.37;0.01;-0.04;g1642;-0.64;0.2;0.25;-0.01;-0.15;-0.1;0.07
g1666;-0.12;0.07;-0.1;0;-0.04;0.05;0.05;g1666;-0.27;0.05;0.06;-0.35;0.18;0.14;0.18;g1666;-0.23;-0.65;0.04;0.19;0.07;-0.02;0.26;g1666;0.39;-0.08;0.29;-0.16;-0.12;-0.33;-0.21
g1676;-0.13;-0.56;-0.3;-0.23;0.26;-0.29;0.35;g1676;0.78;0.74;0.27;-0.1;0.56;-0.34;0.46;g1676;-0.57;0.1;-0.16;-0.02;-0.33;0.19;0.17;g1676;-0.97;-0.28;0.58;0.79;0.54;0.28;0.17
g1685;0.41;0.28;0.22;0.04;0.11;0.35;0.15;g1685;-0.43;-0.37;0.08;-0.49;0.35;-0.43;0.35;g1685;-0.37;-0.2;-0.01;-0.06;-0.41;-0.25;0.14;g1685;-0.05;-0.14;0.24;0.06;-0.09;-0.11;-0.43
g1700;-1.46;-0.76;1.5;0.74;0.47;-0.7;-0.68;g1700;0;0;0;0;0;0;0;g1700;0;0.88;0.75;0.04;-0.47;-1.15;-1.6;g1700;-2.01;-1.65;0.06;0.41;0.99;0.82;0.74
g1711;-0.23;0.53;0.33;-0.12;0.02;0.33;0.1;g1711;0;0;0;0;0;0;0;g1711;0;0.69;1.12;0.66;-0.01;0.19;0.15;g1711;0.9;0.47;0.05;0.09;-0.22;-0.16;-0.36
g1725;0;0;0;0;0;0;0;g1725;0;0;0.04;0.72;0;-0.65;-0.29;g1725;0.51;0.39;0.2;0;-0.14;-0.6;-0.32;g1725;0;0;0;0;0;0;0
g1766;0.22;0.12;0.19;-0.03;-0.16;0.28;0.04;g1766;0.39;0.3;0.29;-0.62;0.13;-0.29;0.08;g1766;-0.73;0;0.07;-0.03;-0.5;0.08;-0.08;g1766;0.63;-0.01;0.1;-0.12;-0.17;0.15;-0.11
g1825;0.11;-0.36;-0.05;-0.05;-0.02;-0.38;0.35;g1825;0.96;0.81;0.44;0.01;0.28;-0.12;0.16;g1825;-0.02;0.39;0.24;0.36;0.18;-0.16;0.04;g1825;-0.58;-0.11;0.34;0.67;0.47;0.22;0.24
g1896;-0.74;-0.04;0.83;-0.12;-0.01;-0.74;-0.43;g1896;0;0;0;0;0;0;0;g1896;0;-0.11;0.3;-0.02;-0.33;-0.21;-0.1;g1896;-1.06;0.29;-0.05;0.18;0.45;0.42;0.2
g1898;-0.34;-0.42;-0.04;-0.49;0.06;-0.28;0.1;g1898;0.26;0.27;-0.34;0.19;-0.25;0.47;-0.34;g1898;-0.08;0.11;-0.01;-0.31;-0.53;0.14;0.35;g1898;-0.18;0.31;0.05;-0.11;0.06;0;-0.14
g1908;0.16;0.17;0.33;0.06;0.02;0.08;0;g1908;0;0;0;0;0;0;0;g1908;1.74;1.7;0.55;0.39;0.06;-0.01;0.14;g1908;0.2;-0.15;-0.15;0.33;0.27;-0.06;-0.01
g1942;0.22;-0.17;0.09;0.02;-0.13;0;0;g1942;-0.52;-0.56;-0.01;0.35;-0.5;0.03;-0.08;g1942;-0.68;-0.27;-0.52;-0.05;-0.13;-0.2;-0.08;g1942;0.24;-0.37;0.01;-0.42;-0.18;0.1;0.05
g1950;0.26;0.37;0.38;0.01;0.07;-0.32;0.18;g1950;-0.46;-0.45;-0.16;-0.28;-0.1;-0.5;0.06;g1950;-0.1;-0.03;-0.57;-0.12;-0.3;-0.23;-0.11;g1950;0.83;0.45;-0.28;-0.36;-0.36;-0.2;0.02
g1968;-0.26;-0.44;-0.26;0;0.2;0.13;0.29;g1968;0;0;-0.13;0.62;0.04;0.02;0;g1968;0.37;-0.13;-0.01;0.54;0.31;-0.07;0.09;g1968;-0.21;0.08;0.02;-0.1;-0.01;0.16;0.05
g2007;1.72;0.38;-0.11;0.08;-0.03;0.17;-0.2;g2007;-0.06;0.23;0.21;-0.27;-0.04;0.12;-0.17;g2007;0.87;0.43;-0.09;-0.18;-0.25;-0.23;-0.21;g2007;1.15;-0.04;-0.18;-0.24;-0.04;-0.1;-0.22
g2104;0.03;-0.22;0.05;0.01;-0.2;0.08;0.16;g2104;0.3;0.28;-0.32;-0.1;-0.04;-0.19;0.31;g2104;-1.14;-0.14;0.45;-0.65;-0.14;0;-0.14;g2104;0.34;0.11;0.2;0.05;0.03;-0.05;-0.23
g2191;-0.25;-0.29;0.08;0.2;0.04;-0.14;0.44;g2191;0.4;0.08;-0.39;0.14;0;0.33;-0.32;g2191;0.84;0.33;0.09;-0.25;-0.25;-0.08;0.5;g2191;-1.35;-0.76;0.32;0.57;0.49;0.22;0.37
g2251;0.26;0.08;0.17;0.48;-0.21;0.31;-0.15;g2251;0.24;-0.03;0.2;0.69;0.04;0.06;-0.24;g2251;0.82;0.38;0.69;0.4;0.35;0.36;-0.03;g2251;-0.05;-0.1;-0.17;-0.1;-0.26;0.09;-0.24
g2338;0.01;-0.47;-0.47;0.14;-0.1;0.53;-0.04;g2338;0.27;0.31;0;0.01;0;-0.03;0.56;g2338;-0.23;-0.01;0.2;0.17;0.16;0.11;0.21;g2338;-0.28;-0.26;-0.16;-0.19;-0.07;-0.33;0.13
g2446;0.36;-0.06;-0.19;0.24;-0.28;0.15;-0.21;g2446;-4.29;0;-0.38;0.26;0;0.53;-0.35;g2446;-0.11;-0.21;-0.45;-0.69;-0.28;-0.25;-0.33;g2446;-0.3;-0.12;0.11;0.02;-0.05;-0.07;-0.07
g2491;0.27;-0.6;-0.04;0.04;0.17;0.11;0.26;g2491;0.96;1.1;-0.1;-0.74;0.04;-0.21;0.39;g2491;-0.27;0.38;0.48;-0.13;-0.19;0.08;0.05;g2491;0.07;-0.03;0.46;0.81;0.38;0.19;-0.05
g2555;-0.67;-1.16;-0.52;-0.47;-0.66;-0.1;0.12;g2555;-0.34;-0.47;-0.63;0.23;-0.28;0.66;0.21;g2555;0.48;0.14;-0.19;-0.34;-0.25;0.04;0.27;g2555;-0.21;1.23;0.16;0.31;0.19;-0.01;-0.26
g2694;-0.21;0.24;0.31;0.11;0.16;-0.04;-0.43;g2694;-0.49;0.17;-0.04;0.17;-0.56;0.06;-0.47;g2694;0.53;0.05;0.21;-0.26;-0.33;-0.27;-0.59;g2694;-1.07;0.09;-0.48;-0.02;-0.02;0.06;0.32
g2813;0.15;-0.06;-0.02;-0.21;-0.06;-0.19;0.14;g2813;-0.49;-0.38;0.21;0.4;0.2;0.14;0.21;g2813;-0.36;-0.3;0.11;0.03;-0.39;0.01;0;g2813;-1.05;-0.36;0.54;0.5;0.39;0.3;0.47
g2831;0.13;0.07;-0.2;0.1;-0.25;0.16;0;g2831;-0.09;0.19;-0.09;-0.49;0.26;-0.16;0.27;g2831;-0.11;-0.29;-0.4;0.06;0.44;0.17;0.07;g2831;0.88;0.13;-0.11;-0.54;-0.57;-0.41;0.04
g2940;0.25;0;0.09;-0.08;-0.08;0.03;-0.12;g2940;0.56;0.22;0.1;0.05;0.2;-0.16;0.2;g2940;-0.08;0.25;-0.27;-0.08;0.55;0.37;-0.1;g2940;-0.19;-0.23;0.19;0.1;0.01;-0.12;0.15
g2991;-0.37;2.68;-0.34;-0.25;-0.68;-0.26;0.17;g2991;-0.29;-0.21;-0.06;0.68;-0.41;0.54;-0.14;g2991;0.68;-0.32;-0.32;0.74;1.07;-0.02;-0.56;g2991;0.54;-0.17;0.82;0.35;0.08;0.42;-0.26
g3010;0.31;0.64;0.77;0.4;0.55;0.18;0;g3010;0.49;0.05;-0.28;-0.15;-0.55;-0.56;-0.45;g3010;0.36;0.22;-0.6;-0.61;-0.11;-0.64;-0.5;g3010;0.81;0.62;0.47;-0.16;-0.36;-0.56;-0.42
g3073;0.23;0;-0.02;0.28;0.11;0.14;0.11;g3073;0.51;0.4;-0.65;-0.13;0.49;0.17;0.37;g3073;0.85;0.28;-0.1;-0.34;0.28;0.17;0.23;g3073;0.02;-0.09;0.22;0.02;0;0.05;-0.17
g3166;0.35;0.19;0.05;0.17;-0.35;0.27;-0.18;g3166;0.15;-0.02;-0.07;0.33;0.12;0.04;-0.03;g3166;-0.04;-0.07;0.04;0;-0.14;-0.21;0.33;g3166;1.16;0.38;-0.05;-0.34;-0.44;-0.23;-0.02
g3312;0.19;-0.56;-0.23;0.36;-0.23;0.45;-0.05;g3312;-0.41;-0.02;0.14;0.09;-0.07;-0.55;-0.01;g3312;-0.15;-0.31;0.36;-0.34;-0.21;-0.15;0.14;g3312;-0.54;0;-0.1;0.26;-0.04;-0.22;0.05
g3388;-0.41;-0.23;0.08;0.39;0.3;0.52;0.1;g3388;0.5;1.06;0.47;-0.18;-0.33;-0.68;-0.58;g3388;0.09;0.03;-0.2;-0.63;-1.09;-0.97;-0.53;g3388;-0.81;-0.41;-0.41;-0.23;-0.18;-0.5;0.41
g3648;-0.12;0.58;0.03;0.07;-0.07;-0.02;-0.08;g3648;-0.28;0.17;0.35;-0.53;-0.12;0.1;0.1;g3648;0.33;0;-0.08;0.18;0.35;0.16;0.55;g3648;0.27;-0.29;0.38;0.08;0.35;-0.11;0.24
g3706;-0.48;0.56;0.65;-0.14;0.04;-0.58;-0.56;g3706;-0.39;1.49;-1.01;-0.93;-1.32;-0.91;-0.71;g3706;0;0.68;-0.46;-0.66;-0.16;-1.03;-1.25;g3706;-1.36;0.37;0.11;0.56;0.25;0.1;0.36
g3715;0.23;0.05;-0.04;0.11;-0.42;0.13;-0.11;g3715;-0.07;0.17;-0.21;-0.05;-0.14;-0.14;-0.23;g3715;0.44;0.55;0.28;0.39;0.39;0.84;0.45;g3715;0.83;0.08;-0.2;-0.4;-0.49;-0.33;-0.3
g3733;-0.23;0.37;0.09;0.24;-0.17;-0.17;-0.39;g3733;-0.02;0.18;-0.52;0.27;0.05;0.52;-0.02;g3733;-0.46;0.27;0.19;0.05;-0.04;0.11;0.08;g3733;-0.13;0.04;0.28;0.21;0.18;0.29;-0.2
