;t0;t0;t0;;t1;t1;t1;;t4;t4;t4;;t5;t5;t5;;t6;t6;t6;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;
g3118;0.43;0.4;0.93;g3118;0.3;0.46;-0.16;g3118;0.04;0.66;-0.23;g3118;0;0.33;-0.1;g3118;0.34;-0.29;-0.05;g3118;-0.28;0.08;0.26;g3118;0.12;-0.15;-0.16;g3118;-0.43;-0.32;0
g3125;-0.21;-0.13;-0.04;g3125;-0.23;-0.15;0.36;g3125;-0.21;0.08;0.04;g3125;0.13;0.12;0.05;g3125;-0.14;0.04;-0.05;g3125;0.22;0.02;-0.23;g3125;0.11;0.13;-0.11;g3125;-0.12;0;-0.02
g3161;0.01;-0.33;0.22;g3161;0.24;-0.25;-0.05;g3161;-0.14;0.26;0.24;g3161;-0.1;0.03;0.07;g3161;0.13;-0.04;0.02;g3161;-0.04;0.38;-0.06;g3161;0.03;0.39;-0.29;g3161;-0.14;-0.28;0.04
g3178;-0.02;0.59;1.15;g3178;0.42;-1.42;0.37;g3178;-0.19;-0.33;-0.58;g3178;0.82;-0.46;-0.53;g3178;-0.31;-0.76;-0.27;g3178;-0.4;0.31;0.05;g3178;-0.21;0.36;-0.16;g3178;-0.06;0.14;0.12
g3219;0.16;0.33;0.34;g3219;-0.49;0.06;-0.14;g3219;0.22;0.23;-0.04;g3219;0;0.08;-0.2;g3219;0.32;-0.08;0.22;g3219;-0.16;-0.63;0.2;g3219;0.16;0.19;-0.33;g3219;-0.2;-0.28;0
g3287;0.04;-0.69;-0.38;g3287;-0.13;-0.82;-0.47;g3287;0.5;1.36;0.09;g3287;0.13;0.8;0.12;g3287;0.31;0.68;-0.16;g3287;-0.01;-0.2;0.03;g3287;0.08;-0.71;0.34;g3287;-0.25;0;-0.07
g3345;0.12;-0.18;-1.67;g3345;-0.09;-0.07;0.04;g3345;-0.13;0.06;0.13;g3345;-0.23;-0.35;0.44;g3345;-0.11;-0.26;0.25;g3345;-0.04;0.05;0.25;g3345;0.27;0;-0.16;g3345;0.05;0.35;-0.16
g3353;-0.14;0.15;0.17;g3353;-0.16;-0.14;-0.25;g3353;0.05;-0.27;-0.22;g3353;0.19;-0.22;0.03;g3353;0.28;-0.21;0.22;g3353;-0.11;0.02;0.1;g3353;0.22;0;0.1;g3353;-0.18;0.52;0.05
g3363;0.14;-0.46;-0.85;g3363;-0.36;-0.6;-0.22;g3363;0.1;0.33;0.25;g3363;-0.18;-0.51;0.37;g3363;0.12;-0.33;0.24;g3363;-0.17;0;0.18;g3363;0.11;-0.35;-0.15;g3363;-0.02;0.25;-0.05
g3391;-0.15;0.53;0.08;g3391;-0.4;-0.62;-0.13;g3391;0.17;-0.12;-0.14;g3391;0.04;0.05;0.08;g3391;-0.1;0.4;-0.13;g3391;0;-0.16;0.18;g3391;-0.1;-0.29;0.19;g3391;0.14;0.01;-0.21
g3404;0.18;-0.66;0.29;g3404;-0.04;-0.24;-0.16;g3404;0.14;0.13;-0.03;g3404;-0.09;-0.16;-0.21;g3404;0.36;0;-0.31;g3404;-0.1;0.33;0.42;g3404;0.08;0.17;-0.04;g3404;-0.4;0.15;0.42
g3426;-0.02;-0.03;0.44;g3426;-0.44;-0.66;-0.15;g3426;0.08;0.19;-0.12;g3426;-0.29;-0.02;-0.34;g3426;0.17;0.04;0.18;g3426;-0.09;0.13;-0.43;g3426;0.24;0.34;0.3;g3426;-0.08;0.29;0.31
g3486;-0.54;-0.35;-0.21;g3486;0.06;0.11;0.54;g3486;-0.07;-0.05;-0.07;g3486;0.08;0.07;-0.1;g3486;0.15;0.14;0.16;g3486;-0.1;-0.35;-0.02;g3486;-0.17;-0.13;-0.94;g3486;-0.13;0.37;0.09
g3558;-0.24;-0.38;-0.22;g3558;-0.07;-0.08;-0.14;g3558;-0.19;0.19;-0.14;g3558;0.43;0.13;0.02;g3558;0.26;-0.02;-0.07;g3558;0.02;-0.12;0.28;g3558;0.27;-0.23;-0.18;g3558;-0.24;0.71;0.1
g3642;0.46;-0.11;-1.77;g3642;-0.29;0.26;-1.29;g3642;0.9;0.25;0.84;g3642;0.26;-0.06;0.96;g3642;-0.23;-0.78;0.59;g3642;0.83;0;-0.24;g3642;1.03;0.13;-0.73;g3642;0.95;0.4;0.57
g3667;-0.02;-0.09;-0.37;g3667;-0.18;-0.26;-0.41;g3667;0.21;0.01;0.22;g3667;-0.14;-0.07;-0.05;g3667;0.36;0.1;0.2;g3667;0.11;-0.22;0.11;g3667;0.27;0.02;0.21;g3667;-0.22;0.03;-0.07
g3688;0.22;-0.35;-0.51;g3688;0.1;-0.13;-0.26;g3688;-0.16;-0.15;0.49;g3688;0.14;-0.44;0.59;g3688;-0.05;-0.38;0.48;g3688;-0.01;0.04;-0.13;g3688;-0.06;-0.09;-0.69;g3688;-0.14;0.08;-0.29
g3715;0.23;0.44;0.83;g3715;0.05;0.55;0.08;g3715;0.11;0.39;-0.4;g3715;-0.42;0.39;-0.49;g3715;0.13;0.84;-0.33;g3715;0.13;0.56;0.72;g3715;-0.04;0.91;0.43;g3715;-0.27;0.06;0.26
g3764;-0.17;-0.34;1.26;g3764;-0.29;-0.18;0.02;g3764;0.03;0.26;-0.59;g3764;-0.27;-0.15;-0.55;g3764;0.2;-0.24;-0.35;g3764;0.1;0.07;0.36;g3764;0.04;0.15;0.07;g3764;-0.27;0.2;0.3
g3785;0.17;-0.44;0.61;g3785;-0.01;-0.4;-0.07;g3785;0.35;-0.02;-0.02;g3785;0.07;-0.39;-0.35;g3785;-0.18;-0.22;-0.31;g3785;-0.5;0.13;0.16;g3785;-0.03;-0.09;-0.04;g3785;-0.24;0.22;0.04
g3799;0.1;0.01;-0.09;g3799;-0.08;0.22;-0.32;g3799;0.39;0.21;0.25;g3799;-0.2;-0.09;-0.22;g3799;-0.29;-0.23;-0.24;g3799;-0.31;-0.26;0.05;g3799;0.18;-0.38;0.09;g3799;-0.18;-0.04;0.07
g3804;0.16;-0.1;-0.92;g3804;-0.66;0.51;0.34;g3804;-0.08;-0.43;0.57;g3804;0.22;-0.05;0.54;g3804;0.04;0.09;0.3;g3804;0.09;-0.19;-0.41;g3804;-0.14;0.61;-0.74;g3804;-0.02;-0.04;-0.01
g3820;-0.18;0;-0.12;g3820;-0.18;-0.09;0.42;g3820;0.13;0.05;0.28;g3820;0.06;0.25;0.29;g3820;0.11;0.31;0.13;g3820;0.19;-0.22;-0.3;g3820;-0.06;-0.21;-0.18;g3820;0.09;0.3;-0.74
g3868;0;-0.15;0.23;g3868;0.34;-0.17;-0.36;g3868;0.22;-0.05;0.23;g3868;0.17;-0.31;0.16;g3868;0.24;0.09;0.2;g3868;-0.27;0.2;-0.2;g3868;0.1;0.01;-0.29;g3868;-0.38;-0.04;0.01
g3884;0.07;-0.2;0.51;g3884;0;-0.44;-0.37;g3884;0.01;-0.13;0.03;g3884;-0.06;-0.08;-0.15;g3884;0.12;0.01;-0.23;g3884;0.12;-0.01;-0.04;g3884;0.2;0.17;0.25;g3884;0;0.48;0
g3945;0.01;-0.13;-0.32;g3945;-0.16;0.09;-0.15;g3945;-0.02;-0.08;0.29;g3945;0.13;-0.1;0.18;g3945;-0.07;0.04;0.26;g3945;0.06;0;-0.09;g3945;-0.05;0.19;-0.17;g3945;-0.02;-0.02;-0.03
g3962;0.17;0.32;0.42;g3962;0.06;0.25;-0.25;g3962;0.16;-0.27;-0.22;g3962;-0.22;-0.13;0.02;g3962;0.31;-0.2;0.05;g3962;-0.26;-0.03;0.08;g3962;0.33;0.05;-0.02;g3962;-0.22;0;0.07
g3983;-0.13;0.11;-0.39;g3983;-0.38;-0.41;-0.55;g3983;0.43;0.24;0.09;g3983;-0.03;0.01;-0.32;g3983;0.29;0.07;0.09;g3983;-0.23;0.03;0.27;g3983;-0.05;0.15;0.07;g3983;-0.3;-0.1;-0.02
g3993;-0.16;0.17;-0.57;g3993;0.21;-0.4;-0.29;g3993;-0.04;-0.06;-0.16;g3993;-0.09;-0.07;0.08;g3993;0.24;0.13;0.05;g3993;0.02;0.1;0.23;g3993;0.19;0.24;0.29;g3993;-0.14;0;0.15
g4020;-0.07;0.33;0.23;g4020;0.48;-1;-0.02;g4020;-0.13;-0.23;-0.42;g4020;0.44;-0.35;-0.16;g4020;0.13;-0.19;0.03;g4020;0;0.89;0.01;g4020;-0.15;0.56;0.01;g4020;0;0.06;-0.09
g4031;0.21;-0.42;-0.44;g4031;-0.24;-0.38;-0.7;g4031;0.38;0.14;-0.07;g4031;-0.05;-0.22;0.11;g4031;0.51;0.05;-0.07;g4031;-0.28;0.14;0.59;g4031;0.21;0.02;0.33;g4031;-0.21;0.24;0.04
g4085;0.42;0.54;1.09;g4085;0.15;-0.26;0.2;g4085;0.1;-0.03;0;g4085;-0.12;0.15;-0.25;g4085;0.12;0.26;-0.19;g4085;-0.14;-0.07;0.1;g4085;0.15;-0.04;0;g4085;-0.18;0.05;-0.19
g4125;-0.01;-0.44;0.17;g4125;-0.69;-0.34;-0.24;g4125;0.2;-0.23;0.12;g4125;0.07;0.13;-0.1;g4125;0.51;0.12;-0.08;g4125;-0.24;-0.11;0.06;g4125;0.11;0.03;0.34;g4125;-0.31;0;-0.12
g4184;0.11;-0.1;-0.48;g4184;-0.6;0.14;-0.61;g4184;0.49;0.14;0.34;g4184;0.25;0.34;0.51;g4184;0.4;0.13;0.39;g4184;0.12;0.48;-0.09;g4184;0.29;0.18;-0.38;g4184;0.09;-0.82;0.06
g4236;0.52;0.28;-0.47;g4236;0.11;-0.17;-0.28;g4236;0.02;0.11;0.12;g4236;-0.26;0.08;0.35;g4236;-0.08;0.1;0.3;g4236;-0.14;0.11;0.08;g4236;0.17;0.23;-0.04;g4236;0.04;-0.33;-0.08
g4263;0.14;-0.1;0.41;g4263;0;-0.48;0.36;g4263;0.1;-0.04;-0.32;g4263;0.03;0.22;-0.31;g4263;0.12;0.19;-0.26;g4263;0.24;-0.2;0;g4263;0.15;-0.12;0.35;g4263;-0.21;0.27;0.21
g4274;0.33;0.35;1.58;g4274;-0.02;-0.24;-0.21;g4274;0.26;-0.51;-0.43;g4274;0.36;-0.54;-0.53;g4274;0.31;-0.19;-0.38;g4274;-0.4;0.4;0.25;g4274;-0.25;0.24;0.5;g4274;-0.64;0;0.25
g4333;0.22;0.18;0.36;g4333;0.44;0.4;-0.28;g4333;0.18;-0.02;0.26;g4333;-0.26;0.15;-0.02;g4333;0.09;-0.28;0.31;g4333;-0.22;-0.18;-0.08;g4333;0.12;-0.14;-0.32;g4333;-0.06;-0.02;-0.1
g4360;0;-0.04;0;g4360;0;0.53;0;g4360;0;-0.33;0;g4360;0;-0.14;0;g4360;0;0.01;0;g4360;0;0;0;g4360;0;-0.32;0;g4360;0;0.09;0
g4391;0.16;-0.32;-1.32;g4391;0.03;0.29;0.24;g4391;0.14;0.12;0.25;g4391;0.31;-0.2;-0.03;g4391;0.66;-0.13;0.02;g4391;-0.58;-0.29;-0.27;g4391;-0.37;0.09;-0.18;g4391;-0.37;-0.12;0.05
g4482;0;1.25;0;g4482;0;0.36;0;g4482;0;-0.64;0;g4482;0;-0.64;0;g4482;0;-0.09;0;g4482;0;0.22;0;g4482;0;0.08;0;g4482;0;0.22;0
g4572;-0.08;-0.14;-0.69;g4572;-0.07;0;-0.48;g4572;0.02;-0.24;0.49;g4572;0.27;0.14;0.38;g4572;0.21;0.32;0.31;g4572;0.3;-0.01;-0.29;g4572;0.07;0.13;-0.48;g4572;-0.03;0.21;-0.2
g4926;-0.02;-0.44;-0.03;g4926;-0.39;-0.14;0;g4926;-0.12;0.24;-0.13;g4926;-0.19;-0.08;0.31;g4926;0.29;0.06;-0.15;g4926;-0.08;0.25;-0.3;g4926;-0.02;0.12;0.31;g4926;0;0.52;0.12
g4937;-0.07;-0.49;0.88;g4937;0.04;-0.47;0.11;g4937;-0.25;-0.22;0.13;g4937;0.01;-0.37;-0.15;g4937;0.13;-0.17;-0.5;g4937;0.09;0.29;-0.18;g4937;0.04;0.41;0.21;g4937;-0.23;0.6;-0.09
g4966;-0.3;0.24;-0.02;g4966;0.18;-0.48;-0.09;g4966;-0.23;0.07;0.07;g4966;0.18;-0.2;-0.11;g4966;-0.05;0.19;-0.18;g4966;0.02;0.33;-0.06;g4966;0.09;0.3;-0.15;g4966;-0.19;0.18;0.04
g4977;-0.1;0.03;0.29;g4977;-0.1;0.17;0;g4977;0.38;0.09;-0.37;g4977;0.66;-0.18;0.09;g4977;0.3;-0.12;0.15;g4977;-0.25;0.19;0.19;g4977;-0.01;-0.08;0.38;g4977;-0.25;-0.2;-0.03
g5034;-0.42;-0.74;-0.19;g5034;-0.02;-0.64;-0.16;g5034;0.15;-0.14;-0.36;g5034;0;-0.13;-0.29;g5034;0.23;-0.08;-0.13;g5034;0.03;0.09;0.43;g5034;0.31;0.63;0.25;g5034;0.17;0.51;0.44
g5124;0.08;-1.1;-0.14;g5124;0.31;-0.29;0.02;g5124;0.05;-0.1;0.37;g5124;0;-0.1;0.2;g5124;0.17;0.07;-0.02;g5124;0;0.81;-0.08;g5124;-0.17;-0.1;-0.32;g5124;-0.11;0.22;-0.03
g5195;-0.12;0.3;-0.28;g5195;0;0.02;-0.3;g5195;0.23;-0.13;0.02;g5195;-0.22;-0.17;0.08;g5195;0.31;-0.08;0.04;g5195;-0.08;0.02;0.08;g5195;0.09;-0.08;-0.01;g5195;-0.48;0;0.4
g5225;0.09;-0.35;-0.9;g5225;-0.16;-0.13;-0.44;g5225;-0.02;-0.16;0.74;g5225;-0.04;-0.22;0.48;g5225;-0.27;-0.05;0.43;g5225;-0.01;-0.29;-0.26;g5225;0.01;0;-0.34;g5225;-0.16;0.12;-0.18
g5234;0.31;0.83;0.41;g5234;0.01;-0.45;-0.37;g5234;0.08;0.19;0.38;g5234;0.07;-0.07;0.17;g5234;0.04;-0.23;-0.41;g5234;-0.25;0.39;-0.13;g5234;-0.14;0.28;-0.33;g5234;-0.44;0.07;0.04
g5280;0.69;1.2;0.29;g5280;-0.06;0.4;-0.34;g5280;0.05;-0.15;0;g5280;-0.18;0.2;0.27;g5280;0.25;-0.07;0.18;g5280;0.13;0.48;-0.1;g5280;0.02;0.48;-0.04;g5280;0;-0.15;0.09
g5305;-0.58;-0.49;-0.35;g5305;-0.54;0.08;-0.39;g5305;-0.04;0.2;-0.15;g5305;-0.44;-0.03;-0.01;g5305;0.31;0.25;-0.04;g5305;-0.17;-0.63;0.23;g5305;0.19;0.02;0.3;g5305;0.23;0;0.06
g5306;0.02;-0.27;0;g5306;-0.23;0.05;-0.08;g5306;0.17;0.53;0.21;g5306;0.02;0.58;-0.34;g5306;0.12;0.28;-0.02;g5306;-0.06;-0.12;0;g5306;0.12;0.24;0.53;g5306;-0.34;-0.09;-0.13
g5313;0.44;0.48;-0.09;g5313;0.2;0.14;-0.18;g5313;-0.14;-0.55;-0.31;g5313;-0.26;0.06;-0.35;g5313;-0.04;0.02;-0.03;g5313;-0.01;-0.18;0.43;g5313;-0.14;-0.1;0.52;g5313;-0.49;0;0.24
g5329;-0.15;-0.15;-0.42;g5329;-0.27;-0.16;-0.21;g5329;0.19;0.22;-0.1;g5329;0.13;0.66;-0.35;g5329;0.16;0.35;0.05;g5329;0.03;-0.57;0.29;g5329;-0.03;-0.06;0.29;g5329;-0.13;-0.22;0.26
g5365;-0.18;-0.29;-0.09;g5365;-0.02;-0.43;-0.04;g5365;0.1;0.41;-0.27;g5365;0.17;0.41;-0.12;g5365;0.15;0.28;0.2;g5365;0.1;0.25;-0.07;g5365;0.17;-0.04;0.03;g5365;-0.1;-0.24;0
g5371;-0.13;-0.11;0.09;g5371;0;-0.36;-0.06;g5371;-0.11;0.07;0.13;g5371;0.17;0.17;-0.13;g5371;0;0.12;-0.04;g5371;0.11;0.22;0.03;g5371;0.55;0.1;-0.19;g5371;0;0.07;0
g5445;-0.03;0.03;0.29;g5445;0.03;-0.03;-0.96;g5445;0;-0.05;0.1;g5445;0.28;-0.11;-0.02;g5445;0.24;-0.02;-0.1;g5445;0;0.17;-0.09;g5445;0.22;-0.16;-0.41;g5445;0;0.21;0.11
g5470;-0.02;-0.78;0.23;g5470;-0.18;0.05;1.33;g5470;0.01;0.59;-0.23;g5470;0.03;0.06;-0.31;g5470;0.19;0.09;-0.04;g5470;0.03;0.23;0.14;g5470;0.32;0.16;-0.04;g5470;0.07;0.27;-0.31
g5504;0.43;-0.2;1.07;g5504;-0.23;0.09;-0.5;g5504;0.2;-0.16;-0.15;g5504;0.23;-0.17;0.14;g5504;0.17;-0.1;0.06;g5504;-0.05;-0.02;0.06;g5504;0.16;-0.14;-0.35;g5504;-0.2;0;-0.13
g5534;0.25;-0.1;-0.12;g5534;-0.16;-0.23;-0.4;g5534;0.27;-0.15;-0.06;g5534;0.05;0.08;0;g5534;0.39;-0.13;0.25;g5534;-0.45;-0.14;0.32;g5534;-0.19;-0.05;0.02;g5534;-0.28;0.4;-0.14
g5563;0.37;1.13;0.56;g5563;-0.21;0.6;-0.16;g5563;-0.25;0.13;-0.27;g5563;0;-0.04;0.1;g5563;0.27;0.13;0.61;g5563;-0.29;0.05;-0.2;g5563;0.27;-0.58;-0.9;g5563;0;-0.23;-0.18
g5595;0.09;0.54;0.11;g5595;-0.11;1.09;-0.38;g5595;0.01;0.13;0.19;g5595;0.18;-0.18;0.11;g5595;0.08;-0.23;0.1;g5595;-0.11;-0.02;-0.06;g5595;0.11;-0.47;-0.2;g5595;-0.23;0.19;0.16
g5639;0;0.22;0.21;g5639;0.59;0.12;0.34;g5639;-0.07;-0.02;0.36;g5639;0;-0.56;0.37;g5639;0.17;-0.23;-0.1;g5639;0.18;0.33;-0.53;g5639;0.09;-0.1;-0.41;g5639;-0.33;0.09;-0.48
g5668;-0.83;-0.41;0.06;g5668;-0.46;-0.9;-0.51;g5668;0.2;0.49;-0.22;g5668;0.2;0.56;0.31;g5668;0.4;0.2;-0.02;g5668;0.09;0.19;0.2;g5668;0.12;0.38;-0.12;g5668;0.2;0.25;-0.22
g5685;0.08;0.43;-0.07;g5685;-0.03;0.85;-0.36;g5685;-0.08;0.12;0.39;g5685;0.08;0.21;-0.07;g5685;0.11;0.24;0.05;g5685;-0.15;-0.01;0.02;g5685;0.04;-0.45;0.07;g5685;-0.23;-0.33;0.12
g5725;0.25;0;0.79;g5725;0.11;0.06;-0.34;g5725;0.22;-0.48;0.22;g5725;0.35;-0.07;-0.13;g5725;0.1;-0.22;0.04;g5725;-0.28;-0.69;-0.21;g5725;-0.23;0.28;-0.09;g5725;-0.3;0.6;-0.19
g5746;-0.14;0.27;0.58;g5746;-0.02;0.02;-0.19;g5746;0;0.09;0.15;g5746;-0.3;0.43;-0.14;g5746;0.03;0.29;0.29;g5746;-0.26;-1.15;-0.23;g5746;0.06;-0.27;-0.5;g5746;-0.21;-0.18;0.13
g5761;0.12;0.05;0.11;g5761;-0.19;0.1;-0.08;g5761;0.33;0.06;0.16;g5761;0.16;0.12;-0.21;g5761;0.01;0.04;-0.1;g5761;-0.24;0.15;-0.18;g5761;-0.1;-0.4;-0.08;g5761;-0.57;-0.11;-0.1
g5783;0.09;-0.51;-1.77;g5783;-1.28;-0.19;0.11;g5783;-0.13;0.4;1.36;g5783;0.17;0.1;0.99;g5783;0.31;0.02;0.35;g5783;0.14;-0.35;-0.89;g5783;0.23;-0.11;-0.96;g5783;0.42;0.09;-0.31
g5795;-0.15;-0.5;0.08;g5795;-0.65;-0.64;-0.36;g5795;0.17;-0.12;-0.1;g5795;-0.11;0.16;-0.02;g5795;0.37;0.17;-0.27;g5795;-0.03;-0.35;0.2;g5795;0.25;-0.04;0.35;g5795;-0.19;0.21;0.04
g5796;0.01;0.06;0.18;g5796;-0.45;-0.04;-0.1;g5796;0.28;0.21;-0.06;g5796;0.1;-0.17;0.04;g5796;0.47;-0.38;0.07;g5796;0.1;0;-0.05;g5796;-0.15;-0.3;0.17;g5796;-0.15;-0.02;-0.13
g5867;0.69;-0.09;0.42;g5867;-0.03;-0.08;0.56;g5867;0.02;0.23;-0.12;g5867;0.22;0.14;-0.4;g5867;0.12;-0.09;-0.24;g5867;-0.29;-0.27;0.08;g5867;0.08;-0.2;-0.36;g5867;-0.16;0;-0.02
g5883;0.64;0.17;0.53;g5883;0.21;0.71;0.04;g5883;-0.02;-0.5;0.38;g5883;0.23;0.07;0.2;g5883;0.07;0.15;0.15;g5883;-0.28;-0.64;-0.3;g5883;-0.13;-0.04;-0.41;g5883;-0.26;0.14;-0.18
g5916;0.29;-0.44;-1.33;g5916;-0.79;0.22;-0.09;g5916;-0.02;0.03;0.91;g5916;-0.3;0.15;0.51;g5916;0.08;0.1;0.55;g5916;0.25;-0.04;-0.44;g5916;-0.03;-0.09;-0.82;g5916;0.17;-0.08;-0.26
g5948;0;1.01;-0.06;g5948;-0.1;0.81;-0.06;g5948;0.14;-0.22;0.07;g5948;0.46;-0.72;-0.06;g5948;0.21;-0.86;-0.12;g5948;0.14;0.34;-0.16;g5948;-0.17;0.14;-0.16;g5948;-0.1;-0.08;0.14
g6021;0.21;-0.15;-0.54;g6021;-0.62;-0.16;0.3;g6021;0.29;0.09;0.38;g6021;-0.03;0.35;0.27;g6021;0;0.34;0.12;g6021;-0.06;-0.34;-0.42;g6021;0.03;-0.12;-0.49;g6021;0.04;0.19;-0.12
g6038;0.1;0.31;-0.42;g6038;0.1;-1.43;0.19;g6038;0.14;-0.28;0.33;g6038;0.19;-0.32;-0.11;g6038;0.15;-0.18;-0.14;g6038;-0.33;-0.19;0.12;g6038;0.05;0.53;-0.08;g6038;-0.07;0;-0.12
g6085;0.38;-0.55;-0.49;g6085;-1.12;0.23;-0.31;g6085;-0.28;0.18;0.77;g6085;0.27;0.23;0.55;g6085;0.43;0.17;0.02;g6085;-0.1;-0.11;-0.58;g6085;0.13;-0.35;-0.41;g6085;-0.12;-0.16;-0.1
g6088;0.23;-0.21;0.25;g6088;0.14;-0.14;-0.65;g6088;0.18;-0.05;-0.09;g6088;-0.51;0.19;-0.09;g6088;0.43;-0.04;0.42;g6088;0;-0.56;0.45;g6088;0.13;0.2;-1.02;g6088;-0.21;-0.16;-0.12
g6100;-0.19;0.86;0.43;g6100;-0.28;0.55;0;g6100;0.1;-0.02;-0.1;g6100;-0.02;-0.09;-0.21;g6100;0.35;-0.15;-0.53;g6100;-0.24;-0.51;0.07;g6100;0.03;-0.35;0.24;g6100;-0.18;-0.14;0.61
g6104;0;0.23;0.31;g6104;-0.04;-0.21;-0.23;g6104;-0.06;0.24;0.21;g6104;-0.15;0.23;0.15;g6104;0.22;0.07;-0.35;g6104;-0.33;-0.22;-0.21;g6104;0.07;-0.26;-0.16;g6104;-0.19;0.12;-0.02
g6120;0.14;-0.16;0.44;g6120;0;-0.64;-0.13;g6120;0.22;-0.24;-0.01;g6120;-0.25;0.16;-0.05;g6120;0.07;0.12;-0.54;g6120;-0.1;0.27;0.24;g6120;0.12;-0.04;0.27;g6120;-0.18;0.03;-0.05
g6135;-0.1;0.2;0.68;g6135;-0.63;-0.2;-0.04;g6135;0.04;0.06;0.15;g6135;0.1;0.31;-0.11;g6135;0.15;0.18;-0.06;g6135;-0.15;-0.65;0;g6135;-0.03;-0.04;-0.15;g6135;-0.35;0.17;-0.13
g6138;0.34;-0.28;-0.11;g6138;0.47;-0.26;-0.31;g6138;0;0.01;-0.31;g6138;0.05;-0.38;-0.07;g6138;0.25;-0.17;-0.17;g6138;-0.49;0;0.23;g6138;-0.31;-0.39;0.26;g6138;-0.55;0.12;0.34




;c0;c0;c0;c0;c0;c0;c0;c0;;c2;c2;c2;c2;c2;c2;c2;c2;;c3;c3;c3;c3;c3;c3;c3;c3;;
;t0;t1;t4;t5;t6;t11;t12;t13;;t0;t1;t4;t5;t6;t11;t12;t13;;t0;t1;t4;t5;t6;t11;t12;t13;;
g35;0.04;-0.78;-0.1;-0.35;0.46;0.09;0.28;0.2;g35;0.01;0.04;0.18;-0.47;0.27;-0.15;-0.14;0.12;g35;-1.22;-0.44;0.83;0.25;0.48;-0.18;-0.37;0.2
g36;0.07;-0.24;0.27;0.16;0.05;-0.06;-0.15;-0.06;g36;1.11;-0.13;0.08;-0.47;0.16;0.16;0.25;-0.11;g36;-0.14;-0.11;0.29;0.08;-0.11;-0.07;-0.32;-0.09
g42;0;0.03;-0.09;-0.16;0.27;-0.42;0.05;-0.16;g42;0.09;-0.35;0.32;-0.48;-0.08;-0.15;-0.11;0;g42;0.04;-0.06;0.1;-0.07;0.27;0.19;-0.33;0.35
g47;-0.2;-0.67;0.05;-0.26;0.22;0.05;-0.09;-0.16;g47;-0.26;0.17;-0.14;-0.35;0.1;-0.02;0;0.19;g47;-0.05;-0.01;0.17;-0.01;-0.24;-0.21;-0.12;-0.03
g68;0;0;0;0;0;0;0;0;g68;-0.14;-0.12;0.37;-0.51;-0.15;0.03;-0.17;-0.02;g68;0;0;0;0;0;0;0;0
g72;-0.3;-0.45;0.27;-0.28;-0.16;0.3;0.22;0.08;g72;-0.14;0.21;-0.26;-0.1;-0.03;0.29;0.55;-0.42;g72;-0.44;-0.69;0.34;-0.02;0.26;0.01;-0.13;0.05
g84;0.33;0.14;0.13;-0.07;0.15;-0.12;-0.01;-0.45;g84;-0.45;-0.31;-0.09;0.31;0.37;-0.03;0.27;-0.05;g84;1.54;-0.04;-0.07;-0.25;-0.21;0.16;0.06;-0.23
g95;-0.14;-0.26;-0.01;-0.12;-0.18;0.23;-0.14;-0.26;g95;0;0;0;0;0;0;0;0;g95;-0.36;-0.09;0.31;0.06;0.14;0.53;-0.48;0.11
g131;-0.04;0.5;-0.28;-0.32;-0.01;0.08;-0.01;-0.32;g131;0.58;0.55;0.05;-0.66;-0.04;-0.01;-0.23;-0.3;g131;0.21;-0.25;-0.01;-0.1;0.16;0.12;-0.39;-0.05
g158;-0.47;-0.2;0.01;-0.17;0.09;0.25;-0.11;-0.27;g158;-0.35;0.01;0.22;0.05;-0.01;-0.07;0.13;-0.15;g158;0.09;-0.4;0.17;0.18;0.36;0.09;-0.45;-0.1
g162;0.06;-0.07;-0.17;-0.48;-0.04;0.25;-0.01;-0.19;g162;0.26;-0.89;0.28;-0.49;0.04;0.4;0;-0.07;g162;0.61;0.1;-0.53;-0.48;-0.51;0.53;0.34;0.09
g212;-0.27;-0.66;0.24;0.24;0.03;0;-0.12;0;g212;-0.83;-0.59;-0.11;-0.03;0.29;0.19;0.28;0.08;g212;-0.14;-0.26;0.13;-0.23;0.13;0.29;0.16;0.05
g290;0;-0.05;-0.03;-0.1;0.05;-0.05;-0.15;-0.02;g290;0.81;0.11;-0.13;-0.61;-0.02;0.12;-0.06;0.14;g290;0.56;-0.25;-0.31;0.04;-0.29;0.09;0.43;-0.15
g303;0.15;-0.4;-0.21;0.08;0.09;0.17;0.09;-0.45;g303;0.28;-0.06;0.34;-0.2;0.18;0.05;-0.05;-0.34;g303;-1.09;0.05;0.3;-0.02;0.31;0.37;-0.04;0.07
g324;-0.14;-0.28;-0.4;-0.67;0.09;0;-0.11;-0.04;g324;-0.06;-0.7;0.36;-0.18;0.23;-0.08;-0.15;0.02;g324;-0.69;-0.31;0.14;0.08;0.03;0.27;-0.23;0.52
g327;-0.04;-0.28;0.26;-0.21;-0.01;-0.14;-0.1;-0.05;g327;0.38;-0.29;-0.26;-0.1;0.15;0.08;0.25;-0.08;g327;0.4;0.42;-0.28;-0.73;-0.5;0.36;0.54;0.38
