;t0;t0;t0;t0;;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t7;t7;t7;t7;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g1186;-0.3;0.39;-0.3;-0.65;g1186;-0.37;0.27;-0.15;0.26;g1186;-0.35;0.17;-0.05;-0.37;g1186;-0.18;0.19;0.05;-0.19;g1186;-0.13;-0.48;0.33;-0.28;g1186;-0.02;-0.03;-0.11;0.12;g1186;-0.2;-0.12;-0.12;0.04;g1186;-0.07;0.19;0.1;0.33
g1187;-0.28;0.27;0;-0.01;g1187;-0.39;0.25;-0.11;-0.16;g1187;-0.05;0.39;-0.16;-0.32;g1187;0.15;0.22;0.23;-0.11;g1187;0.11;0.13;0.18;-0.49;g1187;-0.05;-0.13;-0.07;-0.08;g1187;-0.28;-0.41;-0.18;-0.03;g1187;-0.17;-0.15;-0.15;0.06
g1188;-0.07;0.52;-0.37;-0.46;g1188;-0.28;0.58;-0.28;-0.09;g1188;-0.22;0.09;0.06;-0.12;g1188;-0.02;-0.25;0.12;-0.06;g1188;-0.34;-0.69;-0.12;0.02;g1188;-0.13;-0.35;0.01;0.18;g1188;-0.41;-0.27;-0.07;-0.03;g1188;-0.13;0.25;0.1;0.33
g1189;-0.01;0.42;0.19;0.12;g1189;0;0.3;0.19;-0.03;g1189;0.24;-0.92;-0.42;0.25;g1189;-0.07;-1.05;-0.26;0.12;g1189;-0.45;-0.95;-1.01;0.06;g1189;-0.43;-0.52;-0.71;-0.07;g1189;-0.56;0.28;-0.88;-0.07;g1189;-0.14;0.69;0.83;-0.1
g1190;-0.16;0.22;0.35;-0.54;g1190;0.05;0.37;0.25;-0.06;g1190;-0.17;0.12;-0.05;-0.25;g1190;0.18;-0.43;0.03;-0.01;g1190;-0.01;-0.05;0.02;-0.14;g1190;-0.11;-0.45;-0.06;-0.21;g1190;-0.32;-0.04;-0.26;-0.12;g1190;-0.23;0.02;0.12;0.3
g1191;-0.32;0.3;0.03;-0.33;g1191;2.16;0.32;-0.09;0;g1191;0.03;0.14;-0.19;-0.04;g1191;0;-0.49;0.23;0.2;g1191;-0.14;0.42;-0.97;0.03;g1191;-0.22;-0.49;0.36;-0.33;g1191;-0.25;0.42;0.03;0;g1191;-0.22;0;0.28;-0.04
g1192;-0.12;0.08;-0.24;-1.01;g1192;-0.47;-0.13;-0.01;-0.56;g1192;-0.29;-0.56;-0.89;-0.14;g1192;-0.07;-0.54;-0.41;0.03;g1192;-0.3;-0.84;-0.56;0.27;g1192;0.11;-0.56;0.06;0.45;g1192;-0.34;-0.6;-0.02;0.23;g1192;0.13;-0.13;0;0.25
g1193;-0.28;0.5;-0.4;-0.08;g1193;-0.19;0.57;0.77;-0.12;g1193;0.05;0.26;0.33;-0.05;g1193;-0.03;-0.22;0.33;0.24;g1193;-0.04;-0.19;-0.3;0.17;g1193;-0.07;-0.24;0.33;0.1;g1193;-0.17;-0.43;0.19;0.13;g1193;-0.11;-0.04;0.46;-0.15
g1194;-0.04;-0.03;-0.39;1.19;g1194;0.2;0.03;0.09;0.19;g1194;0.07;0.18;-0.15;-0.09;g1194;0.09;-0.01;-0.11;-0.23;g1194;-0.43;-0.34;-0.43;-0.34;g1194;0.25;-0.05;0.07;-0.29;g1194;-0.26;-0.16;0.11;-0.15;g1194;-0.08;0.19;-0.16;-0.04
g1195;0.03;0.16;-0.13;0.58;g1195;-0.09;-0.56;-0.05;-0.23;g1195;0.18;0.19;-0.62;-0.02;g1195;0.19;-0.18;-0.4;0.03;g1195;-0.42;-0.12;-0.84;0.02;g1195;-0.19;-0.79;0.08;-0.2;g1195;-0.36;0;0.14;0;g1195;-0.08;0.12;-0.16;-0.09
g1196;0.24;0.61;-0.03;-0.41;g1196;-0.03;0.63;0.69;-0.37;g1196;-0.12;0.21;0.22;0.09;g1196;-0.22;0.05;-0.3;0.05;g1196;0.16;-0.66;-0.65;0.16;g1196;-0.26;0.2;0.09;0.05;g1196;0.14;-0.3;0.41;-0.05;g1196;-0.34;0.44;0.09;0.23
g1197;-0.02;-0.07;-0.34;0.68;g1197;-0.3;0.18;-0.31;-0.36;g1197;0.12;0.55;-0.08;0.1;g1197;0;0.42;-0.03;-0.36;g1197;0.1;0.21;0.51;-0.27;g1197;0.09;0.49;0.38;-0.18;g1197;0.35;0.13;0.23;-0.04;g1197;-0.03;0.2;-0.18;-0.01
g1198;0;0.17;-0.22;0.07;g1198;-0.08;0.27;-0.42;-0.44;g1198;0.02;0.51;-0.51;-0.35;g1198;-0.06;0.6;-0.02;0.19;g1198;0.19;-0.56;0.63;-0.31;g1198;-0.15;0.05;0.33;-0.14;g1198;0.23;-0.67;0.2;0.23;g1198;-0.15;0.09;0.19;0.26
g1199;0;-0.7;-0.22;0.47;g1199;0;-0.33;-0.68;-0.13;g1199;0.13;0.22;-0.31;0.29;g1199;-0.12;0.12;0.19;-0.27;g1199;0.11;0.12;0.45;-0.14;g1199;0.08;0.29;0.25;-0.2;g1199;0.31;1.42;-0.01;-0.01;g1199;0.04;0.12;0.01;0.07
g1200;0.29;-0.15;0.74;1.08;g1200;0.22;0.05;-0.32;-0.32;g1200;0.23;0.05;-0.87;0.28;g1200;-0.12;-0.15;-0.31;-0.28;g1200;-0.08;-0.49;0.02;-0.22;g1200;-0.31;-0.11;0.1;-0.41;g1200;0.04;-0.25;-0.45;-0.24;g1200;-0.29;0.02;0.08;0.07
g1201;0.33;-0.37;0.85;1.35;g1201;0.3;-0.17;-0.1;0.02;g1201;0.19;-0.21;-0.56;0.2;g1201;-0.19;-0.23;-0.31;-0.21;g1201;-0.04;-0.03;-0.43;-0.19;g1201;-0.02;0.18;0;-0.35;g1201;0.1;0.2;-0.34;-0.12;g1201;-0.04;0.32;0.17;-0.4
g1202;0.21;0;1.2;0.83;g1202;0.47;-0.15;0.77;-0.06;g1202;0.31;-0.33;-0.36;0.11;g1202;0.05;-0.22;-0.38;-0.31;g1202;-0.03;-0.66;-0.65;-0.46;g1202;-0.27;-0.24;-0.36;-0.76;g1202;0.1;-0.5;-0.58;-0.24;g1202;-0.4;-0.03;0.08;0.04
g1203;0.18;0.19;0.24;-0.06;g1203;-0.12;0.06;0.16;-0.06;g1203;0.14;0.06;-0.61;-0.22;g1203;-0.47;0.12;-0.13;0.29;g1203;0.11;0.43;-0.07;-0.15;g1203;-0.57;0.22;0.34;-0.28;g1203;0.27;0.47;-0.05;0.1;g1203;-0.13;0.39;0.32;-0.32
g1204;0.05;0.29;-0.06;-0.32;g1204;-0.3;0.56;0.72;-0.4;g1204;0.03;0.46;-0.14;-0.11;g1204;0;-0.05;0.11;0.08;g1204;0.22;-0.07;0.3;-0.14;g1204;-0.3;0.07;0.12;0.12;g1204;0.23;0.01;-0.25;0.3;g1204;-0.05;0.05;0.12;0.08
g1205;0.04;-0.21;-0.87;0.55;g1205;0.44;-0.23;0.14;-0.26;g1205;0.33;0.49;-0.39;0.76;g1205;0.38;0.14;0.23;0.39;g1205;0.04;-0.04;-0.13;0.01;g1205;-0.38;0.04;0.21;-0.19;g1205;0.09;-0.34;-0.05;-0.21;g1205;-0.23;0.25;0.24;-0.21
g1206;-0.36;0.15;-0.18;0.25;g1206;0.11;-0.3;0.02;-0.2;g1206;0.09;-0.11;-0.14;-0.11;g1206;-0.15;0.22;-0.05;-0.04;g1206;0.14;0.07;0.19;0.12;g1206;-0.41;0.42;0.38;0.04;g1206;0.16;-0.52;0.39;0.26;g1206;0.37;0.23;0.12;-0.01
g1207;0.09;-0.05;-0.49;0.32;g1207;-0.22;-0.11;-0.24;-0.13;g1207;0.12;0.39;-0.03;-0.11;g1207;-0.32;0.01;-0.11;-0.06;g1207;0.23;0.08;-0.21;0.09;g1207;0.06;0.04;-0.1;-0.2;g1207;0.31;-0.02;0.29;0.02;g1207;-0.01;0.09;-0.3;-0.08
g1208;-0.41;0.11;-0.13;-0.04;g1208;-0.12;-0.04;-0.18;0.03;g1208;-0.1;0.33;-0.13;-0.35;g1208;-0.14;0.08;-0.26;0.03;g1208;-0.25;0.11;0.17;-0.18;g1208;0.11;-0.32;-0.34;-0.07;g1208;-0.27;0.06;0.14;0.09;g1208;-0.08;-0.32;-0.22;0.17
g1209;-0.03;0.55;-0.65;-0.96;g1209;-0.24;0.51;0.38;-0.23;g1209;-0.24;0.35;0.49;-0.07;g1209;-0.06;0.15;0.17;0.33;g1209;-0.14;0.01;-0.54;0.17;g1209;-0.19;-0.08;0.17;0.2;g1209;-0.19;-0.18;0.22;0.23;g1209;-0.12;0.08;-0.49;0.04
g1210;-0.15;0.2;-0.58;-0.05;g1210;-0.26;0.31;-0.36;0.26;g1210;-0.22;0.02;0.34;-0.23;g1210;-0.22;0.02;-0.18;-0.24;g1210;-0.28;-0.12;0.04;-0.24;g1210;0.03;-0.09;-0.21;-0.11;g1210;-0.26;-0.07;0.12;0.04;g1210;0.02;0.02;-0.23;0.22
g1211;-0.38;0.78;-0.89;-0.25;g1211;0.15;0.84;-0.59;0.23;g1211;-0.16;0.72;0.31;-0.18;g1211;0.23;0.09;0.86;0.12;g1211;-0.21;0.04;1.16;0.08;g1211;-0.04;-0.33;0.38;0.08;g1211;-0.3;-0.23;-0.09;0.06;g1211;0.15;-0.21;0.03;-0.12
g1212;-0.18;0.23;1.58;0.05;g1212;0.14;-0.68;0.92;0.36;g1212;0.3;-0.75;0.05;-0.4;g1212;0.34;-0.42;-0.35;-0.03;g1212;0.05;-0.31;-0.12;-0.41;g1212;0.28;-0.61;-0.2;-0.5;g1212;-0.03;-0.58;-0.25;-0.22;g1212;-0.03;-0.68;-0.27;0.08
g1213;-0.38;-0.29;1.15;0.25;g1213;0;-0.1;0.41;0.63;g1213;-0.15;-0.85;0;-1.94;g1213;0.29;-0.29;0.41;0.43;g1213;-0.67;0.53;0.74;-0.03;g1213;-0.12;-0.37;0.29;0.25;g1213;-0.13;0.65;0;0.33;g1213;0.04;-0.21;0.15;-0.08
g1214;-0.2;-0.16;0;-0.14;g1214;-0.01;-0.38;-0.51;0.01;g1214;-0.08;-0.28;-0.56;-0.23;g1214;-0.22;0.12;0.3;0.19;g1214;-0.06;-0.02;0.6;-0.18;g1214;0.08;0;0.51;-0.65;g1214;-0.11;-0.14;-0.26;0.27;g1214;0.05;0.06;0.3;0.44
g1215;-0.49;0.39;0.08;-0.45;g1215;0.04;0.63;0.36;-0.4;g1215;0.01;0.31;0.36;0.02;g1215;0.35;0.15;0.18;0.39;g1215;0.01;-0.41;0.25;0.19;g1215;-0.09;0.11;0.36;0.04;g1215;-0.17;-0.7;-0.24;0.18;g1215;-0.15;0.08;0.08;-0.3
g1216;-0.25;-0.63;1.06;-0.19;g1216;0.19;0.27;1.27;0;g1216;-0.18;-0.29;0.93;-0.25;g1216;-0.13;-0.09;1.1;0.11;g1216;0;0.05;0.25;-0.15;g1216;-0.2;-0.86;0.23;0;g1216;-0.16;0.12;-0.43;0.26;g1216;0;-0.36;-0.21;0.43
g1217;-0.31;-0.23;-0.64;0.97;g1217;0;0.03;-0.95;-0.1;g1217;-0.55;0.38;-1.17;-0.1;g1217;-0.1;0.11;0.47;-0.1;g1217;0.16;0.17;0.32;-0.45;g1217;0.28;-0.01;0.81;-0.04;g1217;-0.1;-0.37;0;-0.47;g1217;0.04;0.24;0.24;0.1
g1218;0.14;0.28;0.12;0.37;g1218;-0.3;0.64;0.12;-0.19;g1218;0.12;0.43;-0.14;0.27;g1218;-0.34;0.1;1.12;-0.19;g1218;-0.15;-0.14;0.54;-0.07;g1218;0.11;-0.35;0.54;0.03;g1218;0.02;-0.26;-1.46;0.04;g1218;-0.08;-0.21;-1.46;0.09
g1219;-0.39;-0.56;-0.51;-0.28;g1219;-0.08;-0.46;-0.11;-0.16;g1219;0.02;-0.53;-0.51;-0.28;g1219;-0.35;0.16;-0.01;0.1;g1219;0.21;0.44;-0.21;-0.21;g1219;0.14;-0.05;0.37;0;g1219;-0.01;0.02;0.05;0.05;g1219;0.1;-0.09;0.17;-0.01
g1220;0.03;-0.15;0.33;-0.35;g1220;-0.71;0.17;0.41;-0.28;g1220;0.03;0.3;0.12;0.06;g1220;0.53;0.32;0.5;-0.09;g1220;0.75;0.07;-0.28;-0.11;g1220;0.34;0.14;0.4;-0.28;g1220;0.44;0.12;-0.28;-0.26;g1220;-0.44;-0.31;-0.23;0.15
g1221;0.51;0.11;0.27;-0.43;g1221;-0.05;0.1;0.14;0.27;g1221;0.13;0.28;0.03;0.21;g1221;-0.41;-0.08;0.57;0.25;g1221;0.19;0.28;-1.06;-0.19;g1221;0.16;-0.29;0.27;-0.59;g1221;0.4;0.39;0.22;-0.54;g1221;0.04;-0.26;-0.43;-0.33
g1222;-1.51;-1.11;-1.04;-1.15;g1222;-1.57;-0.53;-0.38;-1.4;g1222;-1.35;1.84;0.49;-1.05;g1222;0.04;1.77;0.3;-0.8;g1222;1.3;0.39;0.35;-0.02;g1222;1.15;-0.09;-0.21;0.56;g1222;0.94;-1.31;-0.24;0.61;g1222;-0.08;-1.59;-0.79;1.1
g1223;-1.46;-1.31;-0.99;-0.97;g1223;-2.3;-0.95;-0.71;-1.08;g1223;-1.41;1.56;0.38;-1.04;g1223;-0.27;1.75;0.21;-0.91;g1223;1.4;1.11;0.04;-0.23;g1223;1.18;0.05;-0.36;0.58;g1223;1.11;-0.84;-0.04;1;g1223;0.08;-1.53;-0.58;0.84
g1224;-0.02;-0.09;-0.34;-1.36;g1224;-0.17;-0.06;-0.44;-0.67;g1224;0.05;0.17;-0.09;-0.17;g1224;0.04;0.39;-0.12;-0.12;g1224;0.08;-0.31;0.11;-0.12;g1224;-0.25;0.47;-0.5;-0.01;g1224;0.34;-0.18;-0.22;-0.17;g1224;-0.32;0.36;-0.3;0.58
g1225;0.01;-0.09;-0.01;0.04;g1225;0.07;0.03;-0.43;-0.21;g1225;-0.23;0.17;-0.81;-0.42;g1225;0.07;0.44;0.22;0.19;g1225;0.04;0.16;0.71;0.31;g1225;-0.08;0.2;0.55;0.17;g1225;0.18;-0.31;-0.07;0.56;g1225;-0.03;0.03;0.36;0.03
g1226;-0.07;0.22;0.33;-0.04;g1226;-0.14;0.35;0.2;0.05;g1226;-0.14;0.22;-0.03;-0.19;g1226;0.23;0.35;0.12;0.1;g1226;-0.09;-0.25;0.34;-0.07;g1226;0.05;0.27;0.2;0.06;g1226;0.12;-0.22;0.05;-0.02;g1226;-0.13;0.25;0.18;0.05
g1227;0.25;-0.08;0.2;0.65;g1227;0.06;0.14;-0.28;-0.02;g1227;0.19;0.01;-0.58;-0.07;g1227;0.2;0.42;-0.14;-0.21;g1227;0.15;-0.11;0.15;-0.12;g1227;-0.16;-0.15;-0.11;-0.21;g1227;0.12;-0.48;-0.41;-0.19;g1227;-0.14;0.28;-0.01;-0.1
g1228;0.05;-0.83;0.53;0.12;g1228;0.26;-0.67;-0.2;-0.28;g1228;0.13;-0.29;-0.67;-0.26;g1228;0.33;0.17;0.09;0.17;g1228;0.1;-0.23;0.06;-0.18;g1228;-0.16;0.17;0.08;-0.25;g1228;0.14;0.41;-0.37;-0.34;g1228;-0.32;0.1;-0.25;0.15
g1229;0.11;-0.85;0.56;0.68;g1229;-0.05;-0.85;-0.24;0.13;g1229;0.13;-0.38;-0.97;-0.08;g1229;-0.19;-0.14;-0.05;0.15;g1229;0.38;0.05;0.22;-0.13;g1229;-0.14;0.18;0.21;-0.34;g1229;0.25;0.05;-0.52;-0.1;g1229;-0.09;0.22;-0.07;-0.22
g1230;0.14;0.41;-0.55;-0.24;g1230;-0.42;0.03;0.22;0.06;g1230;-0.01;0.68;0.01;0.09;g1230;-0.07;0.35;0.44;0.22;g1230;0.14;0.34;0.03;0.24;g1230;0.46;0.28;0.41;0.06;g1230;0.28;0.2;-0.11;0.1;g1230;-0.3;0.08;0.38;0.22
g1231;0.41;-0.4;-0.41;-0.21;g1231;-0.28;-0.57;0.06;-0.02;g1231;0.02;-0.55;-0.26;-0.13;g1231;-0.05;-0.03;0.01;-0.05;g1231;0.06;0.54;-0.11;-0.03;g1231;-0.23;0.28;-0.23;0.01;g1231;0.39;0.51;-0.14;0.28;g1231;0.1;0.25;-0.28;-0.11
g1232;-0.3;-0.07;-0.83;-1.86;g1232;-0.23;0.04;0.16;-0.38;g1232;-0.44;0.1;0.43;0.43;g1232;-0.35;0.65;0.33;0.28;g1232;-0.63;0.26;-0.32;0.55;g1232;-0.05;0.46;0.34;0.47;g1232;-0.03;0.24;0.19;0.43;g1232;-0.11;0.43;-0.06;0.55
g1233;0;-0.79;-0.44;0;g1233;0;-0.06;0.12;0;g1233;0;-0.44;0.14;0;g1233;0;0.15;0.1;0;g1233;0;0.06;-0.87;0;g1233;0;-0.68;0.24;0;g1233;0;0.51;0.13;0;g1233;0;-0.57;-0.23;0
g1234;0;0;0.02;0;g1234;0;-1.43;0.33;0;g1234;0;-0.49;0.07;0;g1234;0;0;-0.14;0;g1234;0;0.31;-0.57;0;g1234;0;0;0;0;g1234;0;0.78;-0.14;0;g1234;0;0;-0.48;0
g1235;0;-0.05;-0.2;0;g1235;0;-0.43;0.26;0;g1235;0;-0.41;0.07;0;g1235;0;-0.44;-0.58;0;g1235;0;-0.59;-0.53;0;g1235;0;-0.22;-0.15;0;g1235;0;-0.31;-0.24;0;g1235;0;0.01;-0.55;0
g1236;0;-0.3;-0.21;0;g1236;0;-0.17;-0.41;0;g1236;0;-0.34;0.03;0;g1236;0;0.14;0.09;0;g1236;0;0.01;0.15;0;g1236;0;-0.46;-0.06;0;g1236;0;0.48;0.01;0;g1236;0;0.06;-0.2;0
g1237;0;-0.01;-0.01;0;g1237;0;0.01;-0.26;0;g1237;0;-0.04;-0.39;0;g1237;0;0;0.11;0;g1237;0;0.11;0.47;0;g1237;0;0;0.32;0;g1237;0;0.36;-0.11;0;g1237;0;-0.22;0.21;0
g1238;0;-0.32;0.25;0;g1238;0;0.44;0.19;0;g1238;0;-0.07;-0.64;0;g1238;0;-0.18;0.08;0;g1238;0;0.01;0.22;0;g1238;0;-0.19;0.4;0;g1238;0;-0.01;-0.12;0;g1238;0;0.15;0.29;0
g1239;0;-0.6;-0.18;0;g1239;0;0;0.12;0;g1239;0;-0.16;0.08;0;g1239;0;0.34;0.12;0;g1239;0;0;-0.33;0;g1239;0;0;-0.13;0;g1239;0;0.53;0.12;0;g1239;0;0;-0.56;0
g1240;0;-0.44;0.46;0;g1240;0;-0.18;-0.49;0;g1240;0;-0.15;-0.4;0;g1240;0;-0.23;0;0;g1240;0;-0.07;-0.22;0;g1240;0;-0.08;-0.02;0;g1240;0;0.16;-0.45;0;g1240;0;0.06;-0.06;0
g1241;0;-0.14;-0.03;0;g1241;0;-0.21;-0.18;0;g1241;0;-0.09;-0.34;0;g1241;0;0.65;-0.09;0;g1241;0;0.5;-0.07;0;g1241;0;-0.83;0.16;0;g1241;0;0.64;-0.11;0;g1241;0;0;0.06;0
g1242;0;-0.24;0.08;0;g1242;0;0.21;-0.28;0;g1242;0;0.1;-0.5;0;g1242;0;0.3;0.18;0;g1242;0;-0.05;-0.29;0;g1242;0;-0.34;0.49;0;g1242;0;0.38;-0.37;0;g1242;0;-0.43;0.01;0
g1243;0;-0.16;-0.69;0;g1243;0;-0.11;-0.01;0;g1243;0;-0.05;-0.45;0;g1243;0;0.15;0.03;0;g1243;0;0.32;0.06;0;g1243;0;-0.06;0.35;0;g1243;0;0.04;-0.08;0;g1243;0;0.1;0.2;0
g1244;0;-0.46;0.57;0;g1244;0;0.14;0.15;0;g1244;0;-0.08;-0.46;0;g1244;0;0.44;-0.16;0;g1244;0;0.11;-0.01;0;g1244;0;-0.37;0.32;0;g1244;0;-0.04;-0.38;0;g1244;0;-0.17;0.06;0
g1245;0;-1.01;-0.19;0;g1245;0;-0.28;-1.83;0;g1245;0;0.28;-0.24;0;g1245;0;0.2;0.84;0;g1245;0;0.24;0.5;0;g1245;0;-0.08;0.73;0;g1245;0;-0.02;0.29;0;g1245;0;-0.19;0.25;0
g1246;0;-0.22;0.56;0;g1246;0;-0.02;0.22;0;g1246;0;-0.3;-0.14;0;g1246;0;0;-0.27;0;g1246;0;-0.39;-1;0;g1246;0;0;-0.42;0;g1246;0;0.89;-0.27;0;g1246;0;0;-0.56;0
g1247;1.08;0;0.19;-0.36;g1247;0.1;-0.09;0.67;-0.32;g1247;0.06;-0.18;0.68;0.01;g1247;-0.14;-0.71;0.36;0.05;g1247;0.04;0.2;-0.94;0.15;g1247;-0.31;-0.28;0.42;0.06;g1247;-0.33;1.6;0.44;0.15;g1247;-0.06;-0.06;-0.22;0.03
g1248;-0.01;-0.42;-0.46;0.1;g1248;0;0.05;0.76;-0.09;g1248;0.02;-0.25;-0.46;0.01;g1248;-0.22;-0.42;0;-0.19;g1248;-0.3;-0.01;0.9;-0.21;g1248;0.02;-0.68;1.13;-0.28;g1248;-0.15;0.35;-0.82;-0.04;g1248;-0.22;-0.62;0.07;0.18
g1249;0.58;-0.29;0;0.38;g1249;1.07;-0.25;-0.41;-0.28;g1249;0.08;0.09;0.06;-0.34;g1249;-0.08;-0.22;0.07;-0.21;g1249;-0.11;-0.29;0.22;-0.35;g1249;-0.33;-0.48;-0.23;-0.17;g1249;-0.69;-0.18;-0.31;0.19;g1249;-0.54;-0.27;-0.3;0.02
g1250;-0.31;-0.57;0.63;0.05;g1250;0.09;-0.27;-0.09;0.08;g1250;-0.13;0.23;-0.51;0.16;g1250;-0.1;0.19;0.12;-0.37;g1250;-0.12;0.38;0.66;-0.39;g1250;0.1;-0.14;0.32;-0.08;g1250;-0.13;0.29;-0.16;0.03;g1250;-0.08;-0.16;0.29;0.12
g1251;-0.13;-0.54;0.21;0.28;g1251;0.16;-0.54;-0.07;0.07;g1251;-0.17;0.14;-0.53;0.12;g1251;-0.19;-0.15;0.48;-0.25;g1251;0.17;0.71;0.94;-0.02;g1251;0.37;-0.23;0.34;-0.12;g1251;-0.3;0.11;-0.28;0.14;g1251;0.24;-0.05;-0.18;0.25
g1252;-0.44;-0.52;0.06;1.22;g1252;0.37;-0.31;-0.78;0.18;g1252;0.11;0.3;-0.96;0.36;g1252;0.04;-0.04;0.49;-0.44;g1252;-0.35;-0.12;-0.03;-0.55;g1252;0.08;-0.26;0.46;-0.4;g1252;-0.31;0.02;0;-0.34;g1252;0.17;-0.35;0.06;-0.13
g1253;-0.05;-0.26;0.18;1.19;g1253;0.43;-0.32;-0.71;-0.08;g1253;0.25;0.01;-0.93;0;g1253;0.06;-0.32;0.37;-0.22;g1253;0.15;0.01;0.41;-0.2;g1253;-0.05;-0.36;0.39;-0.33;g1253;-0.23;0.79;-0.44;-0.24;g1253;-0.2;-0.19;-0.11;-0.04
g1254;-0.39;-0.14;0.44;-0.22;g1254;0;0.16;0.38;0.24;g1254;0.08;-0.1;0.38;0.49;g1254;0.13;-0.41;0.54;-0.59;g1254;-0.16;-0.26;0.07;-1.04;g1254;0.2;-0.49;0.33;-1.61;g1254;-0.3;0.17;-0.64;-0.63;g1254;-0.12;-0.24;0.33;0.29
g1255;0.24;0.73;0.01;-0.44;g1255;-0.15;0.5;0.49;-0.17;g1255;0.03;-0.35;-0.39;-0.16;g1255;-0.07;-0.26;0;0.69;g1255;0.07;-0.46;0.11;0.25;g1255;-0.01;-0.35;0.26;0.11;g1255;-0.28;-0.48;-0.23;-0.02;g1255;-0.03;0.18;0.31;0.1
g1256;-0.27;-0.29;3.09;1.86;g1256;0.8;-0.24;1.94;0.52;g1256;0.63;-0.41;-0.78;-1.49;g1256;0.15;0.55;-0.49;0.53;g1256;-0.03;0.07;-0.9;-0.96;g1256;-0.03;0.27;-0.49;-0.65;g1256;-0.13;-0.29;-1.64;0.08;g1256;-0.25;0.16;-0.64;-0.33
g1257;0.14;-0.48;0.62;-0.24;g1257;0.5;0;-0.3;-0.21;g1257;0.18;0;-1.73;0;g1257;-0.13;0;-0.3;0.16;g1257;0.09;0;-0.2;-0.21;g1257;-0.18;0;0.64;-0.11;g1257;-0.34;0;0.06;-0.11;g1257;-0.02;0;0.31;0.19
g1258;0.23;0.57;-0.35;-0.13;g1258;0.03;0.61;0.27;-0.05;g1258;0.16;0.25;0.03;-0.42;g1258;0.29;-0.09;-0.13;-0.06;g1258;0.06;-0.61;-0.26;0.02;g1258;-0.28;-0.2;0.06;-0.2;g1258;0.18;-0.3;0.07;0.06;g1258;-0.32;0.05;-0.04;0.34




;c0;c0;c0;c0;c0;c0;c0;c0;;c1;c1;c1;c1;c1;c1;c1;c1;;c2;c2;c2;c2;c2;c2;c2;c2;;c3;c3;c3;c3;c3;c3;c3;c3;;
;t0;t1;t2;t3;t4;t5;t6;t7;;t0;t1;t2;t3;t4;t5;t6;t7;;t0;t1;t2;t3;t4;t5;t6;t7;;t0;t1;t2;t3;t4;t5;t6;t7;;
g959;0.01;0;0;-0.42;0.12;-0.2;0.2;0.12;g959;0;0;0;0;0;0;0;0;g959;0.9;-0.02;-0.45;0.15;0.15;-0.05;-0.8;0.03;g959;0.12;0.07;0.2;0.07;0.2;0.12;-0.42;0.05
g984;0.22;-0.2;0.08;-0.37;0.11;-0.05;0.22;0.07;g984;0.37;0.37;0.25;-0.17;0.32;-0.32;0.3;-0.4;g984;0.12;-0.57;-0.29;-0.1;0.32;0.08;0.2;0.14;g984;0.45;0.17;0.01;0.03;0.06;0.01;-0.14;-0.15
g992;-0.04;0.27;0.36;0;0.19;-0.19;-0.11;0.14;g992;0.45;-0.02;-0.37;-0.35;0.25;-0.59;0.02;-0.14;g992;-0.08;0.2;0.88;0.48;-0.54;-0.07;-0.26;-0.39;g992;-0.04;-0.18;-0.04;-0.18;0.11;0.13;0.12;0.15
g1033;0.1;-0.2;0;0.12;0.17;-0.18;0.2;-0.06;g1033;-0.12;-0.29;-0.17;1.02;0.01;0.07;-0.01;-0.59;g1033;0.6;-0.02;-0.75;-0.3;-0.22;0.07;-0.42;0;g1033;-0.61;-0.37;-0.24;-0.55;-0.04;-0.08;-0.43;0.35
g1077;0.29;0.11;0.42;-0.06;0.08;-0.37;0.05;-0.18;g1077;-0.47;-0.81;-0.64;-0.22;-0.2;0.02;-0.06;0.02;g1077;0.03;0.14;-0.08;-0.04;-0.48;0.02;0.07;0.19;g1077;0.28;0.07;0.02;-0.28;0.12;-0.05;-0.14;-0.1
g1091;-0.44;-0.42;-0.08;0.31;0.02;0.31;-0.17;0.04;g1091;-0.26;-0.36;0.06;0.37;0.63;0.08;0.28;0.08;g1091;-1.07;-0.1;0.44;0.28;-0.46;-0.03;0.2;-0.39;g1091;-0.98;-0.25;-0.48;-0.57;-0.09;0.28;0.45;0.41
g1098;0.21;-0.91;-0.94;-0.19;0.1;0.21;-0.38;0.4;g1098;1.12;1.04;0.47;0.23;0.02;0.17;0.31;0.35;g1098;-0.45;0.27;0.33;0.29;0.3;0.09;0.08;0.14;g1098;-0.87;-0.46;-0.23;0.8;0.8;0.66;0.31;0.16
g1108;0.42;0.01;0.07;-0.11;0.12;-0.12;0.09;0;g1108;-0.22;0.68;1.04;0.27;0.44;0.26;0.35;-0.01;g1108;-1.15;-0.6;0.08;0.79;0.15;0.17;0;0.42;g1108;-0.65;-0.44;-0.13;-0.27;-0.11;-0.27;0.14;0.2
g1109;0.2;-0.15;0.05;0.19;0.19;-0.05;0.1;-0.12;g1109;0.32;0.83;1.11;0.55;0.59;0.37;0.38;0.05;g1109;-1.63;-0.53;-0.08;0.59;0.7;0.37;0.52;0.54;g1109;-0.02;-0.13;0.13;-0.47;-0.2;0.02;-0.52;-0.02
