;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g4025;-0.06;-0.02;0.52;0.43;g4025;-0.1;-0.23;0.18;0.46;g4025;-0.02;-0.95;0.19;-0.04;g4025;0.11;0.08;-0.05;-0.17;g4025;-0.08;-2.06;0.14;0.03;g4025;-0.23;-0.11;-0.44;0.02;g4025;0;-0.13;-0.2;-0.05;g4025;-0.36;0.45;0;-0.33
g4038;0.39;0.28;-0.02;0.21;g4038;0.52;-0.78;-0.41;0.39;g4038;0.08;0.06;-0.59;0.14;g4038;-0.12;0.13;-0.7;0.24;g4038;0.27;-0.28;0.72;0.17;g4038;-0.2;0.5;0.58;0.47;g4038;0.34;0.19;0.23;-0.43;g4038;-0.05;-0.01;-0.2;0.04
g4059;-0.21;-0.25;-0.02;-0.49;g4059;0.1;-0.01;-0.24;-0.28;g4059;0.07;-0.47;-0.05;-0.32;g4059;-0.37;-0.4;-0.15;-0.02;g4059;-0.05;0.42;0.53;-0.42;g4059;0.03;-0.22;0.26;-0.26;g4059;0.25;-0.21;-0.01;0.41;g4059;0.05;0.39;0;0.07
g4092;0.05;0.07;0.05;-0.1;g4092;-0.14;-0.07;-0.02;-0.12;g4092;0.19;-0.1;-0.18;0.14;g4092;0.15;-0.22;0.03;-0.02;g4092;-0.21;-0.2;-0.11;-0.06;g4092;-0.25;-0.24;0.15;0.07;g4092;-0.03;-0.15;0.24;-0.18;g4092;-0.14;0.48;0.13;-0.16
g4120;-0.36;0;-0.07;0.12;g4120;0;1.39;-0.32;0.11;g4120;0.15;0.13;-0.26;-0.41;g4120;0.27;-0.52;0.07;0.53;g4120;0.21;-0.19;0.25;-0.01;g4120;-0.19;-0.41;-0.38;0.19;g4120;0.27;0.07;-0.2;-0.47;g4120;-0.11;-0.19;0.13;0.25
g4509;0.16;-0.25;-1;-0.08;g4509;0;-0.09;0.05;0.25;g4509;0.22;-0.09;0.23;-0.12;g4509;-0.01;-0.31;-0.35;0.01;g4509;-0.03;-0.01;-0.14;-0.13;g4509;-0.22;-0.33;0.02;0.21;g4509;0.08;-0.42;-0.48;0.06;g4509;-0.48;0.47;0;-0.06
g4573;-0.31;-0.23;-0.7;0.02;g4573;0.11;-0.16;-0.13;0.02;g4573;0.05;-0.49;0.22;0.06;g4573;0.05;-0.41;0.19;-0.67;g4573;-0.05;0.23;-0.05;-0.34;g4573;-0.07;-0.21;0.37;0.12;g4573;0.16;0.03;-0.04;0;g4573;-0.27;0.21;-0.04;-0.03
g4635;-0.04;0;-0.5;0.2;g4635;-0.07;0.15;-0.25;0.24;g4635;0.55;0.62;-0.13;0.13;g4635;0.35;0;0.2;0.12;g4635;0.15;0;0.29;0.35;g4635;0.26;-0.33;0.12;0.21;g4635;0.16;0;0.08;0.17;g4635;-0.18;0;0;0.05
g4660;0.16;0.18;0.06;0.1;g4660;0.28;0.14;0.14;0.2;g4660;0.41;-0.14;0.14;0.4;g4660;-0.16;-0.52;0.06;0.27;g4660;-0.13;-0.11;-0.68;-0.09;g4660;-0.34;-0.74;-0.43;-0.05;g4660;0.02;-0.45;0.11;-0.01;g4660;-0.08;0.3;0;-0.15
g4712;0.05;-0.22;-0.34;0;g4712;-0.07;-0.05;-0.6;0.04;g4712;0.26;-0.32;0.08;0.68;g4712;0.07;0.51;0;-0.48;g4712;-0.07;0.05;1.25;-0.4;g4712;0.05;-0.05;0.94;-0.15;g4712;0.07;0.18;-0.11;-0.8;g4712;-0.04;0.25;0.6;0.17
g4718;0.13;0;0.02;0.29;g4718;-0.37;0;-0.06;-0.26;g4718;0.13;0;0.04;0.07;g4718;0.2;0;-0.11;0.16;g4718;0.03;0;-0.23;0.12;g4718;0.06;0;-0.23;-0.52;g4718;-0.09;0;-0.08;0.05;g4718;-0.18;0;0;-0.07
g4781;0.17;0;0.16;-0.29;g4781;0.55;0;0.34;0.05;g4781;0.54;0;0.46;-0.01;g4781;0.15;0;0.5;0.48;g4781;-0.02;0;-0.31;0.23;g4781;-0.28;0;-0.44;0;g4781;-0.24;0;0.11;0.48;g4781;-0.14;0;0;0.11
g4796;-0.09;-0.28;-0.65;-0.19;g4796;-0.07;-0.32;-0.8;-0.23;g4796;0.19;0.26;-1.07;-0.03;g4796;0.11;-0.09;0.46;0.04;g4796;0.41;-0.02;-0.75;0.19;g4796;-0.05;0.17;0.5;0.41;g4796;0.11;0.15;0.7;0.04;g4796;-0.17;0.23;0.48;0.23
g4894;0.13;-0.27;-0.14;-0.04;g4894;0.28;-0.75;-0.42;-0.33;g4894;-0.03;-0.13;-0.18;0.03;g4894;-0.05;-0.29;0.02;0.13;g4894;-0.05;-0.36;-0.11;0.05;g4894;0.12;0.31;0.39;0.19;g4894;0.1;0.15;0.39;0.01;g4894;-0.01;1.05;-0.05;0.19
g5027;0.4;-0.12;0.12;-0.06;g5027;0.32;0.08;-0.09;0.02;g5027;0.13;0.13;0.01;0.08;g5027;-0.15;-0.09;-0.07;0.07;g5027;-0.18;0.07;-0.21;0;g5027;-0.03;-0.21;-0.33;0.02;g5027;-0.1;0.17;-0.13;-0.15;g5027;-0.29;-0.1;0;0.02
g5038;0;-0.12;-0.09;0.22;g5038;0.08;-0.82;-0.15;0;g5038;-0.01;0.55;0.17;0.1;g5038;-0.03;0.29;0.06;-0.52;g5038;-0.05;-0.43;-0.07;0.1;g5038;0.37;0.12;0.28;0.12;g5038;0.11;0.56;0.02;-0.85;g5038;0.14;-0.41;0.18;0.14
g5060;0.03;0.03;-0.16;-0.12;g5060;0.09;-0.1;-0.05;-0.09;g5060;0.23;-0.34;0;-0.16;g5060;-0.07;-0.44;-0.11;0.25;g5060;-0.3;-0.17;-0.01;0.26;g5060;-0.28;0.22;-0.26;-0.09;g5060;0.18;0.09;-0.03;0.18;g5060;-0.32;0.25;0.07;0.4
g5123;0.38;0;0.23;0;g5123;-0.03;0;0.28;-0.19;g5123;0.29;0;0.16;-0.12;g5123;-0.09;0;0.25;0.38;g5123;-0.53;0.49;-0.54;0.02;g5123;-0.16;0;-0.48;0.17;g5123;-0.16;0;-0.51;-0.58;g5123;0;-0.14;-0.66;0.15
g5138;-0.12;-0.55;-0.55;0.08;g5138;-0.19;0.29;-0.33;0.05;g5138;0.1;-0.01;-0.03;-0.22;g5138;0.02;-0.2;0.26;0.29;g5138;-0.03;0.09;-0.11;0.27;g5138;-0.08;-0.2;-0.2;-0.18;g5138;-0.02;-0.62;-0.13;0.03;g5138;-0.16;-0.2;-0.18;0.26
g5229;0.3;-0.05;0.62;0.21;g5229;-0.34;-0.99;-0.05;-0.49;g5229;-0.1;-0.19;-0.43;-0.1;g5229;0.16;-0.12;-0.65;-0.08;g5229;-0.28;-0.51;-1.39;-0.03;g5229;0.75;-0.34;-1.1;0.07;g5229;0.48;-0.56;-0.96;-0.22;g5229;-0.1;-0.65;-0.83;0.05
g5270;0.09;0.33;0.23;0.32;g5270;0.2;-0.43;0.21;0.16;g5270;0.45;0.34;0.15;0.05;g5270;0.19;0.14;0.13;0.06;g5270;0.25;-0.03;0.14;0.37;g5270;-0.14;-0.08;-0.07;0.26;g5270;0.22;-0.08;-0.01;-0.19;g5270;-0.08;0.86;0.08;0.16
g5276;-0.15;-0.03;-0.05;-0.29;g5276;0.14;-0.21;0.01;-0.05;g5276;0.05;0.45;-0.07;-0.09;g5276;-0.03;-0.03;0.04;-0.01;g5276;0.2;-0.06;0.56;0.12;g5276;-0.05;0.52;-0.13;0.07;g5276;-0.07;0.26;-0.02;0.07;g5276;-0.11;0.25;0;0.06
g5282;0.02;-0.31;-0.89;0.03;g5282;0.07;-0.42;-0.49;0.14;g5282;0.16;-0.21;-0.41;0.01;g5282;-0.22;-0.14;0.44;-0.04;g5282;-0.1;0.26;-0.06;-0.05;g5282;-0.29;0.12;0.04;0.01;g5282;-0.2;-0.47;-0.46;0.05;g5282;0;-0.47;-0.36;0.05
g5305;-0.04;0.67;0.2;-0.15;g5305;-0.44;0.17;-0.03;-0.01;g5305;0.31;0.53;0.25;-0.04;g5305;0.12;0.39;0.02;0.26;g5305;0.12;-0.45;0.64;0.26;g5305;-0.04;0.23;-0.03;-0.06;g5305;0.19;0.19;0.02;0.3;g5305;0.23;0.05;0;0.06
g5313;-0.14;-0.23;-0.55;-0.31;g5313;-0.26;-0.5;0.06;-0.35;g5313;-0.04;-0.3;0.02;-0.03;g5313;-0.1;0.41;0.16;0.18;g5313;0.15;0.73;0.54;0.07;g5313;0.09;0.46;0.24;-0.2;g5313;-0.14;0;-0.1;0.52;g5313;-0.49;0.03;0;0.24
g5359;0.04;0.04;0.06;0.31;g5359;0.15;0.39;0.26;0.26;g5359;0.15;0.43;0.06;-0.21;g5359;0;0.15;0.48;0.12;g5359;0.07;0.02;0.05;-0.03;g5359;-0.24;-0.41;-0.24;0.18;g5359;-0.07;-0.25;0.14;0;g5359;-0.07;-0.04;0.36;-0.1
g5367;-0.06;0.3;-0.21;-0.09;g5367;0.26;-0.55;-0.1;0.14;g5367;0.02;0.38;-0.07;0.17;g5367;-0.06;0.13;-0.15;-0.23;g5367;0.13;0;-0.41;0.02;g5367;-0.32;-0.03;-0.63;0.31;g5367;0.29;-0.01;-0.1;-0.18;g5367;-0.47;0;-0.55;0.04
g5369;1.17;-0.58;0.28;0.27;g5369;0.57;0;-0.35;0.48;g5369;0.31;-0.33;-1.16;0.21;g5369;-0.68;-0.48;-1.16;0.42;g5369;-0.1;-0.2;-0.51;0.43;g5369;-0.38;0.65;1.03;0.67;g5369;0.73;0.51;1.06;-0.55;g5369;0.09;0;-0.38;0.21
g5435;0;0.2;0.28;-0.13;g5435;-0.06;0.14;0.12;0.09;g5435;0.16;0.39;0.37;-0.07;g5435;-0.07;0.1;0.07;0.24;g5435;0.07;-0.01;0.5;0.26;g5435;-0.11;-0.07;-0.08;-0.15;g5435;-0.17;0.07;-0.52;0.07;g5435;0;0.01;-0.18;0
g5491;-0.1;-0.38;-0.16;0.38;g5491;0.29;0.33;0.11;0.29;g5491;0.2;0.18;0.13;0.06;g5491;-0.09;-0.68;0.08;-0.31;g5491;0.34;0.17;0;0.05;g5491;-0.33;-0.45;-0.26;0.34;g5491;0.18;-0.68;-0.04;-0.87;g5491;-0.26;0.19;0;0.03
g5630;0.31;-0.07;-0.06;0.37;g5630;-0.06;-0.3;0.42;0.03;g5630;0.06;0;0.12;-0.1;g5630;0.09;-0.02;0.33;-0.03;g5630;0.06;-0.24;-0.32;-0.01;g5630;-0.05;0.14;-0.14;-0.01;g5630;0.14;0.27;-0.22;-0.22;g5630;-0.18;-0.19;-0.37;-0.12
g5644;0.1;0;-0.55;-0.33;g5644;-0.08;-0.17;-1.32;-0.36;g5644;0.13;0;-1.32;0.09;g5644;-0.17;0;0.57;0.63;g5644;-0.04;-0.25;0.17;0.23;g5644;-0.39;0.06;0.45;-0.02;g5644;-0.19;0.18;1.19;0.43;g5644;-0.41;0;0.61;0.36
g5680;-0.38;0.33;0.34;-0.26;g5680;-0.06;-0.25;-0.14;-0.2;g5680;0.01;0.76;0.1;-0.2;g5680;-0.07;0.07;-0.01;-0.24;g5680;0.96;-0.07;0.52;0.08;g5680;-0.18;0.57;-0.18;0.09;g5680;0.01;0.37;0.06;-0.83;g5680;-0.06;-0.29;0.34;-0.06
g5710;-0.02;0.14;0;0.19;g5710;0.03;-0.43;0;-0.12;g5710;0.23;0.31;0;0.23;g5710;0.18;-0.03;0;-0.33;g5710;0.13;-0.17;0;-0.02;g5710;-0.23;-0.36;0;0.01;g5710;0.03;-0.4;0;-0.26;g5710;-0.15;-0.12;0;-0.15
g5788;0.35;-0.13;-0.03;-0.11;g5788;-0.13;0.36;0.05;0.21;g5788;0.53;0.54;-0.11;0.09;g5788;0.16;0.43;-0.01;0.4;g5788;-0.13;0.1;0.51;0.16;g5788;-0.04;-0.24;-0.18;-0.02;g5788;-0.14;-0.3;-0.37;0.15;g5788;-0.24;-0.01;-0.03;-0.28
g5838;-0.16;0.15;0;0.32;g5838;-0.27;-0.12;0.24;0.29;g5838;0.22;0.72;0.38;0.09;g5838;0.15;0.39;0.49;0.05;g5838;-0.29;-0.1;-0.46;0.05;g5838;-0.29;-0.03;-0.65;0.03;g5838;-0.05;-0.28;-0.38;-0.08;g5838;-0.35;-0.32;-0.35;0.07
g5868;0.14;-0.32;-0.17;0.26;g5868;-0.12;-0.07;-0.4;0.31;g5868;0.37;0.11;-0.2;-0.08;g5868;0.24;-0.82;-0.04;0.15;g5868;-0.14;0.3;0.54;-0.03;g5868;0.03;-0.17;0.15;0.13;g5868;0.06;-0.57;-0.04;-0.27;g5868;-0.32;0.32;0.2;0.05
g5886;-0.04;-0.48;-0.17;-0.18;g5886;-0.09;0.16;-0.08;-0.19;g5886;0.14;0.1;0.16;-0.19;g5886;-0.04;-0.48;-0.08;0.07;g5886;0.03;-0.09;0.4;-0.23;g5886;-0.15;-0.36;0.05;-0.03;g5886;-0.04;-0.31;-0.24;0.09;g5886;-0.43;0.33;-0.1;0.25
g5908;0.33;-0.08;0.13;0.24;g5908;0.04;0.36;-0.15;0.29;g5908;0.42;0.14;-0.1;-0.15;g5908;0.06;-0.12;-0.34;0.12;g5908;-0.34;0.01;0.7;0.2;g5908;-0.14;-0.08;0;0.2;g5908;0.3;0.25;-0.17;-0.17;g5908;-0.17;0.2;0.08;-0.06
g5916;-0.02;0.26;0.03;0.91;g5916;-0.3;0.25;0.15;0.51;g5916;0.08;0.24;0.1;0.55;g5916;0.13;0.15;0.01;-0.18;g5916;0.16;0.28;0.23;0.46;g5916;0.11;-0.04;-0.04;0;g5916;-0.03;-0.3;-0.09;-0.82;g5916;0.17;-0.18;-0.08;-0.26
g5983;0.12;0.07;0.11;-0.07;g5983;-0.19;0;0.14;-0.27;g5983;0.21;-0.61;0.08;-0.37;g5983;0.2;0.03;-0.07;0.25;g5983;-0.27;-0.1;0.08;0.4;g5983;0.25;0.17;-0.15;-0.25;g5983;0.01;-0.18;0;0.23;g5983;0.01;0;-0.22;0.03
g5987;0.14;0.13;-0.06;0;g5987;0.23;0;-0.09;0.07;g5987;0.08;0;0.16;0.26;g5987;-0.07;0.52;0.31;0.13;g5987;-0.04;0;-0.13;-0.04;g5987;-0.39;-0.69;-0.4;-0.04;g5987;0.1;-0.41;0.31;-0.31;g5987;-0.07;0;0.55;-0.04
g5990;0.02;-0.14;-0.12;0.21;g5990;-0.11;-0.11;-0.17;-0.01;g5990;0.02;-0.18;-0.14;0.22;g5990;0.13;0.27;0.26;0.03;g5990;0.29;0;0.12;0.17;g5990;0.02;0.18;0.3;0.09;g5990;0.28;0.07;-0.27;-0.23;g5990;-0.18;0.04;0;0.27
g6043;0.07;-0.72;-0.06;0.52;g6043;-0.25;0.21;0.29;0;g6043;0.08;0.01;-0.07;-0.15;g6043;0.07;-0.56;0.39;-0.54;g6043;0.19;0.37;0.03;-0.13;g6043;0.09;0.87;0.13;0.13;g6043;-0.03;-0.81;0.22;-0.19;g6043;0.03;-0.15;-0.14;-0.17
g6159;0;-0.47;0.11;0.23;g6159;0;0.04;0.4;0.07;g6159;0.14;0.03;0.17;0.09;g6159;0.16;-0.37;0.3;-0.24;g6159;-0.07;0.1;-0.1;-0.07;g6159;-0.33;-0.28;-0.17;-0.07;g6159;0.32;-0.58;0.03;-0.13;g6159;-0.31;0.13;0.18;-0.03




;c0;c0;c0;c0;c0;c0;c0;c0;;c1;c1;c1;c1;c1;c1;c1;c1;;c2;c2;c2;c2;c2;c2;c2;c2;;c3;c3;c3;c3;c3;c3;c3;c3;;
;t4;t5;t6;t8;t9;t10;t12;t13;;t4;t5;t6;t8;t9;t10;t12;t13;;t4;t5;t6;t8;t9;t10;t12;t13;;t4;t5;t6;t8;t9;t10;t12;t13;;
g19;0.1;-0.02;0.08;-0.17;-0.12;-0.06;0.08;0.02;g19;0.19;-0.17;0.16;0.25;-0.05;-0.14;0.19;-0.03;g19;0.2;-0.57;0.35;0;0.18;0.1;0.16;0;g19;0;-0.09;0.37;0.15;0.29;-0.39;-0.09;-0.2
g74;0.17;-0.18;-0.21;-0.36;-0.08;-0.2;0.05;-0.2;g74;-0.01;-1.11;-0.31;0.22;-0.11;0.58;0.43;0.02;g74;-0.06;-0.5;-0.49;-0.41;0.32;0.7;0.85;0.09;g74;0.29;0.69;0.08;0.03;0.01;0.42;-0.41;-0.12
g129;-0.08;-0.34;-0.28;0.11;-0.08;0.14;-0.14;-0.3;g129;0.46;-0.04;0.3;0.01;-0.04;-0.28;0.35;0.12;g129;0.19;-0.37;0.06;-0.15;0.36;0.1;0.01;0;g129;-0.37;-0.39;-0.21;0.29;0.5;-0.23;-0.15;0.02
g148;0.06;-0.32;0.02;0.05;0.15;0.09;0.03;-0.1;g148;0;0;0;0;1.53;0;0;0;g148;-0.23;-0.23;0.45;-0.07;0.51;-0.05;-0.2;0.19;g148;0.18;0.05;0.05;-0.06;-0.12;0;-0.1;-0.02
g352;-0.07;0.14;0.31;0.12;0;-0.23;0;0;g352;-0.13;-0.51;-0.4;0.34;0.01;0.14;-0.04;-0.02;g352;0.04;-0.4;0.02;-0.01;0.64;0.25;0.01;0;g352;-0.36;-0.16;0.12;0.19;-0.07;0.21;0.02;0.04
g382;-0.26;-0.26;-0.05;0.02;0.15;0.35;-0.02;-0.35;g382;0;-0.11;0;0;-0.09;0;-0.04;-0.23;g382;0.69;0.2;0.62;0.2;-1.1;-0.24;0.38;0.7;g382;0.32;0.22;0.18;0.16;0.14;-0.2;-0.59;-0.15
g410;0.13;-0.04;0.09;0.19;0.15;0.18;-0.08;-0.33;g410;-0.38;0.19;-0.69;-0.04;0.32;-0.3;-0.11;0.11;g410;-0.29;-0.03;0.13;0.18;-0.09;0.14;0.14;0.39;g410;-0.04;-0.04;0.08;0.37;0.3;-0.41;0.35;-0.39
g412;-0.24;-0.43;0.14;0.28;0.12;-0.07;0.35;-0.09;g412;-0.16;0.18;0.08;-0.08;-0.01;-0.16;-0.19;-0.05;g412;0.72;-0.71;0.11;-0.6;-1.49;0.57;-0.4;0.3;g412;0.3;0.41;0.03;0.48;0.51;-0.11;-0.06;-0.05
g493;-0.14;0.03;-0.07;0.34;-0.23;0.16;0.07;-0.12;g493;0.1;-0.28;-0.04;2.06;-0.01;0.14;-0.06;-0.21;g493;0.05;-0.13;0.07;-0.11;0.44;0.08;-0.28;0.01;g493;-0.27;-0.14;-0.03;0.15;-0.01;0.14;0.05;-0.23
g623;0.14;-0.04;0.1;-0.06;0.35;-0.39;-0.14;-0.27;g623;1.21;-1.69;0.93;0.36;-0.51;0.93;0.51;-0.21;g623;0.34;0.02;-0.29;-0.42;-1.16;-0.66;-0.2;-0.52;g623;0.32;-0.01;0.11;-0.15;-0.22;0.06;-0.24;-0.17
g706;-0.04;0.21;-0.22;0.1;-0.34;-0.03;-0.15;-0.16;g706;0.19;-0.21;-0.33;-0.46;-0.08;0.02;0.27;0.44;g706;-0.33;-0.09;0.12;-0.05;0.26;-0.09;0.51;0.44;g706;-0.65;-0.28;-0.25;0.09;0.18;-0.52;0.37;0.37
g732;0.14;0.02;-0.22;0.35;-0.27;0.51;0.21;-0.1;g732;0;0;0;0;0;0;0;0;g732;-0.09;-0.12;0.18;0;-0.86;-0.07;0.44;0.25;g732;0.09;0.06;0.26;-0.09;0.15;0.07;-0.09;-0.01
g746;0.07;-0.03;0;-0.13;0.01;0.4;-0.16;0.07;g746;0.38;-0.28;0.35;0.3;-0.09;0.21;0.38;-0.11;g746;0.61;0.32;-0.23;0.32;0;0.25;0.9;0.56;g746;0.16;-0.04;0.08;0.15;0.15;0.05;-0.37;-0.12
g838;-0.01;-0.2;0.23;-0.12;0.28;0.09;0.11;-0.1;g838;-0.1;-0.01;-0.38;0.09;0.45;0.01;0.11;0.05;g838;-0.31;-0.1;0.07;0.2;-0.16;0.46;0.16;0.27;g838;-0.1;-0.02;-0.24;0.19;0.18;0.15;-0.08;0.4
g898;-0.08;-0.28;-0.56;0.61;0;0.35;0.07;-0.03;g898;0;0;0;0;1.23;0.64;0;0;g898;-0.45;0.05;-0.21;0.27;0.05;0.08;0.25;-0.08;g898;-0.25;-0.23;-0.19;-0.18;-0.08;-0.19;0.02;0.18
g971;0.03;-0.57;-0.3;0.11;0.07;0.1;-0.08;0;g971;0.9;-0.26;0.74;0.48;-0.93;0.19;0.24;0.04;g971;-0.47;-0.36;-0.59;-0.36;-1.08;-0.08;-0.08;0.35;g971;-0.79;-1.19;-0.77;-0.02;-0.77;-1.85;1.01;0.6
g1278;0.12;-0.17;0.33;0.29;0.26;0.08;0.29;-0.17;g1278;-0.86;0.36;0.01;-0.66;0.59;0.02;-0.33;0.31;g1278;0.08;0.21;0.02;0.15;-0.11;0.12;-0.14;0.09;g1278;0.26;0.16;-0.53;0.01;0.06;0.17;-0.17;0.14
g1339;-0.25;0.1;-0.31;0.33;0.01;0.33;0.05;-0.17;g1339;0;0;0;0;0;0;0;0;g1339;0.3;-0.24;0.15;-0.27;0.04;-0.04;-0.27;0.29;g1339;0.22;0.49;0.45;-0.08;0.12;0.37;-0.49;-0.2
g1345;0;-0.25;1.03;0.04;-0.07;-0.07;0.3;-0.19;g1345;-0.3;-0.08;-0.46;-0.09;0.59;-0.12;-0.26;0.31;g1345;-0.17;0.02;-0.66;0.04;0.12;0.37;-0.14;0;g1345;-0.01;-0.17;0.15;0.38;0.58;0.02;0.46;-0.01
g1351;0;-0.12;0.14;-0.14;-0.19;0.04;0.53;0.01;g1351;-0.14;-0.3;-0.53;-0.16;0.09;0.14;0.2;0.75;g1351;-0.13;-0.33;0.07;-0.62;0.81;0.16;-0.44;0.62;g1351;-0.16;-0.15;-0.06;0.18;0.12;-0.19;0.4;0.08
g1414;-0.02;-0.22;0.12;0.09;0.12;0.15;0.16;-0.22;g1414;-0.27;0.11;0.03;0.05;0.16;0.33;-0.36;-0.12;g1414;0.03;0.19;-0.04;0.17;-0.4;-0.29;-0.22;0.44;g1414;-0.06;-0.19;-0.17;0.2;0.2;0.14;0.17;0.26
g1434;-0.62;0.08;-0.43;0.17;0.42;0.52;0.09;-0.45;g1434;-0.31;-0.2;0.19;0.3;-0.09;0.15;-0.17;0.52;g1434;-0.4;-0.09;-0.25;0.25;0.2;0.01;-0.18;0.23;g1434;-0.34;-0.48;-0.29;0.05;-0.01;0.08;0.4;0.34
g1452;-0.22;0.23;-0.21;0.05;0.29;0.15;0;-0.19;g1452;0.47;-0.19;0.39;-0.37;-0.27;0.97;0.11;0.36;g1452;-0.17;-0.16;0;-0.27;0.44;0.17;-0.52;0.48;g1452;0.22;0.33;0.34;-0.03;0.17;0.25;-0.32;0.06
g1546;-0.33;0.32;-0.29;0;0.13;0;-0.02;-0.25;g1546;0.03;-0.57;0.62;0.01;-0.17;0.17;0.01;-0.17;g1546;0.42;-0.07;0.2;-0.27;0;-0.25;-0.13;0.18;g1546;0.19;0.28;0.3;-0.26;-0.29;0.36;-0.44;-0.02
g1550;-0.34;0.17;-0.3;0.1;0.34;0.26;0.05;0.02;g1550;-0.09;0.24;0.15;0.18;0.51;0.12;-0.31;0.3;g1550;0.42;0.07;0.26;-0.01;0.26;-0.16;0.22;-0.3;g1550;-0.67;-0.26;-0.32;-0.09;-0.04;-0.06;0.38;0.11
g1573;-0.07;0.25;-0.16;0.19;-0.39;0.05;0.11;-0.01;g1573;0.28;0.2;-0.07;-0.56;0.23;0.11;-0.05;0.06;g1573;-0.03;-0.57;-0.12;0.14;-0.26;0.04;0.35;0.32;g1573;0.2;0.15;0.24;-0.48;-0.04;0.13;-0.06;-0.04
g1637;-0.06;-0.22;0.31;0.21;-0.21;0.19;-0.09;-0.21;g1637;-0.33;-0.04;-0.37;-0.52;0.27;-0.33;-0.43;0.19;g1637;0.03;-0.15;-0.02;-0.19;0.28;-0.09;0.07;0;g1637;-0.13;-0.23;0;-0.1;-0.43;0.12;-0.13;-0.2
g1678;-0.19;0.2;-0.35;0.09;0.29;0.27;-0.09;-0.04;g1678;-0.04;-0.24;0.17;0;-0.05;-0.34;0.03;-0.28;g1678;0.08;0.03;0.18;0.18;-0.14;-0.31;0.05;-0.02;g1678;-0.02;-0.12;-0.16;-0.12;0.01;0.22;-0.12;0.12
g1688;0.2;0.26;0.14;0.09;-0.35;0.78;-0.1;-0.34;g1688;0.25;-0.15;0.11;0.22;0.01;-0.02;0.11;0.49;g1688;-0.02;-0.18;-0.4;-0.24;0.03;-0.1;0.28;0.19;g1688;0.11;0.18;0;0.16;0.18;-0.41;-0.14;0.08
g1736;0.08;0;0.17;-0.01;-0.08;-0.22;0.18;-0.15;g1736;0.29;0.11;-0.47;0.11;0.06;-0.31;-0.25;0.13;g1736;0.13;-0.42;0;-0.2;-0.2;0.32;0.55;0.34;g1736;0.41;-0.16;0.2;-0.23;-0.46;0.13;0.21;0.02
g1780;0.14;-0.18;0.04;0.04;0.23;-0.02;-0.15;-0.18;g1780;-1.03;0.06;0.95;-0.06;0.51;-0.31;-0.91;-0.04;g1780;-0.31;-0.6;-0.15;-0.06;0.42;-0.01;-0.01;-0.25;g1780;0.17;0.13;0.21;0.01;0.02;0.14;-0.28;0.1
g1795;-0.26;-0.01;-0.23;0.17;-0.3;0.45;0.12;-0.15;g1795;0;0;0;0;0;0;0;0;g1795;0.08;-0.13;0.18;0;-0.22;-0.19;-0.07;-0.17;g1795;-0.24;-0.22;-0.03;-0.14;-0.14;-0.19;-0.03;0.23
g1796;-0.11;0.26;-0.02;0.13;0.14;0.01;0;-0.29;g1796;0;0;0;0;0;0;0;0;g1796;-0.23;-0.41;-0.08;-0.13;-0.03;0.07;-0.2;-0.28;g1796;0;-0.06;0.26;-0.14;-0.25;0.14;-0.22;0.16
g1817;-0.06;-0.08;-0.2;0.08;-0.21;0.31;0.02;-0.18;g1817;0.5;-0.15;0.13;0.42;-0.13;0.16;0.16;0.06;g1817;0.04;0.12;0.34;0.16;-0.41;-0.3;0.08;-0.1;g1817;0.19;-0.05;0.08;-0.2;0.05;0.1;-0.12;-0.07
g1849;-0.13;0;-0.08;0.31;-0.2;0.03;0.14;0.01;g1849;-0.17;-0.02;-0.1;0.01;0.11;0.02;0.1;0.08;g1849;0.15;0.27;0.08;0.07;-0.69;-0.62;0.07;0.36;g1849;0.23;0.21;0.09;0;0.21;0.01;0.14;-0.44
g1880;0.26;-0.16;0;-0.06;0.18;-0.13;-0.14;-0.23;g1880;0.02;-0.27;0.25;0.27;0.15;0.24;-0.13;-0.35;g1880;-0.43;-0.43;-0.01;0.9;-2.01;0;0;0;g1880;-0.32;0.06;-0.02;0.13;0.21;0.25;-0.13;0.16
g1902;0.24;0.13;0.14;-0.11;0.22;-0.05;-0.13;-0.36;g1902;-0.26;0.48;0.3;-0.64;0.28;-0.54;-0.31;0.08;g1902;-0.03;0.01;0.01;0.05;-0.1;-0.15;0.26;0.07;g1902;-0.03;0.2;-0.06;0.15;0.15;0.38;-0.76;0.25
g2348;-0.45;0.31;-0.28;0.08;0.42;-0.22;0.05;-0.05;g2348;-0.13;-0.57;0.41;-0.13;-0.21;0.4;-0.53;0.67;g2348;0.04;0.31;0.43;0.24;-0.22;-0.45;-0.14;0.23;g2348;0;0.08;-0.09;-0.32;-0.32;0.07;-0.02;0.07
