;t7;t7;t7;t7;;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t11;t11;t11;t11;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g3881;-0.53;-0.05;-1.04;-0.34;g3881;-0.47;0.06;0.32;-0.17;g3881;0.81;1.8;1.57;-0.28;g3881;1.41;0.13;0.9;0.38;g3881;1.01;0.87;0.45;0.65;g3881;0.21;-0.15;0;0.65
g3987;-0.2;0.37;-0.09;0.13;g3987;-0.12;0.19;-0.21;0.5;g3987;-0.02;0.38;-1.74;0.56;g3987;0.84;0.12;0.36;-0.03;g3987;-0.19;0.28;0.14;0.2;g3987;-0.3;0.08;0.51;-0.31
g3994;-0.25;0.04;-0.46;0.35;g3994;0.16;-0.4;-0.09;0.02;g3994;0.49;0.17;0.66;0.15;g3994;-0.07;-0.19;0.07;-0.07;g3994;0.08;0.07;-0.03;0.01;g3994;-0.17;0.21;-0.19;0.2
g4061;0.09;-0.29;-0.12;0.13;g4061;0.07;-0.43;-0.46;0.48;g4061;-0.27;0.14;0.63;0.17;g4061;-0.12;-0.34;-0.04;-0.34;g4061;-0.17;0.31;0;0.62;g4061;-0.49;0.19;0.07;0.22
g4066;-0.12;0.26;0.05;0.32;g4066;0.09;-0.07;-0.48;0.09;g4066;0.16;-0.1;1;0.27;g4066;0.07;0.12;0;0.3;g4066;-0.12;0.19;-0.02;0.02;g4066;-0.35;0.01;0.14;0.06
g4079;0.2;0.11;0.2;0.18;g4079;0.12;-0.12;0.26;0.03;g4079;-0.1;0.08;0.44;-0.01;g4079;0.18;-0.34;0.11;-0.09;g4079;-0.2;1.02;-0.15;0.14;g4079;-0.1;0.02;-0.21;-0.22
g4160;0.01;0.13;0.22;-0.01;g4160;-0.18;-0.46;-0.15;-0.01;g4160;-0.05;-0.02;0.17;0.08;g4160;-0.13;-0.37;-0.12;0.13;g4160;0.17;0.08;-0.17;-0.06;g4160;0.07;0.33;0.32;-0.07
g4202;-0.12;0.09;-0.12;-0.1;g4202;-0.01;-0.79;0.03;0.26;g4202;0.06;0.36;0.28;-0.2;g4202;0.14;-0.34;-0.07;-0.38;g4202;0.2;0.06;0.06;0.43;g4202;0.1;0.31;0;0.12
g4206;0.05;0.19;0.57;-0.07;g4206;-0.09;1.77;0.12;0.32;g4206;0.08;-0.05;-0.18;0.11;g4206;-0.15;-0.21;0.21;-0.2;g4206;-0.06;-0.08;-0.11;0.29;g4206;-0.17;-0.16;0;-0.09
g4210;0.2;0;-0.21;0.07;g4210;-0.04;0.06;0.08;-0.04;g4210;-0.05;-0.09;-0.6;-0.47;g4210;-0.3;-0.21;-0.64;-0.15;g4210;-0.07;-0.05;-0.12;0.04;g4210;-0.14;0.12;-0.25;0.04
g4278;0.29;0.59;-0.81;0.06;g4278;0.36;-0.44;-0.09;-0.14;g4278;-0.07;0.7;1.22;-0.18;g4278;-0.03;-0.48;0.38;-0.03;g4278;-0.13;0.42;0;0.03;g4278;-0.45;0.4;0.08;-0.05
g4350;0.26;-0.36;0;0.01;g4350;-0.08;0.13;0;0.08;g4350;-0.17;0.59;0;-0.2;g4350;0;0.22;-2.27;0.07;g4350;-0.31;-0.36;-0.85;-0.12;g4350;-0.18;-0.11;-0.68;-0.18
g4372;0.11;0.06;-0.3;0.46;g4372;0.32;0.84;-0.23;0.08;g4372;0.38;-0.27;1.14;0.31;g4372;0.06;0.03;0.19;0.31;g4372;-0.13;-0.22;0;-0.11;g4372;-0.42;-0.25;0.09;-0.06
g4387;0.26;-0.01;-0.16;0.09;g4387;0.17;-0.15;0.01;-0.07;g4387;-0.06;-0.19;-0.08;0.09;g4387;-0.08;0.31;0.09;0.13;g4387;-0.4;-0.22;0.06;0.03;g4387;-0.45;-0.03;0;-0.04
g4399;0;-0.17;-0.43;0;g4399;0;0.2;-0.2;0;g4399;0;0.94;1.3;0;g4399;0;0.66;0.42;0;g4399;0;0.54;0.29;0;g4399;0;0.12;0.05;0
g4443;0.02;0.09;-0.77;-0.02;g4443;0.19;-0.36;0.21;-0.07;g4443;-0.01;0.29;0.34;0.01;g4443;0.23;-0.5;0.09;-0.06;g4443;0.01;0.17;0.28;0.14;g4443;-0.2;0.09;-0.11;0.04
g4482;0;0;-0.82;0;g4482;0;0;0.02;0;g4482;0;0;-0.64;0;g4482;0;0;0.48;0;g4482;0;0;0.22;0;g4482;0;0;0.22;0
g4558;0.11;0;0.5;0.5;g4558;-0.03;-0.41;0.11;0.38;g4558;0.05;-0.28;-1.03;0.23;g4558;-0.34;-0.61;-0.79;-0.13;g4558;-0.3;0.35;0.13;0.17;g4558;0;0.39;0.1;-0.04
g4589;-0.03;0.33;-0.7;0.09;g4589;-0.11;0;0.15;-0.03;g4589;0.01;-1.87;1.3;-0.35;g4589;0.13;0;0.61;-0.03;g4589;0.15;0.74;0.64;0.1;g4589;-0.3;0.23;0.09;-0.08
g4679;0.25;0.12;-0.02;-0.12;g4679;0.07;-0.13;0.11;0;g4679;0.06;0.08;-0.03;0.11;g4679;-0.04;-0.21;0.07;0.26;g4679;-0.12;0.15;0.18;0.03;g4679;0.01;-0.16;0.01;0.13
g4707;-0.01;0.24;-0.23;0.42;g4707;0.06;-0.07;0.03;0.13;g4707;-0.11;0.36;0.05;0.23;g4707;-0.11;-0.2;0.13;0.08;g4707;-0.23;0.2;0.4;0.29;g4707;-0.55;0.03;-0.15;0.22
g4720;0.04;0.01;-0.14;0.12;g4720;0.07;-0.21;-0.01;0;g4720;-0.07;0.12;-0.18;0.22;g4720;-0.05;-0.58;-0.12;0.05;g4720;-0.12;0.08;0.2;0.23;g4720;-0.38;0.05;0.05;0.15
g4751;0.51;0.62;-0.35;0.58;g4751;0.43;0.51;0.2;0.39;g4751;0.08;-0.04;0.45;0.45;g4751;-0.38;-0.41;0.52;0.1;g4751;-0.46;-0.18;-0.03;0.24;g4751;-0.43;0.02;0;0.31
g4760;-0.52;0;-0.72;-0.19;g4760;-0.37;0;-0.04;-0.13;g4760;0.36;0;1.46;0.03;g4760;1.22;0.25;1.1;0.12;g4760;0.56;0;0.78;0.84;g4760;0.03;0;0.01;0.61
g4769;-0.32;-0.19;-0.36;0.2;g4769;-0.18;0.44;-0.23;-0.01;g4769;-0.24;-0.17;0.55;0.21;g4769;-0.32;0.06;0.23;-0.18;g4769;-0.24;0.08;0;0.29;g4769;-0.22;-0.09;-0.14;0.35
g4818;-0.2;0.3;0.26;0.04;g4818;-0.05;-0.09;0.26;-0.05;g4818;0.12;0.3;-0.48;0.06;g4818;-0.07;0.16;-0.74;0.24;g4818;-0.05;0.07;-2.06;0.02;g4818;-0.27;-0.2;0.75;0.09
g4842;0.06;-0.04;-0.06;0.11;g4842;0.04;-0.38;-0.13;-0.01;g4842;0.19;-0.16;-0.27;-0.18;g4842;-0.12;-0.05;-0.18;0.49;g4842;0.25;0.21;0.24;0.04;g4842;0;0.07;0.38;0.11
g4872;-0.26;-0.36;0.19;-0.08;g4872;-0.11;1.67;0.04;-0.34;g4872;-0.14;-0.32;-0.35;-0.31;g4872;-0.11;0.07;-0.06;0.27;g4872;0.03;-0.19;0.6;-0.01;g4872;1.45;1.16;-0.34;0.37
g4956;-0.16;0.16;-0.1;-0.46;g4956;-0.01;-0.31;-0.18;0.62;g4956;0.07;0.21;0.23;0.51;g4956;-0.07;0;0.03;-0.44;g4956;0.23;-0.29;0.08;0.5;g4956;-0.1;0.38;0;0.34
g5019;0.16;0;-0.19;0.08;g5019;0.04;0;0.1;0.02;g5019;-0.13;0.49;0.66;-0.25;g5019;-0.02;0;0.46;0.09;g5019;-0.3;0;0.5;0.2;g5019;-0.22;-0.14;0.29;0.05
g5051;-0.3;0;0;0.07;g5051;0.14;0;0;0.28;g5051;-0.03;0.49;0;0.11;g5051;0.01;0;0;-0.18;g5051;0.14;0;0;0.21;g5051;-0.14;-0.14;0;0.09
g5129;0.1;0.32;0.29;-0.25;g5129;-0.07;0.37;-0.19;0.08;g5129;-0.3;0.34;-0.02;0.03;g5129;-0.14;-0.19;-0.24;0.16;g5129;0.1;0.09;-0.84;-0.07;g5129;-0.17;-0.11;0.05;0
g5133;-0.01;0.26;-0.01;0.3;g5133;-0.25;-0.18;-0.14;0.3;g5133;0.47;0.14;0.1;0.17;g5133;0.17;-0.16;-0.04;0.23;g5133;0.22;-0.3;-0.42;0.21;g5133;0.03;0.12;0;0.22
g5216;0.1;0.21;-0.23;0.14;g5216;0.12;-0.62;0.09;0.06;g5216;-0.21;-0.1;-0.3;-0.15;g5216;-0.51;-0.39;0.06;0.21;g5216;-0.48;-0.06;-0.05;0.2;g5216;-0.51;0.28;0.03;-0.07
g5240;-0.02;-0.12;0.22;0.3;g5240;0.05;-0.1;0;0.36;g5240;-0.28;-0.21;-0.7;0.27;g5240;-0.51;-0.37;-0.16;0.17;g5240;-0.21;0;0.08;0.26;g5240;-0.24;0.35;0.19;-0.01
g5242;-0.1;-0.5;-0.16;0;g5242;0.08;0.39;0.36;0.24;g5242;0.04;-0.2;-0.2;0.02;g5242;-0.38;0.05;-0.2;0.05;g5242;0.04;0;-0.05;0.38;g5242;-0.34;-0.16;0.84;-0.28
g5329;-0.12;-0.09;0.42;0.28;g5329;-0.01;0.06;0.16;0.3;g5329;0.1;-0.21;-0.01;0.26;g5329;-0.22;0.05;-0.35;-0.23;g5329;0.03;-0.19;-0.57;0.29;g5329;-0.13;-0.03;-0.22;0.26
g5373;0.21;0;-0.09;-0.09;g5373;0.05;-0.04;-0.01;-0.38;g5373;0.01;0.17;0.34;-0.28;g5373;-0.35;-0.15;-0.07;0.25;g5373;0.01;0;0.37;-0.57;g5373;-0.14;0;0;-0.44
g5425;-0.4;0.06;-0.17;0.13;g5425;-0.16;-0.53;-0.39;0.19;g5425;-0.47;0.02;-0.2;0.11;g5425;-0.33;-0.23;-0.06;-0.01;g5425;-0.29;0.44;-0.07;0.06;g5425;-0.54;0.36;0;-0.06
g5440;0.44;0.44;0.15;0.03;g5440;0.39;-0.5;0.1;-0.42;g5440;-0.04;0.42;0.05;0.11;g5440;-0.28;-0.52;-0.2;-0.02;g5440;-0.13;0.16;-0.07;-0.62;g5440;-0.2;-0.05;0;-0.33
g5528;-0.03;-0.16;0.2;0.34;g5528;0.01;-0.17;-0.15;0.4;g5528;-0.05;-0.19;-0.51;0.32;g5528;-0.1;-0.09;-0.83;-0.15;g5528;-0.2;0.28;-0.2;0.05;g5528;-0.18;0.05;0;0.13
g5547;0.25;0.17;0.11;-0.03;g5547;0.25;-0.42;-0.16;-0.12;g5547;-0.05;0.06;0.21;0.03;g5547;0.06;-0.42;-0.18;0.22;g5547;-0.17;-0.05;0.17;-0.39;g5547;-0.37;0.18;-0.28;-0.14
g5603;0.03;-0.73;-0.03;0.01;g5603;0.15;-0.27;0.3;0.01;g5603;-0.18;1.36;0.03;0.16;g5603;-0.16;1.09;0.03;0.01;g5603;-0.16;0.61;-0.09;0.08;g5603;-0.1;-0.44;0;-0.15
g5648;-0.16;0.06;0.03;-0.06;g5648;-0.05;-0.57;0;-0.11;g5648;-0.14;0.23;-0.56;-0.35;g5648;-0.26;-0.22;0.17;0.26;g5648;-0.22;0.44;0.44;0;g5648;-0.14;0.47;-0.17;-0.09
g5649;0.01;0.2;0.16;0.01;g5649;-0.04;0.43;0.21;0.16;g5649;0.02;-0.34;0.04;0;g5649;-0.14;-0.12;0.04;-0.18;g5649;-0.07;0;0.18;0.23;g5649;-0.22;-0.38;-0.11;0.11
g5668;0.25;-0.61;0.06;0.44;g5668;-0.16;-0.08;-0.26;0.4;g5668;-0.14;-0.54;-0.5;0.39;g5668;-0.46;0.72;-0.38;0.35;g5668;0.09;0;0.19;0.2;g5668;0.2;0;0.25;-0.22
g5672;0.14;0.22;0.24;-0.13;g5672;-0.02;-0.41;-0.42;0.23;g5672;0.06;-0.07;0;-0.65;g5672;-0.15;-0.17;0.48;0.24;g5672;-0.02;-0.69;0.58;0.03;g5672;-0.09;-0.55;-0.42;0.09
g5749;0.04;-0.01;-0.12;0.02;g5749;0.09;0.09;-0.01;0.29;g5749;-0.14;0.18;0.61;0.08;g5749;0.43;0.03;0.25;-0.22;g5749;-0.41;0.31;0.31;0.5;g5749;-0.31;0.1;0.14;0.21
g5753;0.11;0.16;0.16;0.07;g5753;0.02;-0.46;0.11;-0.17;g5753;-0.21;0.33;0.45;-0.19;g5753;0.14;-0.15;0.2;0.28;g5753;-0.06;0.2;-0.26;-0.07;g5753;-0.19;0.11;0.18;-0.4
g5793;-0.05;-0.07;-0.24;-0.05;g5793;0.13;0.68;0.29;0.51;g5793;0.08;0;0.13;0.39;g5793;0.05;-0.18;0.3;-0.42;g5793;-0.15;0.41;0.09;0.24;g5793;-0.23;0;0.01;0.08
g5798;0.21;0.24;-0.01;-0.39;g5798;0.06;0.14;0.26;-0.29;g5798;-0.32;0;0.19;-0.02;g5798;-0.34;-0.3;-0.23;0.08;g5798;0.03;-0.17;-0.2;-0.29;g5798;-0.1;-0.34;-0.05;-0.04
g5820;0;-0.47;0;-0.27;g5820;-0.06;0.38;-0.28;0.27;g5820;0.12;-0.86;0.39;-0.63;g5820;-0.06;0.5;-0.69;-0.42;g5820;-0.14;0;-1.86;-0.42;g5820;-0.38;-0.58;0.53;-0.01
g5864;-0.11;-0.04;0.55;0;g5864;0;0.07;0.25;0.14;g5864;-0.03;-0.11;-0.28;0.3;g5864;-0.11;0.8;-0.12;-0.08;g5864;0.07;0.09;-0.32;-0.27;g5864;-0.31;-0.04;-0.01;0.02
g5882;-0.33;0.39;0.19;0.03;g5882;-0.42;-0.36;-0.1;-0.07;g5882;-0.45;0.15;-0.19;-0.27;g5882;-0.69;-0.41;-0.45;0.13;g5882;-0.63;-0.62;-0.35;-0.21;g5882;-0.76;-0.5;-0.32;-0.08
g5960;0;0.11;0.14;0.07;g5960;-0.02;0;0.05;0.25;g5960;0.01;-0.14;-0.05;0.16;g5960;-0.02;0;-0.33;0.19;g5960;0.04;-0.1;-0.23;0;g5960;-0.14;0.41;-0.37;-0.22
g5979;-0.01;-0.02;-0.14;0.5;g5979;0.01;0.07;0.13;0.9;g5979;-0.27;-0.01;0.32;0.99;g5979;-0.18;-0.23;0.16;0.6;g5979;-0.42;0.08;-0.75;0.87;g5979;-0.61;0.04;0.11;0.45
g6050;0.01;-0.79;0.02;-0.37;g6050;-0.05;1.48;-0.6;0.09;g6050;-0.23;0.08;-0.21;-0.2;g6050;-0.48;0.36;-0.45;0.15;g6050;-0.02;0;-0.66;-0.63;g6050;-0.37;-0.79;-0.21;-0.11
g6093;-0.4;-1.02;-0.32;0.4;g6093;-0.35;-0.4;-0.63;-0.12;g6093;-0.33;0.52;0.78;0.1;g6093;0.7;0.71;0.91;0.04;g6093;0.61;0.96;-0.13;-0.18;g6093;-0.23;0.25;-0.1;-0.31
g6097;0.37;0.01;-0.23;0.02;g6097;0.42;-0.21;-0.01;0;g6097;0.31;0.05;-0.25;0.02;g6097;0.78;-0.54;-0.38;0.29;g6097;-0.18;-0.09;-0.09;0.26;g6097;0.04;0.14;0;0.7
g6100;0.07;0.06;-0.06;-0.11;g6100;0.19;0.03;-0.13;-0.04;g6100;-0.13;0.06;0.14;-0.13;g6100;-0.09;-0.42;-0.42;-0.31;g6100;-0.24;-0.11;-0.51;0.07;g6100;-0.18;0.03;-0.14;0.61
g6163;-0.01;0.15;0.43;-0.05;g6163;0.37;0;0.06;0.28;g6163;-0.08;-0.13;-0.01;0.22;g6163;0.04;0;-0.71;-0.08;g6163;-0.18;-0.21;-0.63;-0.24;g6163;-0.2;-0.09;0;-0.23
g6169;0.26;0.07;0.33;-0.24;g6169;-0.01;0.34;0.44;-0.24;g6169;-0.2;-0.07;-0.25;-0.16;g6169;-0.22;-0.03;-0.18;0.38;g6169;-0.03;-0.04;0.14;0.01;g6169;-0.17;0.2;-0.06;0.48




;c0;c0;c0;c0;c0;c0;;c1;c1;c1;c1;c1;c1;;c2;c2;c2;c2;c2;c2;;c3;c3;c3;c3;c3;c3;;
;t7;t8;t9;t10;t11;t13;;t7;t8;t9;t10;t11;t13;;t7;t8;t9;t10;t11;t13;;t7;t8;t9;t10;t11;t13;;
g55;0;0;0;0;0;0;g55;0;0;-0.39;0.15;0;-0.22;g55;0.25;0.15;0.4;0.03;0.05;-0.02;g55;0;0;0;0;0;0
g114;0.2;0.07;-0.05;-0.32;0.23;0.5;g114;0.57;0.17;0.16;-0.34;-0.11;-0.18;g114;0.38;0.13;-0.04;-0.28;-0.34;-0.06;g114;0.45;0.66;0.19;-0.15;0.27;-0.3
g201;0.12;-0.21;0.3;-0.37;-0.15;-0.1;g201;-0.3;0.65;-0.47;0.51;-0.31;-0.37;g201;-0.07;0.29;-0.45;0.28;0.25;0.24;g201;-0.27;0.21;0.49;-0.12;0.25;0.17
g273;-0.14;-0.19;-0.07;-0.05;-0.08;-0.04;g273;0;0;0;0;0;0;g273;0.44;0.41;0.11;-1.07;0.07;0.04;g273;-0.11;0.01;0.24;-0.45;0.11;0.01
g309;0.14;0.01;0.09;-0.06;0.05;-0.08;g309;-0.17;-0.29;-0.19;-0.39;1.05;0;g309;0.3;0.21;0.09;0.05;-0.13;0;g309;0.09;0;0.15;-0.24;0.05;-0.14
g331;-0.23;0.2;0.05;-0.16;-0.4;-0.21;g331;0;0;0;0;0;0;g331;0.32;0.06;0.02;0;-0.06;-0.36;g331;-0.72;-0.07;-0.4;0.17;-1.36;-0.2
g366;-0.34;0.25;0.15;0.19;-0.26;-0.31;g366;-0.14;0.13;0.05;0.34;1.18;-0.85;g366;0.53;0.22;0.38;-0.4;-0.23;-0.46;g366;-0.09;0.34;-0.21;0.01;-0.35;-0.19
g399;0;-0.08;-0.14;-0.12;0.04;-0.14;g399;-0.42;0.44;-0.5;0.03;-0.53;-0.12;g399;-0.02;0.04;0.34;-0.18;-0.08;-0.68;g399;-0.1;-0.15;-0.04;-0.12;0.26;0.18
g551;-0.02;-0.08;-0.03;-0.17;0.03;0;g551;0.42;-0.17;0.27;-0.39;-0.07;-0.05;g551;-0.59;-0.86;0.65;0.37;-0.39;0.18;g551;-0.45;-0.02;-0.13;-0.07;0.21;0.15
g552;0.23;-0.16;0.05;-0.24;0.09;-0.2;g552;0.54;-0.24;0.58;-0.56;0.07;0.32;g552;-0.06;-0.26;-0.42;0.17;-0.21;0.11;g552;-0.21;-0.16;-0.26;-0.07;-0.09;0.12
g553;0.11;-0.11;-0.01;-0.16;-0.13;-0.12;g553;0.55;-0.35;0.37;-0.66;-0.02;0.09;g553;-0.42;-0.25;-0.63;-0.63;-0.44;-0.14;g553;-0.42;-0.13;-0.29;-0.24;0.02;0.1
g554;-0.46;-0.67;0.06;0.26;0.56;-0.13;g554;-1.41;-0.17;1.14;0.71;1.16;0.38;g554;-1.03;-0.62;1.32;1.55;1.3;-0.3;g554;0.41;-0.02;-0.05;0.04;-0.34;0.07
g555;-0.12;-0.43;-0.09;0.04;0.31;-0.27;g555;-1.11;-0.05;0.98;0.86;0.96;0.02;g555;-0.22;-0.04;-0.44;0.53;0.27;-0.36;g555;-0.12;-0.12;-0.25;0.01;-0.35;0.07
g556;-0.94;-0.7;0.06;0.61;0.74;-0.28;g556;-1.33;-0.42;1.47;0.88;1.51;0.69;g556;-0.67;-0.51;0.38;1.35;1.12;-0.86;g556;0.3;0.16;0.04;-0.03;-0.15;0.13
g557;-0.07;-0.19;-0.02;0.2;-0.01;0.12;g557;-0.02;-0.01;0.08;0.03;0.56;0.48;g557;0.4;0.45;0.42;0.57;0.8;0.79;g557;0.13;0.21;0.08;-0.27;0.3;-0.14
g558;0.03;0.03;0.06;0.23;-0.09;0.11;g558;-0.26;0.4;-0.91;0.39;0;0;g558;0.32;-0.4;-0.55;-0.08;-0.02;-0.08;g558;-0.33;0.05;-0.14;-0.09;-0.87;0.17
g559;-0.22;-1.06;-0.11;0.42;0.23;-0.12;g559;-0.7;0.29;-0.41;0.16;-0.06;-0.67;g559;-0.47;-0.71;0.01;0.27;-0.16;-0.61;g559;0.01;-0.47;-0.04;0.19;-0.17;-0.02
g560;0.01;0.06;0.35;0.42;0.14;0.01;g560;-0.24;-0.34;0.04;-0.03;0.09;0.19;g560;-0.05;-0.3;0.73;0.07;-0.08;0.29;g560;0.24;0.13;0.05;0.12;0.1;0.32
g561;-0.03;-0.08;-0.23;0.38;0.02;-0.23;g561;0.15;-0.39;-0.25;-0.14;0.23;0.04;g561;0.22;-0.09;-0.18;-0.03;-0.3;0;g561;-0.18;-0.25;-0.15;-0.18;-0.38;-0.05
g562;-0.03;0.06;0.45;0.52;0.19;0.01;g562;-0.42;-0.02;-0.43;-0.45;-0.16;0.43;g562;-0.18;-0.6;-0.31;-0.05;-0.19;0;g562;0.19;0.03;0.04;0.15;0.26;0.46
g563;0.36;-0.01;0.02;-0.09;0.27;-0.02;g563;0.14;-0.19;0.11;-0.25;-0.11;-0.07;g563;0.03;-0.17;-0.06;0.07;-0.09;0.1;g563;-0.19;-0.36;-0.33;0.17;-0.31;-0.24
g564;-0.02;-0.16;0.22;0.14;-0.03;-0.16;g564;0.05;-0.05;-0.26;0.11;-0.16;-0.29;g564;0.32;0.19;-0.32;0.18;0.37;0;g564;0.24;0.06;0.01;0.14;0.21;0.3
g565;-0.01;0.19;-0.36;0.09;-0.03;-0.13;g565;-0.27;-0.59;0.02;-0.1;0;0.11;g565;-0.28;-0.38;0.22;0.15;0.32;-0.13;g565;0.23;-0.3;-0.39;-0.13;0.07;0.34
g566;0.19;-0.15;0.22;0.07;-0.16;-0.1;g566;-0.39;-0.07;-0.22;0.03;-0.12;0.06;g566;0.03;-0.11;0.07;-0.05;0.2;0.21;g566;-0.31;0.07;-0.05;0.29;0.1;0.08
g567;0.05;0.05;-0.34;0.09;-0.04;-0.19;g567;-0.33;-0.53;-0.22;-0.18;-0.22;0.09;g567;-0.22;-0.51;0.42;0.08;0.08;-0.24;g567;-0.04;-0.27;-0.45;-0.41;0.03;0.12
g568;0.16;0.37;0.25;0;-0.06;0;g568;0.05;-0.27;0.07;-0.24;0.11;0.18;g568;0.23;0.02;-0.34;-0.4;-0.08;0.03;g568;-0.11;-0.02;0.16;-0.1;-0.52;0.06
g569;-0.05;0.4;-0.23;0.56;0.31;0.1;g569;0.02;-0.1;0.26;0.12;-0.08;0.02;g569;0.43;0.17;0.25;-0.35;-0.33;0;g569;0.17;-0.12;0.17;-0.04;-0.53;-0.11
g570;0.01;0.26;0.16;-0.23;-0.28;-0.26;g570;-0.29;0.54;-0.01;-0.15;0.11;-0.11;g570;0.69;0.74;0.66;0.11;-0.11;-0.98;g570;0.07;0.25;0.06;-0.03;0.36;0.3
g571;-0.13;-0.06;-0.16;0.18;-0.16;-0.26;g571;-0.02;0.04;0.12;-0.25;0.42;0.07;g571;0.24;0.04;0.49;0.25;0.23;-0.54;g571;-0.11;0.26;0.02;-0.11;0.27;0.01
g572;-0.96;-0.68;-0.27;-0.12;0.07;-0.72;g572;-0.47;-0.37;0.39;-0.16;0.48;0.3;g572;-0.49;-0.19;0.73;1.05;0.78;0;g572;-0.1;0.29;-0.38;-0.39;0.64;0.6
g573;-0.26;0.02;-0.26;-0.17;0.01;0.05;g573;-0.01;-0.05;-0.12;-0.42;0.14;0.14;g573;-0.13;-0.2;0.07;0.26;-0.27;-0.43;g573;0.13;0.24;0.06;-0.24;0.14;0.22
g574;-0.91;-0.52;-0.15;-0.03;0.03;-0.44;g574;-0.3;-0.31;0.42;0.09;0.21;0.31;g574;-0.5;-0.1;-0.22;0.7;0.33;-0.29;g574;-0.08;0.59;-0.03;-0.44;0.82;0.88
g575;-0.01;0.13;-0.28;0.14;-0.01;-0.09;g575;-0.23;0.27;-0.37;-0.25;-0.18;-0.27;g575;-0.29;-0.6;0.87;0.24;0;0.21;g575;0.03;0.25;-0.03;-0.32;0.42;0.14
g576;-0.07;0.05;0.08;-0.13;-0.05;-0.21;g576;0.33;-0.06;0.32;-0.12;-0.02;-0.14;g576;0.07;-0.08;-0.04;0.01;-0.27;-0.09;g576;0;0.04;-0.03;-0.24;0.15;0.46
g577;0.16;0.13;0.01;0.11;-0.34;0.27;g577;-0.05;0.3;-0.18;-0.12;-0.08;-0.17;g577;0.05;-0.04;0.37;0.04;0.11;0.01;g577;-0.08;0.15;0;0.03;0.09;-0.23
g578;-0.03;0.06;-0.01;0.04;0.03;-0.1;g578;0.22;0.27;0.17;-0.01;-0.07;-0.15;g578;0.05;0.46;-1;0.63;0.73;0.2;g578;0.01;0.11;0.27;0.44;0.3;0.01
g579;0.15;-0.03;-0.09;-0.05;0;-0.12;g579;0.12;-0.15;0.28;-0.29;0.34;-0.19;g579;-0.07;0.08;0.11;0.17;0.35;-0.22;g579;-0.26;-0.07;-0.38;0.2;-0.13;0.01
g580;-0.04;-0.16;0.04;-0.14;0.19;0.02;g580;-0.37;0.27;-0.12;0.45;-0.43;-0.07;g580;0.02;-0.2;-0.12;-0.63;-0.12;0.16;g580;-0.31;-0.16;0.3;0.23;-0.4;-0.16
g581;-0.08;0.16;-0.16;0.02;-0.21;-0.28;g581;0;0.1;0.25;-0.08;0.33;-0.17;g581;0.33;0.42;-0.02;0.38;0.26;-0.14;g581;0.2;0.18;-0.08;0.26;0.54;0.16
g582;0.14;0.05;0.1;0.18;-0.17;-0.2;g582;0;-1.39;0.21;-0.42;0.21;0.23;g582;0.21;-0.04;-0.13;-0.1;-0.06;0;g582;0;0;-0.18;0.03;-0.02;0.11
g583;0.02;0.16;-0.18;0.42;0.21;-0.12;g583;0.05;0.17;-0.06;-0.17;0.6;-0.59;g583;0.25;0.17;0.22;0.13;0.09;0;g583;0.46;0.02;0.06;-0.21;0.09;0.09
g584;-0.13;0.01;0.28;0.4;0.06;0.01;g584;0.11;-0.48;0.39;-0.3;0.36;0.07;g584;0.39;0.4;-0.43;0.29;0.19;0;g584;0.17;0.03;-0.11;0.01;0.17;0.35
g585;0.39;0.24;0.01;0.28;0.22;0.07;g585;-0.03;0.14;0.13;-0.2;-0.25;-0.31;g585;0.17;-0.04;-0.28;-0.03;-0.3;0.19;g585;0.12;-0.27;-0.02;-0.04;-0.78;-0.46
g586;0.25;0.17;0.33;0.72;0.05;0;g586;0.19;-0.74;0.34;-0.41;0.23;-0.04;g586;0.26;0.14;-0.34;-0.06;-0.26;0.15;g586;0.22;-0.19;0.25;0.04;-0.56;-0.02
g1084;0.38;0.2;-0.28;-0.07;-0.25;-0.23;g1084;0.22;-0.47;0.3;-0.56;0;-0.03;g1084;0.11;0.05;-0.17;-0.25;-0.08;0.07;g1084;-0.02;-0.11;-0.11;0.26;-0.88;-0.11
g1256;-0.25;-0.2;0.11;-0.16;-0.24;-0.2;g1256;0.16;-0.24;-0.09;-0.5;-0.41;-0.21;g1256;-0.64;-0.37;-0.42;-0.18;-0.11;-0.29;g1256;-0.33;-0.2;-0.44;-0.28;0.45;0.34
g1347;0.16;0.11;0.02;-0.21;-0.3;-0.24;g1347;0.02;0.35;-0.06;-0.04;0.83;0.51;g1347;0.11;-0.01;-0.13;0.01;-0.14;0.37;g1347;-0.2;0.19;0.44;-0.07;0.41;0.25
g1449;0.37;0.05;-0.71;-0.21;-0.19;0.1;g1449;-0.78;-0.41;-0.78;-0.23;0.11;0.6;g1449;-0.15;-0.45;-1.15;-0.49;-0.1;1.14;g1449;1.04;0.88;0.86;0.72;0.46;-0.03
g1454;-0.36;-0.09;0.07;0.19;0.01;-0.05;g1454;-0.11;0.39;-0.44;0.44;0.45;0.16;g1454;-0.35;0.13;-0.02;0.07;0.16;0.43;g1454;0.29;0.23;0.29;-0.16;0.1;0.27
