;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;;
;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;
g368;6831.54;23526.2;34256.65;8472.99;48981.96;g368;44068.61;44802.58;40170.78;29013.87;32155.73;g368;42381.7;30461.2;6053.01;42610.07;34932.88;g368;31854.83;49345.07;25025.5;0;31029.88
g369;44633.19;39885.29;15241.54;19916.22;19916.22;g369;3170.42;39898.78;28491.93;37407.97;37407.97;g369;21595.49;49129.5;4412.45;11126.05;11126.05;g369;38011.6;13043.6;19085.42;13354.37;18228.62
g371;35903.62;3818.03;33528.56;7563.46;31435.47;g371;27894.28;22377.24;28384.41;41795.19;7836.17;g371;47041.28;41187.59;34822.13;7563.46;31435.47;g371;38119.71;50000;31303.37;30414.08;8298.36
g372;4009.67;9074.41;41990.15;3258.16;35663.04;g372;5973.38;5973.38;47486.7;18135.84;5973.38;g372;49181.7;2581.6;44562.34;3562.5;10711.47;g372;1305.51;20048.59;15501.17;39337.81;17826.29
g379;22620.04;36420.27;21991.9;6568.67;32747.6;g379;49688.28;50000;17841.55;30392.53;38289.68;g379;40801.68;10038.58;40801.68;40801.68;24576.63;g379;17162.51;0;15150.79;35306.36;19160.97
g381;0;43843.62;42182.01;36049.7;19251.36;g381;41284.65;43843.62;2734.06;44257.25;5872.41;g381;8091.1;8091.1;23835.44;7012.38;8091.1;g381;38279.97;38279.97;43729.53;30860.75;38948.18
g382;12639.45;41026.5;49246.93;50000;6532.89;g382;44081.26;17140.79;28384.41;41795.19;40146.75;g382;43053.98;41026.5;49246.93;17213.48;6532.89;g382;43016.5;41026.5;49246.93;29237.18;6532.89
g383;36075.31;23329.36;19077.93;22684.96;36466;g383;41278.61;41278.61;29361.58;12503.28;41278.61;g383;5192.89;48194.12;39584.3;17227.41;8043.49;g383;25552.13;42384.8;5353.41;4505.06;47812.32
g392;29805.7;16959.53;14054.75;28892.88;43167.77;g392;22816.61;28059.56;28688.67;7517.15;33736.29;g392;11245.35;2160.5;14054.75;28892.88;9214.93;g392;25291.92;25072.86;27697.29;43450.65;6482.34
g393;11001.38;13828.37;34182.6;21916.26;9181.4;g393;8100.62;40620.38;15091.25;7520.69;36716.33;g393;37802.56;4674.01;40038.94;21754.79;28894.75;g393;35721.84;42232.63;48846.38;34889.58;43304.42
g405;5668.8;19407.17;19407.17;19407.17;38452.21;g405;41477.75;43800.51;46385.28;46385.28;32966.08;g405;17213.05;19407.17;19407.17;19407.17;45345.64;g405;42266.78;28393.46;7212.25;34338.43;48274.09
g408;14337.2;36428.01;49063.54;3726.51;26582.03;g408;0;32624.88;7426.26;46521.38;23079.92;g408;30982.26;30982.26;30982.26;43396.92;39746.63;g408;27455.11;27455.11;27455.11;43396.92;50000
g411;40240.65;7493.14;34469.03;34121.72;11292.87;g411;4728.17;19749.41;6539.88;30159.92;7810.85;g411;18373.51;19749.41;6539.88;37516.79;7810.85;g411;44395.63;19749.41;6539.88;47056.01;7810.85
g412;7323.48;40336.94;9272.95;50000;20267.25;g412;28937.28;41716.57;35196.8;21593.64;25353;g412;30982.26;30982.26;30982.26;30074.11;14058.78;g412;25802.44;27455.11;27455.11;41815.9;3025.27
g438;28347.15;46188.87;6749.23;17966.74;48104.09;g438;28180.98;32238.01;38717.26;35819.04;17446.18;g438;13857.45;35035.76;16238.65;49272.17;23039.74;g438;17560.72;24052.49;44867.85;1371.95;42048.99
g440;43779.31;49718.28;10740.38;30801.95;10740.38;g440;50000;11697.23;8006.13;41201.07;29857.91;g440;13174.1;1485.15;48794.85;38873.71;25074.5;g440;29225.79;22559.74;33034.17;41414.66;25216.18
g441;39089.36;19204.67;30195.05;25371.68;15144.55;g441;34119.02;1463.76;12205.86;49154.32;17864.45;g441;41877.17;20596.35;40738.62;3121.91;5247.89;g441;21923.56;18326.72;8616.05;23482.4;3883.12
g443;21248.28;30590.13;45194.6;698.44;20628.95;g443;11483.92;12847.45;28832.57;27557.31;47926.83;g443;43930.05;46447.69;27310.44;30145.75;14321.91;g443;26476.5;4956.04;44987.11;15436.8;3767.34
g444;6955.69;8002.16;0;16358.93;27878.87;g444;20031.36;22004.55;6920.83;17485.56;16837.76;g444;12539.8;49989.54;14258.76;10504.99;49989.54;g444;50000;33974.97;41145.62;19808.62;33974.97
g447;8654.33;0;27914.62;13115.21;3710.13;g447;17205.67;17205.67;39852.13;1441.85;17754.83;g447;45123.07;42809.25;32742.44;377.63;33908.73;g447;3149.29;17656.03;31120.63;24690.91;38915.58
g448;22081.67;3074.37;40895.92;46288.24;17482.78;g448;22081.67;752.08;36041.95;46432.28;34701.1;g448;18984.29;3074.37;3528.82;46371.62;45199.84;g448;18083.96;22987.9;15970.34;33571.81;40792.04
g453;34560.76;27458.79;0;1650.6;8152.69;g453;25682;10972.55;11321.37;48743.82;25682;g453;24606.58;35536.67;8233.1;35927.73;10883.16;g453;25682;19057.58;7509.28;45176.06;25682
g454;39885.06;28989.4;28989.4;28989.4;25914.81;g454;18399.24;22178.65;35149.67;32639.28;42251.88;g454;22743.29;28989.4;28989.4;28989.4;26064.86;g454;21201.8;24495.69;26223.57;8464.71;13176.21
g455;37036.19;19862.93;0;18808.41;21641.23;g455;45721.47;36623.4;36623.4;14293.26;31764.56;g455;47433.03;8182.86;8182.86;25162.04;487.5;g455;27427.59;21641.23;42756.86;33618.75;21641.23
g464;36878.87;26946.39;26471.46;7116.62;22232.44;g464;18914.2;17017.49;16458.17;17017.49;17017.49;g464;10758.23;17017.49;15985.26;17017.49;17017.49;g464;33089.99;43572.98;15386.34;12866.05;36555.01
g469;36299.23;7669.52;42070.22;27100.56;3209.52;g469;33666.49;35102.31;33666.49;33666.49;33666.49;g469;473.46;29071.36;10526.53;27100.56;46762.54;g469;34776.04;0;48620.44;33666.49;33666.49
g471;10992.04;4194.26;30658.66;46013.68;46654.23;g471;13843.03;35720.08;21584.76;21584.76;45556.24;g471;29268.7;5808.71;30658.66;4062.01;46654.23;g471;28044.5;4194.26;30658.66;10290.42;46654.23
g474;39422.05;11748.83;31567.34;34612.28;1317.96;g474;48848.16;1017.62;686.39;29558.38;33370.56;g474;6028.7;7146.65;7393.55;11411.98;6028.7;g474;32315;32315;19579.01;48679.38;32315
g475;10130.62;10130.62;10130.62;40991.04;10130.62;g475;7551.27;8090.77;2424.04;15630.81;3635.99;g475;7551.27;44858.25;8565;3324.29;43094.39;g475;7551.27;7551.27;43026.07;13519.51;31544.75
g476;42822.89;11182.43;17381.31;27689.85;27689.85;g476;36472.46;36472.46;36472.46;27689.85;27689.85;g476;36472.46;36472.46;25710.08;45922.23;39056.97;g476;36472.46;36472.46;36472.46;43898.48;11392.85
g480;13153.58;18689.37;38160.68;21934.77;2069.41;g480;21236.09;2025.6;4919.82;40200.2;47227.64;g480;50000;31757.75;34389.32;5069.61;45318.72;g480;42858.87;24937.11;47458.3;40200.2;47227.64
g481;20552.8;21777.1;2886.32;38954.46;36314.8;g481;15351.9;8245.7;43071.74;20826.81;10388.11;g481;33791.73;0;50000;46172.82;10388.11;g481;37300.45;29800.44;2061.06;29981.09;10388.11
g488;30676.48;8482.53;6820.74;27689.85;27689.85;g488;43142.67;43142.67;43142.67;27689.85;27689.85;g488;43142.67;43142.67;43142.67;40945.88;13934.74;g488;43142.67;43142.67;43142.67;40119.76;2820.41
g496;44828.21;11339.28;11339.28;11339.28;50000;g496;26895.89;45348.2;50000;32819.07;26895.89;g496;26895.89;11339.28;11339.28;11339.28;26895.89;g496;40966.01;50000;37349.06;35900.45;9989.86
g499;46592.42;17823.38;27899.28;25646.01;37931.86;g499;1569.74;32884.25;25795.87;33794.53;14904.12;g499;12716.95;20685.33;10799.94;39079.6;47743.65;g499;12716.95;14541.93;10799.94;39079.6;28892.61




;c1;c1;c1;c1;;c2;c2;c2;c2;;c3;c3;c3;c3;;c4;c4;c4;c4;;c8;c8;c8;c8;;
;t0;t1;t2;t3;;t0;t1;t2;t3;;t0;t1;t2;t3;;t0;t1;t2;t3;;t0;t1;t2;t3;;
g6;10901.01;25375.43;46892.6;48700.44;g6;39570.19;25375.43;7207.09;48700.44;g6;10740.38;25375.43;23217.45;48700.44;g6;18418.38;25492.23;0;48700.44;g6;10740.38;21040.77;48944.54;28235.17
g7;2530.82;298;298;298;g7;12535.15;298;46437.22;298;g7;22605.69;7443.15;41217.95;14290.86;g7;905.24;27975.06;37947.98;38741.74;g7;29479.58;4450.89;50000;33701.71
g8;28003.97;12270.09;568.03;38979.6;g8;25414.95;31805.22;31805.22;49173.03;g8;4455.64;31805.22;31805.22;42136.17;g8;50000;40833.78;38410.69;23352.64;g8;44704.62;45779.41;4231.92;48955.48
g14;41848.94;21286.51;50000;4312.91;g14;2019.18;33885.82;3069.2;0;g14;34824.91;29574.71;41113.86;15848.9;g14;50000;29574.71;41113.86;15848.9;g14;4990.56;2904.16;43310.09;16326.68
g17;10054.57;13352.78;40514.37;28982.51;g17;14300.6;36623.4;8182.86;14296.57;g17;2905.62;36623.4;8182.86;27153.71;g17;31823.34;40200.2;50000;40200.2;g17;5764.43;47227.64;33172.05;47227.64
g20;45609.04;11351.26;27680.98;44326.37;g20;6043.57;33258.19;38282.16;46616.26;g20;28964.06;25393.97;4127.09;39635.1;g20;27689.85;27689.85;43722.33;33805.83;g20;27689.85;27689.85;44456.34;9766.86
g23;48566.51;34863.75;915.61;31089.6;g23;29185.48;10817.18;915.61;1324.1;g23;14247.41;30819.88;33939.25;29964.64;g23;0;27975.06;915.61;38741.74;g23;29479.58;4450.89;42830.36;33701.71
g24;2921.29;44373.2;8195.65;19938.79;g24;48004.14;41366.74;47285.27;381.17;g24;46975.58;41395.87;31443.36;8127.7;g24;39973.28;15688.88;18472.14;47246.65;g24;40484.61;49189.49;37383.88;16944.52
g25;22081.67;22081.67;22081.67;24738.35;g25;3074.37;3074.37;3074.37;36937.11;g25;18239.58;12979.38;4831.25;19196.51;g25;46432.28;46432.28;46432.28;5375.74;g25;42234.56;50000;16813.7;18396.65
g32;3379.53;29186.48;50000;38656.01;g32;16299.4;27853.57;23685.11;35331.28;g32;6415.91;27512.75;45076.99;12866.51;g32;41529.99;12022.17;1313.91;49548.55;g32;49819.68;20965.26;20965.26;20965.26
g33;43911.12;19219.37;3575.26;4846.34;g33;8774.16;36623.4;8182.86;1942.56;g33;29724.53;36623.4;8182.86;40086.41;g33;2157.23;19391.07;18125.17;4654.41;g33;13873.68;26445.15;48503.76;16450.91
g39;17876.4;35968.32;4421.69;0;g39;6338.35;50000;6338.35;18609.39;g39;6338.35;8905.47;6338.35;19198.48;g39;6338.35;34262.3;6338.35;37627.68;g39;39707.35;29924.01;32265.47;16732.96
g46;49500.06;577.59;577.59;577.59;g46;48949.13;577.59;577.59;577.59;g46;11642.47;577.59;577.59;5899.18;g46;10241.81;21982.72;0;45974.67;g46;10740.38;38545.73;31110.35;12314.55
g48;16520.6;26800.87;17797.52;22176.35;g48;35137.32;10287.13;14809.62;35137.32;g48;50000;15848.5;29848.55;6487.48;g48;10162.67;31148.66;33190.26;10162.67;g48;16236.72;9029.17;3937.38;32526.38
g49;26633.58;25771.37;13253.81;13253.81;g49;24437.69;37791.01;11097.37;48678;g49;18208.99;29453.44;3303.72;3303.72;g49;13468.83;40311.95;33401.87;33401.87;g49;45983.08;23332.6;38105.75;41822.45
g52;31279.84;25375.43;14633.42;48700.44;g52;19967.13;25375.43;39423.84;48700.44;g52;694.33;25375.43;694.33;48700.44;g52;25417.47;25375.43;6103.6;48700.44;g52;39497.09;30923.75;39497.09;8680.22
g56;33273.76;25375.43;38073.23;48700.44;g56;38686.68;25375.43;30893.29;47887.16;g56;32560.09;25375.43;22278.41;48700.44;g56;18257.74;40543.03;40436.63;48700.44;g56;44206.49;322.59;13185.12;30516.46
g57;5165.06;27905.3;26168.74;26020.93;g57;30590.13;12847.45;26168.74;6477.85;g57;45194.6;28832.57;47375.57;45522.72;g57;3727.25;13253.7;26168.74;705.35;g57;29778.64;18241.79;26168.74;12775.21
g60;26580.23;41383.71;30267.43;6014.22;g60;19183.38;31805.22;31805.22;27435.45;g60;14355.87;31805.22;31805.22;19775.43;g60;28441.62;40273.76;10367.38;43192.45;g60;31646.49;23800.27;7517.43;4159.2
g61;7181.44;29150.84;44540.98;12247.75;g61;35923.65;34479.07;38282.16;46616.26;g61;1997.37;26330.11;4127.09;39635.1;g61;43886.74;46859.49;15366.69;4305.34;g61;33003.8;48639.2;44456.34;9766.86
g62;2921.29;44373.2;13857.45;18173.73;g62;48004.14;41366.74;44323.56;3661.02;g62;31244.66;13510.25;13871.23;44867.85;g62;5683.96;33085.63;49272.17;1371.95;g62;40484.61;49189.49;19545.3;18879.5
g64;44791.24;42983.75;26168.74;18981.38;g64;26001.79;32540.62;26168.74;42784.22;g64;27271.81;27877.14;41755.78;20327.52;g64;29042.86;34532.01;26168.74;22505.76;g64;26333.14;541.54;26168.74;44488.6
g66;22495.52;31519.51;31324.85;8190.73;g66;16798.63;17168.66;38282.16;46616.26;g66;6816.4;30267.64;4127.09;39635.1;g66;8128.34;45288.41;50000;14363.39;g66;11794.97;23381.92;44456.34;7597.02
g68;49599.5;22291.26;31128.44;44698.92;g68;22965.48;41349.37;6747.93;33636.76;g68;824.12;24217.27;14995.82;12690.73;g68;7230.62;31482.33;16009.64;7230.62;g68;7230.62;14199.28;47543.71;7230.62
g70;48758.65;33666.49;47787.73;33666.49;g70;41713.39;12185.56;29844.66;0;g70;20872.03;33666.49;8762.36;33666.49;g70;8371.1;33666.49;4940.3;33666.49;g70;29222.47;33666.49;22048.7;33666.49
g75;28342.34;41166.98;38867.08;20885.1;g75;44841.93;38332.71;44841.93;44841.93;g75;38212.51;49490.17;38212.51;38212.51;g75;9060.71;42650.16;18510.2;33657.35;g75;26175.78;41642.84;26175.78;26175.78
g76;43630.56;41942.61;10716.41;15866.29;g76;37433.24;17854.92;427.09;22237.26;g76;42554.76;11139.84;25787.46;7778.72;g76;26089.66;27689.85;2532.34;37518.79;g76;26510.58;27689.85;22952.67;19037.22
g83;35970.22;38855.82;10462.46;27832.47;g83;43954.76;20805.58;20805.58;20805.58;g83;9069.75;4677.71;4677.71;4677.71;g83;38807.09;13063.76;9967.36;0;g83;25269.46;13211.48;13211.48;13211.48
g84;19024.99;25357.92;48698.24;14802.47;g84;32088.73;37477.48;19703.26;14007.31;g84;6780.58;43052.87;19876.93;39411.68;g84;905.24;27975.06;50000;38741.74;g84;29479.58;4450.89;24260.14;33701.71
g90;46479.74;35574.52;5831.33;32520.67;g90;36007.2;17818.9;10251.26;40216.59;g90;6205.38;47476.45;39317.61;43321.74;g90;16006.77;47476.45;41466.03;49264.29;g90;28456.42;38156.98;49176.36;36813.2
g91;23174.54;12516.91;42572.64;3350.28;g91;49142.12;0;17936.39;32623.44;g91;28686.64;27369.04;9261.53;20873.69;g91;38683.56;32302.76;30399.63;29302.83;g91;49790.59;266.84;266.84;266.84
g93;43543.49;28203.29;7537.86;47522.2;g93;29099.5;1134.64;25002.31;29099.5;g93;33694.73;40122.87;34204.83;0;g93;29216.96;1478.58;18459.17;19546.8;g93;29099.5;33183.04;6032.57;29099.5
g94;45844.57;5495.49;26168.74;26503.16;g94;12348.6;0;26168.74;39742.03;g94;21120.01;33613.51;46032.02;33132.77;g94;20784.84;39682.59;25101.28;45123.27;g94;11737.89;7626.29;26168.74;5678.12
g96;12825.88;48223.07;15618.64;7348.13;g96;27335.08;44653.69;44653.69;44653.69;g96;35704.14;39082.64;28864.92;39082.64;g96;40550.12;1057.53;18436.82;29434.54;g96;42856.51;29539.69;29539.69;29539.69
g100;46719.78;30181.42;34151.42;43047.89;g100;18238.27;3154.39;3154.39;3154.39;g100;35833.18;21785.96;21785.96;21785.96;g100;48117.16;48844.96;857.51;36614.29;g100;37739.76;28126.23;28126.23;28126.23
g106;27145.73;5014.87;45945.36;49827.65;g106;49351.47;31140.74;2759.77;13681.89;g106;34597.24;47641.96;42483.3;479.86;g106;6747.33;6747.33;42518.46;25244.02;g106;5005.96;28481.31;25089.58;35914.14
g107;1686.99;5520.26;28183.34;29289.33;g107;27004.03;17017.49;17017.49;50000;g107;45182.44;31068.42;36099.17;3915.49;g107;21956.74;31737.65;17017.49;0;g107;2924.12;19228.67;17017.49;3988.86
g110;46086.2;18463.51;26168.74;41808.26;g110;23304.33;17519.23;26168.74;11958.02;g110;42018.46;41494.59;44348.03;44618.15;g110;27467.27;20394.38;26168.74;48048.14;g110;46576.47;16681.77;26168.74;27246.22
g117;48288.18;529.92;36295.9;40539.45;g117;22899.46;13007.95;1687.9;13043.6;g117;36037.77;14827.29;30342.19;14924.6;g117;37551.13;39716.75;11520.29;21244.66;g117;37551.13;39716.75;9106.2;18228.62
g122;49605.6;10669.61;2563.35;29042.6;g122;45384.97;0;31444.26;17982.25;g122;17758.53;25889.2;7077.63;25494.3;g122;7230.62;3818.16;11086.11;7230.62;g122;7230.62;29590.61;26035.66;7230.62
g127;28126.5;36024.4;33960.62;46845.16;g127;4930.53;21858.03;41125.34;17079.88;g127;45334.79;31667.85;2380.45;40060.62;g127;33355.45;41806.99;9802.43;3279.01;g127;25251.91;40235.28;37339.08;39681.94
g131;41935.9;48928.39;48023.04;34150.21;g131;44660.25;4338.52;48023.04;34150.21;g131;3713.87;28384.41;14637.37;20948.58;g131;17320.17;41795.19;23359.98;38055.17;g131;29055.99;40146.75;48023.04;34150.21
g132;26734.7;14082.3;0;8570.29;g132;8588.47;22010.78;22103.64;5899.96;g132;21444.69;8146.54;28606.01;5101.84;g132;880.54;5729.94;37395.9;5906.66;g132;26864.55;39306.89;42964.53;32361.24
g136;24609.38;41107.06;2009.37;22861.77;g136;22296.36;41107.06;294.46;22861.77;g136;597.37;2655.34;5276.49;39626.07;g136;22861.77;26039.23;7583.11;22861.77;g136;22861.77;40685.31;294.46;22861.77
g139;39281.1;33666.49;48822.2;33666.49;g139;21171.09;29367.81;40454.5;9415.38;g139;30029.57;7756.97;10617.98;33666.49;g139;33192.68;33666.49;43244.66;33666.49;g139;26237.7;32192.68;10626.52;33666.49
g141;32570.56;43610.11;32241.15;49842.97;g141;41988.67;42799.96;45650.01;50000;g141;21224.24;6583.71;33431.04;7238.18;g141;41082.77;37549.67;22804.49;22804.49;g141;9739.45;2065.58;7459.7;1903.79
g142;23383.01;11669.24;30647.51;49041.88;g142;35933.51;49900.21;30647.51;16831.48;g142;23383.01;11669.24;25195.66;49041.88;g142;23383.01;11669.24;30647.51;49041.88;g142;12607.12;34359.58;29954.66;0
g144;10130.62;10990.27;40748.23;20404.6;g144;49802.8;7327.15;7327.15;7327.15;g144;10130.62;31079.07;31079.07;31079.07;g144;41148.14;43917.67;10196.71;38660.82;g144;10130.62;47830.16;47830.16;47830.16
g147;6037.39;24545.49;37153.47;34663.03;g147;27409.55;0;7596.68;19020.14;g147;694.33;25393.43;694.33;22573.42;g147;35375.29;46638.81;8473.49;10682.21;g147;39497.09;36628.52;39497.09;44878.39
g148;22449.36;28921;26168.74;11252.91;g148;47643.68;30728.25;26168.74;38566.27;g148;25726.02;17880.39;26668.88;45261.2;g148;13125.3;34393.18;26168.74;10800.45;g148;29243.76;29290.85;25090.02;4841.85
g150;48194.64;20940.3;3811.48;47270.36;g150;25033.6;36623.4;8182.86;33684.16;g150;46381.28;36623.4;8182.86;26515.33;g150;42781.35;40200.2;4242.15;40200.2;g150;25340.46;47725.31;33899.21;47227.64
g155;8087.65;12921.02;10649.27;30788.89;g155;8087.65;7803.38;13002.51;30788.89;g155;5294.37;49934.58;34211.1;41810.4;g155;1059.96;40631.75;28787.19;50000;g155;13272.84;30040.7;10649.27;30788.89
g160;2921.29;44373.2;32674.11;44020.19;g160;48004.14;41366.74;38282.16;46616.26;g160;46085.61;21671.95;4127.09;39635.1;g160;46871.9;32617.18;7242.34;26057.34;g160;40484.61;49189.49;44456.34;9766.86
g162;13866.2;46384.86;17881.44;14549.89;g162;18727.68;21268.82;0;25621.03;g162;14054.75;10527.64;14054.75;34228.86;g162;28892.88;22302.71;28892.88;43259.69;g162;25606.79;27374.38;15288.59;29727.91
g163;9568.88;34388.88;47446.86;30078.58;g163;28558.57;17017.49;17017.49;35943.51;g163;13856.26;37374.83;78.97;24300.2;g163;903.97;17017.49;17017.49;8362.39;g163;2311.09;17017.49;17017.49;45252.51
g164;27230.39;1214.5;19874;45113.94;g164;23566.63;31805.22;31805.22;15558.62;g164;48243.53;31805.22;31805.22;21644.36;g164;46782.12;39178.08;50000;17619.51;g164;50000;18930.84;43078.26;40554.97
g165;9211.91;21988.57;43772.23;38124.41;g165;24590.08;36623.4;8182.86;19752.05;g165;39324.3;36623.4;7167.94;49798.69;g165;21677.99;7573.98;24419.23;20130.54;g165;5260.21;19633.85;50000;30776.01
g166;7295.21;15290.76;49052.86;42522.14;g166;37912.5;41357.43;5992.59;41357.43;g166;26616.05;41357.43;601.22;41357.43;g166;17494.97;46688.14;10964.14;23299.06;g166;0;25998.33;31533.59;17963.62
g170;14758.58;4752.86;39668.6;0;g170;35594.54;15320.7;39694.13;35594.54;g170;28441.31;35822.08;46524.19;27483.55;g170;35594.54;46699.7;44496.82;35594.54;g170;41626.5;0;15939.39;21247.43
g181;8500.98;5985.87;22506.8;50000;g181;37674.82;3765.99;24115.71;6590.53;g181;9822.35;31215.98;45772.09;47073.39;g181;4286.28;49613.7;33267.12;23604.35;g181;12970.65;3182.19;20423.15;42140.38
g182;41268.71;30938.14;7771.07;46272.25;g182;35137.32;26500.92;40515.71;35137.32;g182;5261.28;16800.75;38123.95;27687.99;g182;10162.67;24382.47;27041.87;10162.67;g182;6467.48;44927.85;27533.57;298.94
g183;3863.48;31394.2;2620.08;9324.53;g183;5405.21;22608.11;19035.74;11370.75;g183;2644.88;30719.26;30719.26;21015.69;g183;28129.1;30110.9;1836.79;29471.99;g183;7100.11;32489.04;32489.04;11296.09
g185;2898.24;13789.93;49971.04;49971.04;g185;21714;5845.19;45901.33;17805.22;g185;31638.79;42140.55;12067.81;12067.81;g185;1911.74;12714.02;39043.95;39043.95;g185;42764.91;7858.83;35160.99;19180.84
g186;26971.44;23895.53;30982.26;27713.5;g186;20303.48;15355.29;30982.26;27455.11;g186;5848.81;27010.84;30982.26;27455.11;g186;46090.01;13026.44;30930.63;42948.96;g186;2239.4;10019.88;28692.31;30512.03
g189;33943.19;31394.2;31394.2;50000;g189;31363.08;30011.42;48993.91;17475.94;g189;29349.69;30719.26;30719.26;42955.27;g189;9184.28;11766.16;14034.24;22566.11;g189;3680.85;32489.04;32489.04;17584.19
g192;43040.73;37907.93;46352.77;22603.91;g192;15442.15;23844.41;16835.36;43719.17;g192;1914.03;7264.83;15867.4;5543.78;g192;905.24;27975.06;7971.55;38741.74;g192;29479.58;4450.89;30049.43;33701.71
g193;25175.98;14082.3;638.07;40317.2;g193;8588.47;22010.78;26884.17;17729.66;g193;830.48;30192.14;2663.32;14607.17;g193;16283.98;20266.92;27073.87;1742.73;g193;18054.51;19179.37;8635.74;31218.83
g194;6291.02;32903.25;9513.91;41331.39;g194;18695.71;28522;26909.27;1519.58;g194;27761.05;36207.56;2382.21;7317.33;g194;49908.06;32692.8;25761.15;12475.68;g194;27761.05;36207.56;2382.21;26894.67
g198;7877.65;37741.44;39739.23;19861.09;g198;50000;8188.32;20176.28;34282.53;g198;13524.94;15613.45;16315.83;1650.51;g198;36318.76;0;37791.73;49546.54;g198;34963.01;36274.34;18732.04;46336.02
g205;21007.62;16040.8;16040.8;16040.8;g205;36064.32;16040.8;16040.8;16040.8;g205;37741.13;16040.8;16040.8;16040.8;g205;30734.16;4852.18;23495.79;20333.07;g205;34800.46;8171.38;21929.02;48984.23
g206;34972.01;27743.19;1013.24;27743.19;g206;39000.92;27743.19;14178.7;27743.19;g206;7822.61;23351.25;34572.57;15614.74;g206;21611.28;27743.19;49285.07;27743.19;g206;7123.64;27743.19;17339.3;27743.19
g211;24157.96;37437.66;36010.3;27455.11;g211;48314.02;22347.17;30982.26;27455.11;g211;11589.5;25705.43;30982.26;27455.11;g211;19791.26;23630.52;3417.53;49094.62;g211;22385.67;13948.45;47255.27;0
g212;23128;5895.33;7980.15;40414.2;g212;17990.52;45247.04;7980.15;38148.87;g212;46208.95;16700.95;33781.01;40163.57;g212;36188.31;48832.29;7980.15;22944.6;g212;7520.17;36414.8;43633.67;48129.41
g215;23091.79;13786.84;21797.87;7805.36;g215;23055.62;14433.28;0;38258.42;g215;49645.84;27405.14;1136.49;10934.51;g215;18295.39;41041.74;40902.44;6369.99;g215;28465.59;14433.28;25730.43;3771.1
g216;21635.41;5160.44;23111.95;21149.99;g216;45891.45;31805.22;31805.22;18034.82;g216;8142.35;31805.22;31805.22;18888.86;g216;50000;32178.61;42028.54;45391.9;g216;44170.82;49175.28;43138.72;36326.37
g223;13921.85;25375.43;22839.43;48700.44;g223;43483.3;25375.43;14938.28;48700.44;g223;42593.53;25375.43;27490.46;48700.44;g223;898.12;25375.43;39929.26;48700.44;g223;41657.18;21069.59;3375.01;9455.68
g225;49207.21;12890.36;44671.94;42527.5;g225;630.54;46758.06;0;37779.27;g225;19296.4;49528.83;43184.5;6498.93;g225;19367.5;36683.53;19535.69;49411.66;g225;49860.85;29890.73;42532.04;40184.63
g226;32373.65;0;39389.73;41839.74;g226;32373.65;21050.84;16537.13;8144.14;g226;8660.83;67.57;10686.07;38017.31;g226;20133.69;67.57;10686.07;38017.31;g226;46933.26;27370.13;28815.39;37690.42
g227;25293.37;14082.3;25959.72;4283.13;g227;8588.47;22010.78;2141.3;17407.38;g227;29079.1;39390.96;14200.2;4309.53;g227;42550.71;31048.04;6791.57;23366.94;g227;42328.19;36087.3;31165.05;43365.5
g229;34867.32;1339.39;36463.45;36757.16;g229;35137.32;48443.06;10963.48;35137.32;g229;1586.74;50000;10396.81;29403.52;g229;10162.67;34864.33;37701.73;10162.67;g229;31405.21;842.59;34126.7;26445.64
g231;23416.18;25682;27089.28;25682;g231;49735.6;46765.81;37412.86;37656.21;g231;29010.75;22029.93;5849.91;34357.1;g231;19881.56;46605.73;11573.95;12513.77;g231;9900.67;25682;38277.37;25682
g232;5052.22;30279.1;32554.34;22897.52;g232;50000;14868.74;5668.18;24868.14;g232;5052.22;30279.1;42723.31;22897.52;g232;5052.22;31815.74;8148.66;22897.52;g232;22207.9;42011.51;22332.35;33653.47
g236;3883.29;31394.2;31394.2;45084.22;g236;35594.54;15491.84;33132.77;30791.5;g236;5172.4;30719.26;30719.26;20416.74;g236;35594.54;35943.49;18090.2;35594.54;g236;49465.06;32489.04;32489.04;37139.47
g237;29896.41;16680.66;0;30851.4;g237;35957.78;31805.22;31805.22;23514.01;g237;27273.22;31805.22;32648.16;39419.22;g237;46489.81;23694.86;38545.97;34954.73;g237;29174.11;21013.25;7193.59;25151.12
g238;10779.98;28249.34;13857.45;17560.72;g238;2048.05;24588.96;12970.92;50000;g238;25309.15;45247.95;16238.65;44867.85;g238;28053.39;27038.29;49272.17;1371.95;g238;46709.39;39237.17;10856.43;22684.83
g239;37092.02;15858.19;8932.64;176.7;g239;36513.51;9252.44;29728.74;40562.9;g239;10740.38;42779.67;49243.3;11739.04;g239;18981.57;46874.33;28311.99;15348.24;g239;10740.38;30028.4;7680.07;24103.4
g242;7143.49;36886.22;31394.2;22211.53;g242;35594.54;39301.39;2918.15;35594.54;g242;1010.47;30719.26;30719.26;11470.58;g242;35594.54;49274.55;44303.34;35594.54;g242;38767.38;32489.04;32489.04;29475.42
