;t0;t0;t0;t0;;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;
;c2;c7;c8;c9;;c2;c7;c8;c9;;c2;c7;c8;c9;;c2;c7;c8;c9;;
g464;26946.39;15405.72;22232.44;26131.62;g464;17017.49;46961.64;17017.49;29371.2;g464;17017.49;23689.38;17017.49;40046.83;g464;43572.98;6448.25;36555.01;19826.05
g465;40672.61;49090.08;25087.93;19900.05;g465;25375.43;22568.72;19992.73;40270.27;g465;27079.63;49090.08;25087.93;16932.53;g465;48700.44;33908.21;4146.84;37044.5
g466;1795.21;9955.01;1795.21;33097.84;g466;19590.16;28022.97;23170.48;0;g466;15856.79;36505.1;48470.54;33040.76;g466;1795.21;5361.99;1795.21;19304.55
g467;21289.98;3008.43;5560.5;28411.5;g467;3084.44;6845.31;36512.23;36512.23;g467;1706.96;48855.41;36512.23;36512.23;g467;34049.61;8127.21;11527.39;38236.72




;c2;c2;c2;c2;;c7;c7;c7;c7;;c8;c8;c8;c8;;c9;c9;c9;c9;;
;t0;t1;t2;t3;;t0;t1;t2;t3;;t0;t1;t2;t3;;t0;t1;t2;t3;;
g0;41616.88;32195.98;41616.88;6006.62;g0;41616.88;32195.98;41616.88;32195.98;g0;28196.74;462.74;15523.62;9722.93;g0;38456.72;37654.38;29894.16;2010.3
g3;15358.1;47279.66;38317.85;48700.44;g3;9475.77;25521.33;15029.33;38656.72;g3;36059.72;24616.56;0;35706.51;g3;18440.71;13921;43858.28;7925.91
g5;40899.52;21939.43;40899.52;47109.6;g5;40899.52;10153.34;40899.52;22609.4;g5;10568.72;43349.88;9168.89;37390.56;g5;35849.76;48546.74;43801.25;27247.53
g6;39570.19;25375.43;7207.09;48700.44;g6;44586.34;32670.85;354.68;12443.22;g6;10740.38;21040.77;48944.54;28235.17;g6;37653.67;32861.62;9480.64;17679.59
g7;12535.15;298;46437.22;298;g7;8548.28;298;298;298;g7;29479.58;4450.89;50000;33701.71;g7;17031.07;298;298;298
g16;40454.46;27743.19;17397.11;27743.19;g16;20525.19;27407.75;44503.34;1130.05;g16;5243.48;27743.19;8490.43;27743.19;g16;24570.28;49099.32;27863.54;29490.13
g18;13837.98;47836.42;20693.13;22083.4;g18;38102.05;26244.67;40761.92;18539.3;g18;16335.69;28163.72;28368.86;33536.67;g18;20009.46;44019.71;0;9170.66
g20;6043.57;33258.19;38282.16;46616.26;g20;22579.37;50000;0;43447.99;g20;27689.85;27689.85;44456.34;9766.86;g20;27689.85;27689.85;17464.07;10564.29
g23;29185.48;10817.18;915.61;1324.1;g23;31363.44;27387.27;42836.35;27548.3;g23;29479.58;4450.89;42830.36;33701.71;g23;20215.44;31963;42698.42;11155.06
g24;48004.14;41366.74;47285.27;381.17;g24;33046.12;10472.97;47285.27;381.17;g24;40484.61;49189.49;37383.88;16944.52;g24;33435.52;35036.12;19464.36;28026.36
g26;11316.66;45756.07;2010.83;39629.3;g26;50000;40047.46;47580.58;45483.41;g26;39497.09;50000;39497.09;35964.44;g26;25172.1;4511.94;25172.1;39612.31
g27;1473.38;15697.23;10571.81;34407.3;g27;23250.11;17169.03;10571.81;34407.3;g27;46553.44;15621.5;10571.81;35724.65;g27;38988.15;36703.04;17187.61;5283.84
g35;22996.72;17595.6;29950.45;18405.04;g35;27761.05;36207.56;2382.21;8518.86;g35;27761.05;36207.56;2382.21;0;g35;14349.72;0;11888.43;1077.08
g36;26165.55;19399.12;15437.14;36857.26;g36;48577.48;27763.28;17854.14;26874.41;g36;18868.69;8214.97;50000;6374.9;g36;19719.69;3861.84;15437.14;3089.6
g38;46798.34;11167.73;22595.79;4175.32;g38;5999.39;15583.38;50000;33715.36;g38;38088.83;47227.64;5138.8;47227.64;g38;21872.04;41018.73;17567.55;41018.73
g39;6338.35;50000;6338.35;18609.39;g39;6193.42;19873.7;6338.35;9760.07;g39;39707.35;29924.01;32265.47;16732.96;g39;0;50000;24243.23;36769.74
g40;4037.5;25140.22;5516.18;18842.64;g40;36575.25;30245.67;367.08;40127.58;g40;8720.83;22581.2;19738.07;32593.59;g40;11732.59;2349.91;12257.77;10030.96
g41;2433.61;4345;19482.92;4345;g41;183;4345;31303.17;4345;g41;36599.52;20062.94;22564.18;48935.11;g41;36733.22;18599.04;10795.14;24882.79
g42;29640.84;43280.69;8955.51;17976.06;g42;44699.89;15601.44;0;5985.91;g42;39574.84;18082.86;19508.38;12271.05;g42;17792.33;24835.33;39505.63;35465.51
g43;10130.62;7299.63;7299.63;7299.63;g43;22252.83;7299.63;7299.63;7299.63;g43;10130.62;47278.92;25646.89;23983.84;g43;15527.48;7299.63;31785.76;44252.05
g44;891.47;10220.39;19884.5;13043.6;g44;3480.91;46287.3;3480.91;5242.9;g44;42026.09;2684.71;42026.09;18228.62;g44;41847.93;31081.45;34767.23;5102.98
g46;48949.13;577.59;577.59;577.59;g46;14068.82;15636.73;577.59;577.59;g46;10740.38;38545.73;31110.35;12314.55;g46;3231;35663.99;19672.57;26666.48
g48;35137.32;10287.13;14809.62;35137.32;g48;24726.78;0;49604.1;24068.94;g48;16236.72;9029.17;3937.38;32526.38;g48;39755.71;44482;30724.27;39755.71
g54;46382.68;19004.69;7862.43;3518.94;g54;27761.05;36207.56;2382.21;29450.39;g54;27761.05;36207.56;2382.21;37638.5;g54;27121.92;31507.46;24556.86;21645.16
g59;37289.41;30975.62;23968.91;36677.93;g59;43299.58;39969.22;28052.99;44407.21;g59;13792.86;3171.88;30222.41;18571.92;g59;6505.05;5530.63;34659.98;23422.08
g63;38200.08;50000;28461.62;41773.74;g63;13369.76;10225.45;30467.36;43149.51;g63;47543.79;38316.63;30410.58;36093.72;g63;37136.14;38930.66;27329.65;19723.06
g66;16798.63;17168.66;38282.16;46616.26;g66;3673.72;44486.35;6630.55;29612.75;g66;11794.97;23381.92;44456.34;7597.02;g66;733.16;38935.51;41973.81;49253.83
g70;41713.39;12185.56;29844.66;0;g70;36340.67;10819.56;50000;0;g70;29222.47;33666.49;22048.7;33666.49;g70;22403.02;20071.94;40911.86;26853.6
g77;13938.29;24251.73;46033;43016.52;g77;27761.05;36207.56;2382.21;6179.15;g77;27761.05;36207.56;2382.21;6893.04;g77;14402.04;7086.53;28067.56;32907.7
g80;865.35;2782.11;12056.65;2348.48;g80;35458.41;37298.5;25383.74;44764.51;g80;27896.69;16240.91;2443.08;27871.52;g80;16638.37;32793.47;16638.37;15568.92
g81;28327.09;49028.44;38282.16;46616.26;g81;9721.12;19673.29;35041.04;48403.32;g81;18154.07;11201.47;44456.34;9766.86;g81;28536.6;41915.54;31673.39;33631.88
g85;16550.08;15621.94;15621.94;15621.94;g85;50000;15621.94;15621.94;15621.94;g85;32771.29;4744.61;3954.8;5771.93;g85;0;2458.31;42588.04;50000
g86;6735.88;41107.06;367.59;6735.88;g86;6735.88;39220.65;49688.21;6735.88;g86;6735.88;41107.06;294.46;6735.88;g86;50000;42930.39;17599.11;138.85
g88;15491.56;50000;15491.56;15061.73;g88;15491.56;4461.15;15491.56;14363.79;g88;31355.4;45587.81;10721.02;31006.42;g88;49071.76;30445.8;0;32962.83
g91;49142.12;0;17936.39;32623.44;g91;31864.72;33919.85;7705.28;6358.64;g91;49790.59;266.84;266.84;266.84;g91;14981.4;266.84;266.84;266.84
g92;20825.4;1420.09;1751.3;32002.18;g92;43009.06;10571.6;3450.32;44757.37;g92;26004.7;9502.01;36699.69;24609.59;g92;29646.66;21249.34;0;45429.32
g95;42680.44;17017.49;17017.49;7101.01;g95;29464.08;29585.36;5154.78;27734.01;g95;3387.04;17017.49;17017.49;2038.2;g95;7149.38;50000;37460.83;32196.21
g96;27335.08;44653.69;44653.69;44653.69;g96;10648.3;598.08;598.08;598.08;g96;42856.51;29539.69;29539.69;29539.69;g96;20809.07;9529.46;35252.05;47569.63
g100;18238.27;3154.39;3154.39;3154.39;g100;0;10777.21;10777.21;10777.21;g100;37739.76;28126.23;28126.23;28126.23;g100;33280.1;36996.54;46568.96;46647.57
g107;27004.03;17017.49;17017.49;50000;g107;45840.6;22091.22;46573.43;50000;g107;2924.12;19228.67;17017.49;3988.86;g107;10833.53;49810.47;49006.57;9670.94
g112;35137.32;31602.91;7273.53;35137.32;g112;24068.94;30275.14;17895.34;24068.94;g112;32379.75;41027.33;36012.4;38337.28;g112;39755.71;21407.79;11725.98;39755.71
g114;50000;14542.46;14944.53;5041.14;g114;36595.89;45911.08;26038.57;45867.64;g114;29479.58;4450.89;5434.16;35573.18;g114;17782.49;40892.79;31327.48;0
g115;6536.2;16625.36;37022.78;50000;g115;27761.05;36207.56;2382.21;10806.26;g115;27761.05;36207.56;4815.03;44836.98;g115;33007.56;22818.06;28414.67;14024.94
g116;40858.88;10164.48;38152.44;41622.42;g116;23804.71;25661.56;47915.89;19208.05;g116;31843.03;40146.75;4942.57;50000;g116;34350.95;37237.38;48085.53;48085.53
g118;30590.13;12847.45;40988.12;34473.41;g118;15498.24;44686.64;8093.1;28445.47;g118;6604.25;16059.5;0;22088.32;g118;19281.67;25348.26;30955.18;17212.44
g119;26290.07;26336.43;15437.14;5915.88;g119;34077.46;50000;25477.99;23987.02;g119;27420.44;29869.14;26245.46;43509.78;g119;8421.49;10563.58;15437.14;228.74
g120;46193.89;43852.66;5070.06;700.93;g120;22604.74;22915.62;39744.9;11083.6;g120;29794.74;25682;2336.33;25682;g120;34616.46;25850.07;39647.46;25682
g124;35594.54;2100.06;14329.64;35594.54;g124;48537.4;38634.41;36334.3;9960.13;g124;46434.81;32489.04;32489.04;46145.07;g124;33671.11;4472.54;21796.8;35594.54
g126;41945.81;36072.99;13866.65;21922.58;g126;12847.07;48635.63;40431.58;47544.2;g126;19172.25;47227.64;15193.5;47227.64;g126;35961.15;41018.73;22095.04;41018.73
g128;35137.32;40666.99;42843.81;35137.32;g128;24068.94;22161.3;4803.93;24068.94;g128;0;32489.04;32489.04;24634.38;g128;39755.71;32770.9;43888.13;39755.71
g131;44660.25;4338.52;48023.04;34150.21;g131;36081.84;26494.05;48023.04;34150.21;g131;29055.99;40146.75;48023.04;34150.21;g131;31196.58;18699.24;47619.91;27444.52
g132;8588.47;22010.78;22103.64;5899.96;g132;11221.28;44080.89;42738.77;23067.72;g132;26864.55;39306.89;42964.53;32361.24;g132;18485.18;32454.96;29896.8;1399.81
g135;30285.64;24884.19;35509.51;40897.01;g135;14435.24;40622.73;16762.79;4843.43;g135;4120.21;25682;31470.55;25682;g135;41260.87;25682;9723.81;25682
g137;16581.1;46663.13;16581.1;16581.1;g137;50000;33366.44;29837.87;9356.31;g137;14509.14;45180.08;14509.14;14509.14;g137;577.25;32259.8;24281.81;21577.05
g139;21171.09;29367.81;40454.5;9415.38;g139;41774.57;38597.55;21697.34;44382.51;g139;26237.7;32192.68;10626.52;33666.49;g139;45367.23;37139.42;11645.06;38296.52
g140;25788.45;8340.67;45229.28;36850.34;g140;37305.93;24163.89;13147.07;372.77;g140;30086.78;33666.49;18367.17;33666.49;g140;13316.27;25288.64;12861.68;404.52
g142;35933.51;49900.21;30647.51;16831.48;g142;46690.83;11876.06;2936.72;30912.03;g142;12607.12;34359.58;29954.66;0;g142;23383.01;11669.24;13462.95;49041.88
g143;31691.36;10372.77;49496.7;31691.36;g143;10730.58;17740.17;50000;718.68;g143;31691.36;38379.44;13292.86;31691.36;g143;48271.73;0;33233.68;0
g145;26329.11;21432.85;23544.1;21432.85;g145;35392.73;21432.85;38328.65;21432.85;g145;18225.75;48859.3;33906.46;33046.71;g145;0;19628.38;5119.24;32016.1
g150;25033.6;36623.4;8182.86;33684.16;g150;44648.13;42162.28;11779.98;166.05;g150;25340.46;47725.31;33899.21;47227.64;g150;30062.33;48591.36;50000;41018.73
g151;35574.1;6356.97;18876.72;50000;g151;31583.09;33597.93;12731.96;3840.88;g151;29302.79;40685.63;36699.69;19268.83;g151;40806.72;40806.72;45312.65;50000
g154;48350.64;39133.08;17898.04;8367.39;g154;42343.42;8503.83;22661.67;46289.74;g154;39497.09;33666.49;39497.09;33666.49;g154;25172.1;31574.06;25172.1;7828.71
g155;8087.65;7803.38;13002.51;30788.89;g155;8087.65;38427.76;10649.27;30788.89;g155;13272.84;30040.7;10649.27;30788.89;g155;34716.47;48725.39;44759.04;49604.19
g159;25165.29;42047.73;18562.53;46712.29;g159;43409.26;37672.93;34337.75;35997.44;g159;49890.48;12468.28;12299.85;12882.87;g159;20334.21;4967.01;42147.38;12966.76
g161;5474.47;24177.38;34275.23;48700.44;g161;21176.39;40188.25;2227.4;9163.93;g161;20903.94;20841.92;1882.38;8256.03;g161;36534.65;8287.84;47114.45;47883.02
g164;23566.63;31805.22;31805.22;15558.62;g164;28951.39;9876.4;33649.34;9677.92;g164;50000;18930.84;43078.26;40554.97;g164;49939.17;31805.22;31805.22;17433.44
g166;37912.5;41357.43;5992.59;41357.43;g166;29375.52;41357.43;50000;41357.43;g166;0;25998.33;31533.59;17963.62;g166;586.76;50000;19110.91;10440.69
g167;43229.71;36906.37;34938.9;13043.6;g167;43229.71;11096.18;34938.9;5242.9;g167;43229.71;37870.5;34938.9;18228.62;g167;43229.71;0;33142.04;5102.98
g169;0;18964.29;50000;46659.37;g169;19180.92;18964.29;19180.92;24382.92;g169;16269.59;18964.29;16269.59;26737.96;g169;37702.88;40510.61;34212.04;0
g170;35594.54;15320.7;39694.13;35594.54;g170;4424.99;40374.96;3901.49;44551.27;g170;41626.5;0;15939.39;21247.43;g170;35594.54;4273.63;24835.43;35594.54
g172;17398.94;338.01;34781.11;7006.18;g172;27751.19;45042.4;20466.07;29455.89;g172;13972.63;17625.72;50000;26534.88;g172;23330.15;6488.74;40593.24;12340.31
g173;17176.99;46290.28;706.11;13043.6;g173;34235.72;21878.61;34819.41;5242.9;g173;46001.91;49878.63;28740.28;18228.62;g173;46001.91;49878.63;28740.28;5102.98
g174;2465.23;9471.26;12747.39;46932.3;g174;30374.32;29900.67;31290.94;5667.31;g174;16077.48;13320.75;44073.91;2506.91;g174;15622.49;4537.4;0;10612.53
g177;40419.13;0;14627.3;39673.45;g177;32610.61;20404.39;21932.95;9023.68;g177;39497.09;13705.24;39497.09;29688.64;g177;25172.1;0;25172.1;7411.4
g178;17696.61;21939.43;21383.98;47109.6;g178;35779.95;31765.69;20718.04;50000;g178;26390.27;43349.88;8196.46;37390.56;g178;5724.06;48546.74;11809.61;27247.53
g179;25185.91;21544.14;16675.51;42926.79;g179;33986.24;45848.1;22768.61;40251.56;g179;7230.62;2869.54;26366.7;7230.62;g179;20418.3;45628.21;16001.61;44811.98
g183;5405.21;22608.11;19035.74;11370.75;g183;32584;45273.03;20380.19;9623.92;g183;7100.11;32489.04;32489.04;11296.09;g183;8205.68;28705.15;5776.01;8424.18
g186;20303.48;15355.29;30982.26;27455.11;g186;14090.36;28561.83;46029.4;46698.06;g186;2239.4;10019.88;28692.31;30512.03;g186;30218.09;6654.33;31974.31;7198.38
g190;26561.4;41107.06;294.46;44665.22;g190;8238.43;46320.17;44785.49;43674.82;g190;20055.7;41107.06;294.46;13257.84;g190;41897.38;23732.88;25543.32;9697.28
g193;8588.47;22010.78;26884.17;17729.66;g193;19479.47;44080.89;11117.02;10988.31;g193;18054.51;19179.37;8635.74;31218.83;g193;18485.18;32454.96;23368.64;40586.98
g194;18695.71;28522;26909.27;1519.58;g194;27761.05;36207.56;2382.21;9290.26;g194;27761.05;36207.56;2382.21;26894.67;g194;30604.15;10584.11;37257.34;4697.51
g206;39000.92;27743.19;14178.7;27743.19;g206;8822.03;36802.57;37801.4;47528.4;g206;7123.64;27743.19;17339.3;27743.19;g206;14370.41;39845.41;32238.12;50000
g212;17990.52;45247.04;7980.15;38148.87;g212;37470.26;24902.69;32511.54;8200.41;g212;7520.17;36414.8;43633.67;48129.41;g212;3090.06;25688.42;15358.97;14215.47
g219;23778.03;10322.58;50000;45096.2;g219;32036.63;13496.29;38997.04;14357.43;g219;46927.76;41475.78;36699.69;708.49;g219;2402.23;41334.62;14153.11;33992.78
g223;43483.3;25375.43;14938.28;48700.44;g223;39014.87;16946.99;37663.72;10460.09;g223;41657.18;21069.59;3375.01;9455.68;g223;6606.8;34965.73;48419.79;7993.68
g225;630.54;46758.06;0;37779.27;g225;11221.96;18830.73;27760.13;13634.91;g225;49860.85;29890.73;42532.04;40184.63;g225;33897.83;25103.47;3623.64;1506.48
g226;32373.65;21050.84;16537.13;8144.14;g226;32373.65;67.57;10686.07;38017.31;g226;46933.26;27370.13;28815.39;37690.42;g226;36647.36;67.57;10686.07;38017.31
g228;37674.82;3765.99;24115.71;43817.05;g228;48660.89;10889.48;40279.72;34324.38;g228;12970.65;3182.19;20423.15;34222.03;g228;42661.29;33226.41;38697.15;22909.78
g232;50000;14868.74;5668.18;24868.14;g232;38679.05;11858.7;111.74;15118.27;g232;22207.9;42011.51;22332.35;33653.47;g232;5052.22;30279.1;12816.52;22897.52
g233;24963.89;24963.89;4075.45;29006.09;g233;29673.93;31817.62;4075.45;29006.09;g233;36567.6;36567.6;20023;42291.26;g233;13372.47;14501.62;1416.98;13442.66
g234;48517.53;28763.16;4459.81;17219.7;g234;31008.31;21043.61;35556.35;14658.26;g234;11287.91;32489.04;32489.04;37931.57;g234;39335.8;42121.34;15386.25;11217.46
g238;2048.05;24588.96;12970.92;50000;g238;14786;23924.94;43221.34;5999.61;g238;46709.39;39237.17;10856.43;22684.83;g238;47768.74;30180.7;40593.24;12340.31
g240;39487.58;45879.33;5321.11;24238.71;g240;46838.47;15481.97;5321.11;5781.49;g240;39487.58;217.59;5321.11;50000;g240;39487.58;48093.01;5321.11;2990.97
g243;3074.37;3074.37;3074.37;35738.29;g243;46894.07;12205.86;2523.37;17722.79;g243;16444.69;29553.96;11186.85;3614.16;g243;14082.66;12205.86;37011.1;9772.59
g246;41164.5;22790.17;10740.85;2310.97;g246;11533.77;42344.86;25772.41;5200.52;g246;10740.38;18785.46;2597.45;25309.14;g246;31647.04;11194.64;1516.66;44248.6
g249;44224.24;9251.7;21166.01;36864.07;g249;971.37;10607.86;8330.23;21367.17;g249;7230.62;2581.25;29635.89;7230.62;g249;47865.99;46258.18;11645.47;0
g252;28012.43;37074.09;28012.43;44869.82;g252;28012.43;14030.81;28012.43;2379.62;g252;27596.51;4670.97;25608.5;10827.79;g252;25977.32;16759.54;17496.75;50000
g253;34532.76;30776.98;16694.39;22137.86;g253;27761.05;36207.56;2382.21;10343.42;g253;27761.05;36207.56;2565.47;26576.77;g253;50000;44929.67;23838.6;50000
g255;32391.17;31805.22;31805.22;46883.08;g255;7058.02;27720.92;36109.99;20493.82;g255;7017.88;32441.51;21008.38;25725.59;g255;14344.17;31805.22;31805.22;7366.51
g256;24783.71;38758.8;48200.89;4460.32;g256;25546.68;36542.54;35717.8;48594.76;g256;3718.42;2536.34;44421.91;42316.33;g256;43328.34;50000;21496.84;21496.84
g257;17424.44;16689.64;19388.07;48866.09;g257;338.12;11861.45;19388.07;48866.09;g257;35772.95;8386.34;21487.86;48866.09;g257;32636.54;5334.58;48135.91;39816.7
g259;35137.32;0;48291.39;35137.32;g259;24068.94;18970.63;12238.92;24068.94;g259;29427.18;29834.15;31539.52;40960.17;g259;39755.71;32112.79;36658.98;39755.71
g262;9248.71;36623.4;8182.86;22735.26;g262;47284.49;34546.13;34572.48;9313.19;g262;11195.46;23177.26;18842.2;61.52;g262;44141.4;0;21217.09;50000
g268;28011.13;32240.86;48816.21;48996.3;g268;18583.49;42301.14;48816.21;48996.3;g268;49922.08;48263.58;48816.21;48996.3;g268;22902.83;21606.11;39147.79;24035.62
g272;48004.14;41366.74;38275.96;40592.28;g272;33046.12;10472.97;16018.36;40128.76;g272;40484.61;49189.49;44683.77;39721.25;g272;16549.92;33948.5;1962.72;38567.17
g273;3074.37;3074.37;3074.37;13043.6;g273;43022.4;28926.76;23755.21;5242.9;g273;24683.76;28364.01;28995.38;18228.62;g273;35626.93;29159.1;47004.94;5102.98
g274;19643.34;27086.62;4578.31;19643.34;g274;16428.16;5664.27;13776.03;4549.05;g274;19643.34;21401.18;41112.42;19643.34;g274;23094.69;10694.08;43344.63;37867.38
g278;16724.1;3520.79;30982.26;27455.11;g278;3291.06;25252.51;50000;46995.32;g278;30731.87;46690.33;14010.6;39425.03;g278;24527.94;38251.15;0;38834.62
g290;9496.68;16763.95;30982.26;27455.11;g290;16424;10764.92;41084.57;11184.08;g290;33847.37;42669.56;21617.38;17307.35;g290;9540.09;38303.95;40202.58;34096.95
g374;22626.76;19965.27;22099.15;22626.76;g374;22626.76;44239.59;8808.93;22626.76;g374;23784.6;6586.64;16897.57;22626.76;g374;19053.73;6586.64;6586.64;17747.31
g375;22033.37;19074.75;31019.73;36878.41;g375;27408.49;7213.12;31019.73;36878.41;g375;0;36502.96;22937.37;17454.63;g375;18329.17;47555.45;35922.1;33681.91
g376;16004.98;0;30388.21;18307.14;g376;36762.25;17996.14;0;32005.13;g376;42546.19;0;44981.71;46371.6;g376;45218.05;16427.86;46208.67;37232.83
g377;10169.13;15902.28;42395.62;45200.41;g377;122.09;48089.69;6033.87;50000;g377;6639.5;15582.36;35400.66;32511.29;g377;29102.92;8056.53;16629.53;11310.2
g378;30590.13;12847.45;18228.73;44242.09;g378;40795.2;25309.48;18228.73;44242.09;g378;50000;45721.6;18228.73;44242.09;g378;19281.67;25348.26;18975.73;34991.87
g379;36420.27;50000;10038.58;0;g379;49895.71;27856.62;38933.25;32736.22;g379;32747.6;38289.68;24576.63;19160.97;g379;47537.71;21561.4;40801.68;45099.7
g380;41104.08;44848.92;41104.08;41104.08;g380;21143.97;26494.05;4369.75;47801.47;g380;20156.37;17439.05;20156.37;20156.37;g380;16655.23;14893.57;13237.22;29230.76
g426;47213.04;49184.84;7959.75;31288.09;g426;35846.65;26494.05;27852.72;33732.76;g426;40134.91;40146.75;24647.9;8854.53;g426;32469.7;38414.84;10300.48;24366.35
g427;28928.8;27743.19;27193.46;27743.19;g427;28928.8;48050.47;27193.46;2133.14;g427;28928.8;40961.15;27193.46;27743.19;g427;28928.8;1976.9;27193.46;48280.33
g428;18406.99;18378.91;35715.2;47519.3;g428;23648.35;12205.86;40871.33;17722.79;g428;36947.52;30613.18;14845.5;44149.32;g428;14643.48;12205.86;13510.62;17722.79
g429;38852.85;44115.52;20324.16;50000;g429;1843.55;7031.48;20324.16;36374.84;g429;38852.85;46552.74;22004.72;28096.26;g429;38852.85;9316.41;20324.16;38258.95
g430;39462.59;48243.5;12337.88;39462.59;g430;31141.23;20989.95;27229.68;3819.9;g430;39462.59;20417.78;0;39462.59;g430;33835.8;35931.23;18852.49;47983.69
g431;8598.7;12043.55;12043.55;12043.55;g431;49503.84;207.13;12043.55;12043.55;g431;42359.39;27316.18;27986.15;28435.77;g431;0;7944.92;16893.19;43730.16
g432;37786.34;15694.62;28256.19;49176.85;g432;24368.43;9845.31;28256.19;2576.17;g432;9819.79;14083.64;28256.19;2576.17;g432;27520.97;47466.08;48378.64;32729.42
g433;35594.54;30625.38;48350.32;35594.54;g433;5575.73;39969.22;29004.1;1036.54;g433;45243.7;3022.05;11271.3;33070.16;g433;35594.54;21874.67;4522.46;35594.54
g434;28600.19;19061.74;21031.46;38123.36;g434;8656.67;38068.76;13317.38;18373.37;g434;3068.85;25682;36974.3;25682;g434;45965.69;25682;47766.51;25682
g435;9355.55;13827.36;46638.1;14635.49;g435;15166.78;43288.34;38797.73;18987.47;g435;29055.39;44972.47;8768.06;50000;g435;39941.68;12065.02;40593.24;14616.38
g436;25941.5;39677.4;28010.77;25941.5;g436;25941.5;0;3154.38;25941.5;g436;25941.5;27022.13;13775.45;25941.5;g436;38936.4;10422.21;40801.68;21062.88
g437;8871.04;14326.27;3950.03;48504.01;g437;35779.95;19649.12;303.3;49308.64;g437;15859.24;18569.7;33391.92;24288.96;g437;49981.5;19649.12;303.3;49308.64
g438;46188.87;32238.01;35035.76;24052.49;g438;42227.42;23946.59;28595.8;30074.31;g438;48104.09;17446.18;23039.74;42048.99;g438;46325.57;873.45;40593.24;12340.31
g439;30115.68;26045.73;35991.13;13043.6;g439;10648.49;7168.1;26459.75;5242.9;g439;30018.69;47638.92;40864.11;18228.62;g439;30018.69;47638.92;40864.11;5102.98
g440;49718.28;11697.23;1485.15;22559.74;g440;10664.1;37217.12;7081.11;29987.33;g440;10740.38;29857.91;25074.5;25216.18;g440;7873.66;11261.1;31249.54;0
g441;19204.67;1463.76;20596.35;18326.72;g441;6937.58;12205.86;34800.79;17722.79;g441;15144.55;17864.45;5247.89;3883.12;g441;43766.82;12205.86;49136.89;17722.79
g442;35137.32;50000;27351.56;35137.32;g442;24068.94;47691.76;34165.43;24068.94;g442;8084.54;40707.61;13015.23;32948.39;g442;39755.71;23306.03;41990.89;41321.53
g443;30590.13;12847.45;46447.69;4956.04;g443;23033.61;3631.22;8624.13;36230.25;g443;20628.95;47926.83;14321.91;3767.34;g443;19281.67;25348.26;16158.26;2693.03
g444;8002.16;22004.55;49989.54;33974.97;g444;26520.35;46723.29;50000;33974.97;g444;27878.87;16837.76;49989.54;33974.97;g444;5186.64;36910.61;43317.45;2845.14
g445;44699.49;50000;45003.83;16281.35;g445;44699.49;4627.26;45003.83;42086.69;g445;44699.49;2223.96;45003.83;30658.19;g445;44699.49;13894.44;45003.83;36519.2
g446;8334.49;12328.64;21494.57;29091.47;g446;35779.95;33909.23;14361.27;27524.05;g446;31282.12;34139.2;39398.07;6305.61;g446;46724.81;17510.22;0;43758.16
g447;0;17205.67;42809.25;17656.03;g447;42744.17;17205.67;20985.27;12683.84;g447;3710.13;17754.83;33908.73;38915.58;g447;15647.15;31355.41;25350.67;44842.61
g448;3074.37;752.08;3074.37;22987.9;g448;25103.42;11034.71;46294.59;48052.76;g448;17482.78;34701.1;45199.84;40792.04;g448;29995.03;11739.08;3879.37;43281.63
g449;8588.47;22010.78;3363.93;352.13;g449;11221.28;44080.89;49547.8;13332.91;g449;17599.42;43374.46;4451.19;14713.31;g449;18485.18;32454.96;43724.54;11392.86
g450;29116.59;8175.51;34931.02;5394.79;g450;27761.05;36207.56;2382.21;39161.69;g450;27761.05;36207.56;2382.21;19700.3;g450;10347.78;24494.57;50000;21738.4
g451;10130.62;46894.09;14804.37;39470.8;g451;31583.09;31583.09;19296.14;10434.15;g451;10130.62;12802.72;30943.82;23161.37;g451;40806.72;40806.72;18422.28;4856.17
g452;36005.8;6223.92;1585.54;491.06;g452;48807.01;10452.97;14361.3;34921.24;g452;27119.98;6155.3;14989.29;50000;g452;50000;16909.77;40230.51;12632.19
g453;27458.79;10972.55;35536.67;19057.58;g453;36022.37;22440.88;29776.37;35777.98;g453;8152.69;25682;10883.16;25682;g453;50000;25682;11601.94;25682
g454;28989.4;22178.65;28989.4;24495.69;g454;28989.4;41971.41;28989.4;30611.17;g454;25914.81;42251.88;26064.86;13176.21;g454;3988.4;47839.99;29270.91;10499.77
g455;19862.93;36623.4;8182.86;21641.23;g455;21641.23;2414.8;1207.11;21641.23;g455;21641.23;31764.56;487.5;21641.23;g455;25501.64;18448.25;21324.32;42353.89
g456;37617.02;21505.88;37130.01;14164.28;g456;12781.16;23050.93;2264.58;7573.49;g456;29479.58;4450.89;26185.89;33701.71;g456;19412.67;9103.35;20157.57;16132.26
g457;34575.41;1927.03;39415.59;34225.37;g457;0;31691;42713.9;21537.36;g457;12263.93;10270.47;30405.35;19113.45;g457;16638.37;44999.54;16638.37;38957.41
g458;46089.79;21939.43;48976.91;47109.6;g458;47582.59;38309.38;29739.21;35117.6;g458;48070.82;43349.88;2794.94;37390.56;g458;44138.41;47345.74;41742.64;27247.53
g459;20004.89;25375.43;30258.87;48700.44;g459;1260.44;35842.75;9445.25;23226.05;g459;49421.64;28170.88;27743.32;13910.7;g459;25461.55;10866.35;37730.89;30385.44
