;t4;t4;t4;;t7;t7;t7;;t8;t8;t8;;t9;t9;t9;;t10;t10;t10;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;
g1291;0.2;0.28;-0.49;g1291;-0.15;0.37;0.04;g1291;0.14;0.05;-0.07;g1291;-0.41;0.05;0.08;g1291;0.95;-0.04;-0.29;g1291;-0.23;-0.15;0.35;g1291;-0.26;-0.08;0.35;g1291;-0.24;-0.06;0.01
g1292;0.29;0.21;-0.32;g1292;-0.2;0.13;0.08;g1292;0.06;-0.14;0.45;g1292;-0.07;0.03;0.32;g1292;-0.17;0.01;-0.06;g1292;-0.12;0.36;0.46;g1292;-0.01;0.01;0.22;g1292;0.07;0.42;0.48
g1293;-0.21;0.8;0.35;g1293;-0.04;0.03;0.1;g1293;0.15;0.6;-0.15;g1293;-0.11;-0.16;-0.32;g1293;-0.15;-0.24;0.06;g1293;0.02;0.06;-0.2;g1293;-0.04;0.34;-0.51;g1293;-0.51;0.05;-0.18
g1294;0.15;0.47;0.19;g1294;0.02;-0.51;0.14;g1294;-0.12;0.43;0.1;g1294;0.24;0.1;-0.19;g1294;-0.18;0.48;0.07;g1294;0.16;0.43;0.05;g1294;-0.12;0.29;0.21;g1294;-0.07;0.29;0.14
g1295;0.46;0.68;0.27;g1295;-0.16;-0.46;0.46;g1295;-0.11;-0.32;0.31;g1295;-0.51;0.35;0.22;g1295;0.38;0.36;0.43;g1295;0.24;0.82;0.27;g1295;0.53;-0.14;-0.26;g1295;0.05;0.4;0.05
g1296;0;-0.03;0.09;g1296;0.16;0.21;0.21;g1296;0.01;-0.23;0.01;g1296;-0.06;0.46;0.21;g1296;-0.13;0.34;0.13;g1296;-0.2;0.38;0.36;g1296;0.28;-0.24;-0.05;g1296;-0.23;0.18;0.03
g1297;0.38;0.3;0.82;g1297;0;0.2;-0.04;g1297;0.26;-0.07;-0.02;g1297;-0.03;0.2;-0.04;g1297;0.45;0;-0.12;g1297;-0.03;0.45;-0.52;g1297;0.09;-0.18;-0.29;g1297;-0.11;0.52;-0.1
g1298;0;0;0.35;g1298;-0.11;0;-0.02;g1298;0.29;0;0.26;g1298;0.19;0;0.35;g1298;0.15;0;0.12;g1298;0;0;0.26;g1298;0.34;-0.15;-0.04;g1298;-0.25;0;0.51
g1299;0.09;0.2;0.15;g1299;-0.18;-0.14;-0.06;g1299;-0.04;0.25;0.08;g1299;-0.15;0.04;0.13;g1299;0.61;-0.35;-0.06;g1299;-0.17;1.01;0.35;g1299;0;-0.14;0.15;g1299;-0.23;-0.15;0.21
g1300;0;0.32;0.09;g1300;0.71;0.06;0.32;g1300;-0.06;-0.36;0.05;g1300;-0.33;-0.04;-0.03;g1300;-0.44;0.1;0.45;g1300;-0.26;0.17;0;g1300;0.2;0.43;-0.34;g1300;-0.24;0.22;-0.05
g1301;0.13;0.36;0.14;g1301;-0.07;-0.43;0.14;g1301;0;-0.17;0.14;g1301;-0.21;-0.09;0.08;g1301;0.52;-0.41;0.06;g1301;-0.13;1.34;0.1;g1301;-0.06;0.03;0.06;g1301;-0.06;0.19;0.02
g1302;0;-0.56;-0.46;g1302;-0.24;0.16;0.15;g1302;0.1;-0.4;0.35;g1302;-0.12;0.24;0.17;g1302;-0.17;-0.07;0.07;g1302;-0.17;0.38;0.42;g1302;0.21;0.07;0.29;g1302;-0.44;0.34;0.46
g1303;0.41;0.13;0.07;g1303;0.14;0.03;0;g1303;0.02;-0.09;-0.02;g1303;-0.35;0.05;-0.25;g1303;-0.02;-0.41;0.18;g1303;-0.45;0.82;0.11;g1303;0.37;-0.82;-0.12;g1303;-0.17;0.09;0.04
g1304;-0.31;-0.04;-0.61;g1304;-0.05;0.12;0.06;g1304;0.26;0.03;-0.12;g1304;0.37;0;-0.09;g1304;0.4;0.09;-0.33;g1304;-0.16;-0.08;0.23;g1304;0.18;0.28;0.19;g1304;-0.07;0.09;0.22
g1305;0.56;0.8;-0.22;g1305;-0.56;-0.45;0.31;g1305;0.08;0;-0.03;g1305;-0.13;0.2;-0.03;g1305;1.13;0.39;0.03;g1305;0.01;0.95;0.03;g1305;0.1;0.4;0.07;g1305;-0.21;0.27;0
g1306;-0.48;-0.33;-0.12;g1306;-0.17;0.12;0.07;g1306;0.36;-0.14;0.08;g1306;-0.02;0.07;0.14;g1306;0.18;0.21;-0.2;g1306;-0.26;0.25;0.09;g1306;-0.03;0.16;0.2;g1306;0.03;0.14;0.11
g1307;0.18;-0.6;0.68;g1307;-0.98;-0.54;0.43;g1307;-0.4;0;-0.25;g1307;-0.23;0.23;0.6;g1307;1.59;0;0.1;g1307;0.67;1.25;-0.25;g1307;0.72;0;-0.7;g1307;-0.23;0.2;0.2
g1308;0.03;-0.01;-0.09;g1308;-0.28;0.19;0.3;g1308;0.17;-0.29;0.19;g1308;0.17;0.22;0.3;g1308;0.5;0.08;-0.23;g1308;0.11;0;0.22;g1308;0.05;0.28;0.25;g1308;-0.09;-0.03;0.23
g1309;0.22;-0.26;0.01;g1309;-0.33;0.13;0.12;g1309;0.15;-0.2;-0.21;g1309;-0.2;0.07;-0.1;g1309;1.4;-0.4;-0.32;g1309;-0.26;0.65;-0.15;g1309;0.04;-0.06;0.05;g1309;-0.16;-0.04;0.01
g1310;-0.22;-0.73;0.55;g1310;0.12;0.45;0.09;g1310;0.57;-0.37;-0.16;g1310;0.23;0.29;0.32;g1310;0.64;-0.19;0;g1310;0.08;0.22;-0.27;g1310;0.08;-0.55;-0.45;g1310;0.03;0.17;-0.09
g1311;0.38;-1.32;0.02;g1311;-0.04;0.25;0.2;g1311;0.18;0;-0.1;g1311;-0.14;-0.5;-0.01;g1311;0.9;0;-0.07;g1311;-0.25;0.62;-0.24;g1311;-0.01;-3.08;0;g1311;-0.05;0.24;0.16
g1312;-0.06;-0.15;-0.24;g1312;-0.04;-0.02;0.05;g1312;0.28;0.09;-0.01;g1312;0.28;-0.29;-0.02;g1312;0.48;0.47;-0.26;g1312;0.22;0;-0.26;g1312;-0.03;0.56;0.18;g1312;-0.03;-0.18;0.05
g1313;0.05;0;-0.35;g1313;-0.12;-0.2;-0.44;g1313;0.18;0;-0.24;g1313;-0.08;-0.41;-0.15;g1313;0.1;1.69;0.14;g1313;-0.15;0;-0.01;g1313;0.17;0;0.04;g1313;-0.1;0.22;0.18
g1314;-0.06;-0.49;-0.28;g1314;0.16;-0.32;0.24;g1314;0.12;-0.28;0.14;g1314;0.16;0.55;0.17;g1314;0.49;0.04;0.25;g1314;-0.2;0.24;0;g1314;-0.11;0.05;0.24;g1314;-0.27;0.25;0.1
g1315;0.31;0;0.1;g1315;-0.04;-0.12;0.01;g1315;0.47;0;-0.17;g1315;-0.08;-0.15;-0.03;g1315;0.04;0;0.18;g1315;-0.18;0;-0.23;g1315;0.07;0;0.18;g1315;-0.24;0.03;-0.17
g1316;0.11;0.45;0.03;g1316;0.2;-0.23;-0.08;g1316;-0.05;0.08;-0.17;g1316;0.04;-0.05;-0.19;g1316;-0.26;-0.19;0.29;g1316;-0.28;-0.32;-0.12;g1316;0.18;0.04;-0.48;g1316;-0.31;0.27;-0.19
g1317;0.37;0.62;0.07;g1317;0.08;-0.05;0.07;g1317;0.05;0.36;-0.02;g1317;-0.41;-0.11;-0.27;g1317;0.53;-0.17;0.03;g1317;-0.25;0.26;-0.04;g1317;-0.03;0.09;-0.07;g1317;-0.29;0.15;-0.13
g1318;0.02;0.22;-0.09;g1318;-0.01;-0.21;-0.18;g1318;0.07;-0.01;0.2;g1318;-0.01;-0.11;0.23;g1318;-0.03;0.33;-0.02;g1318;-0.17;-0.59;0.17;g1318;0.18;0.28;0.05;g1318;-0.17;0.23;0.18
g1319;0.28;0.83;0.52;g1319;-0.16;0.02;0.22;g1319;0.16;0.48;-0.04;g1319;-0.25;-0.01;0.22;g1319;0.49;0.04;-0.04;g1319;-0.23;1.09;0;g1319;0.02;-0.08;-0.19;g1319;-0.04;-0.25;0.09
g1320;0.06;0.08;-0.14;g1320;-0.05;0.1;0.02;g1320;0.04;0;0.05;g1320;-0.18;0.42;0.05;g1320;-0.14;0;0.27;g1320;0.04;0.4;0.26;g1320;0.18;-0.32;-0.06;g1320;-0.32;0.29;0.15
g1321;0.24;-0.02;0.44;g1321;0.02;0;0.09;g1321;0.05;0.08;0.03;g1321;-0.14;0;0.09;g1321;1.02;-0.44;-0.15;g1321;-0.41;1.17;0.09;g1321;-0.19;-0.21;-0.08;g1321;-0.29;0;0.05
g1322;0.08;0.09;0.62;g1322;0.24;-0.05;-0.12;g1322;0.35;-0.13;0.07;g1322;0.03;0.29;0.45;g1322;0.08;-0.17;-0.36;g1322;-0.13;0.21;-0.25;g1322;0.14;-0.05;-0.14;g1322;-0.25;-0.05;-0.03
g1323;0.47;-0.57;0.03;g1323;-0.03;0;0.18;g1323;0.06;0;0.33;g1323;-0.43;-0.33;0.26;g1323;1.09;0;0.03;g1323;-0.54;0.78;0.36;g1323;-0.16;-0.7;0.26;g1323;-0.38;0;0.02
g1324;-0.02;0.82;-0.3;g1324;0.07;-0.11;0.44;g1324;-0.06;0.32;0.31;g1324;0.28;0.09;0.3;g1324;0.28;0.31;-0.28;g1324;-0.07;-0.03;0.34;g1324;-0.2;0.08;0.07;g1324;0.08;0.22;0.21
g1325;0;0;-0.44;g1325;-0.29;0;-0.22;g1325;0.05;0;0.09;g1325;-0.03;0;-0.05;g1325;-0.09;0;0.09;g1325;-0.15;1.39;0.31;g1325;0.12;0;0.05;g1325;-0.35;0;-0.01
g1326;0.15;-0.72;-0.33;g1326;-0.25;0.33;0.4;g1326;-0.09;-0.37;0.25;g1326;0.26;-0.21;0.01;g1326;0.03;-0.24;-0.06;g1326;0.12;0.45;0.1;g1326;-0.12;-0.43;0.26;g1326;-0.12;0.31;0.14
g1327;0;0.04;-0.48;g1327;-0.03;0.13;-0.09;g1327;-0.07;-0.38;0.16;g1327;0.14;0.36;-0.06;g1327;-0.21;-0.36;-0.07;g1327;-0.03;0.7;0.26;g1327;0.07;-0.58;0.01;g1327;-0.15;0.24;-0.16
g1328;-0.46;-0.3;-0.41;g1328;-0.19;-0.08;0.01;g1328;0.37;-0.35;0.12;g1328;0.22;0.02;0.01;g1328;0.43;-0.09;-0.27;g1328;-0.15;-0.06;0.08;g1328;-0.17;0.16;0.26;g1328;-0.52;0.66;0.55
g1329;0.04;-1.36;-0.07;g1329;0.07;-0.15;0.19;g1329;0.17;0;0.21;g1329;-0.19;0;0.22;g1329;0.24;0;0.15;g1329;-0.13;0.5;-0.44;g1329;0.2;0.44;-0.13;g1329;-0.1;0.29;-0.07
g1330;-0.03;-0.04;0.03;g1330;0.02;0.01;-0.05;g1330;0.36;-0.28;-0.27;g1330;0.18;-0.11;-0.06;g1330;0.36;-0.18;0.04;g1330;-0.1;0.37;-0.42;g1330;-0.12;0.1;-0.16;g1330;-0.21;0.66;-0.03
g1331;-0.05;0.65;-0.01;g1331;0.03;0;-0.01;g1331;0.34;0;0.04;g1331;-0.08;0;0.18;g1331;0.38;0;-0.09;g1331;0.09;0;-0.81;g1331;0.12;-0.13;0.14;g1331;-0.16;0;-0.07
g1332;-0.34;-0.1;-0.17;g1332;-0.06;-0.01;0.3;g1332;0.26;-0.41;0;g1332;0;-0.39;0.14;g1332;0.63;1.69;-0.28;g1332;-0.12;-0.19;0.11;g1332;-0.12;0.26;0.51;g1332;-0.32;1.52;-0.01
g1333;-0.08;0.19;-0.27;g1333;0.24;0.01;0.02;g1333;0.04;-0.17;0.15;g1333;-0.41;0.22;0.34;g1333;0.48;0.03;-0.24;g1333;0.03;0.56;0.07;g1333;-0.22;0;0.19;g1333;-0.24;0.76;-0.1
g1334;-0.11;0;-0.07;g1334;-0.01;0;0.11;g1334;0.2;0;-0.18;g1334;0.27;0;-0.14;g1334;0.2;0.17;0.2;g1334;-0.06;0;-0.2;g1334;-0.13;0;0;g1334;-0.24;0;0.03
g1335;-0.35;0;-0.45;g1335;0.06;0;0.19;g1335;0.27;2.21;0.1;g1335;-0.18;0;0.28;g1335;0.32;0;0.44;g1335;-0.06;0;0.26;g1335;0.15;-2.86;0.29;g1335;-0.08;0;0.18
g1336;-0.07;0.06;-0.17;g1336;-0.1;-0.23;0.28;g1336;0.25;0.39;0.02;g1336;0.28;-0.11;0.13;g1336;0.36;0.17;-0.11;g1336;0.03;1.04;0.15;g1336;0.2;0.45;0.13;g1336;-0.16;0;0.37
g1337;-0.1;0;0.64;g1337;0.17;0;0.15;g1337;0.24;0;-0.04;g1337;0.19;0;0.12;g1337;-0.23;0;0.16;g1337;-0.1;0;-0.33;g1337;0.17;-0.71;-0.39;g1337;-0.05;0;0.16
g1338;-0.22;0;0.05;g1338;0.19;0;-0.21;g1338;0.11;0;-0.3;g1338;0.32;0;-0.15;g1338;0.38;0;0.07;g1338;-0.2;0;-0.3;g1338;-0.28;-0.8;-0.31;g1338;-0.18;0;0.09
g1339;-0.25;0;0.22;g1339;0.02;0;0;g1339;0.33;0;-0.08;g1339;0.01;0;0.12;g1339;0.33;0;0.37;g1339;-0.1;0;-0.2;g1339;0.05;0;-0.49;g1339;-0.17;0;-0.2
g1340;0.28;-0.14;-0.3;g1340;-0.71;0.23;0.32;g1340;-0.34;0.71;0.35;g1340;0.25;0.48;0.55;g1340;0.08;0.27;0.05;g1340;-0.04;-0.07;0.6;g1340;0.41;-0.31;0.45;g1340;-0.12;-0.55;0.26
g1341;0;0.26;-0.36;g1341;-0.58;0.63;-0.24;g1341;-0.4;0.77;0.39;g1341;-0.18;0.68;0.45;g1341;-0.09;0.25;0.31;g1341;-0.06;-0.04;0.65;g1341;0.35;0.09;0.31;g1341;-0.4;-2.07;-0.22
g1342;-0.09;-0.33;0.07;g1342;-0.21;-0.41;-0.6;g1342;-0.07;0.14;0.12;g1342;0.26;0.11;0.1;g1342;-0.02;0.12;0.1;g1342;0.15;0;-0.08;g1342;0.1;-0.24;-0.27;g1342;-0.14;-0.16;0.22
g1343;0;0.75;-0.45;g1343;-0.37;0.3;-0.22;g1343;-0.07;0.77;0.42;g1343;0.01;0.4;0.53;g1343;0.29;0.17;0.48;g1343;0.12;-0.05;0.76;g1343;0.47;-0.08;0.5;g1343;-0.04;-0.37;-0.01
g1344;-0.09;0.16;-0.01;g1344;0.15;0.37;0.62;g1344;0.2;-0.15;0.32;g1344;0.38;-0.03;0.7;g1344;-0.1;-0.84;0.21;g1344;-0.37;-0.4;0.22;g1344;-0.19;0;-0.04;g1344;-0.09;0.19;0.21
g1345;0;-0.3;-0.01;g1345;-0.23;0.02;0.15;g1345;0.04;-0.09;0.38;g1345;-0.07;0.59;0.58;g1345;-0.07;-0.12;0.02;g1345;-0.01;0.4;0.51;g1345;0.3;-0.26;0.46;g1345;-0.19;0.31;-0.01
g1346;0.07;0.12;-0.13;g1346;-0.28;-0.13;0.59;g1346;-0.34;-0.01;0.42;g1346;0.23;0.39;0.37;g1346;0.02;0.07;0.33;g1346;0.23;0.2;0.16;g1346;-0.06;-0.09;0;g1346;-0.11;0.15;0.07
g1347;0;0.62;0.12;g1347;0.16;0.02;-0.2;g1347;0.11;0.35;0.19;g1347;0.02;-0.06;0.44;g1347;-0.21;-0.04;-0.07;g1347;-0.3;0.83;0.41;g1347;0.14;0.06;0.28;g1347;-0.24;0.51;0.25
g1348;0;0.3;-0.25;g1348;-0.42;0.09;0.05;g1348;0.09;-0.13;0.08;g1348;0.39;0.24;0.13;g1348;-0.08;0.02;-0.04;g1348;-0.06;0.14;0.08;g1348;-0.18;-0.29;0.23;g1348;-0.2;0.04;0.2
g1349;0;0.25;-0.07;g1349;0.05;0.33;-0.43;g1349;-0.05;-0.3;0.3;g1349;0.02;-0.1;0.33;g1349;-0.42;-0.53;-0.31;g1349;-0.08;1.18;0.09;g1349;0.04;-0.53;0.33;g1349;-0.1;0.15;-0.27
g1350;0.24;0.63;-0.05;g1350;-0.19;0.07;0.31;g1350;0;0;0.27;g1350;0.12;0.15;0.31;g1350;0;0.32;0.12;g1350;-0.02;0.17;0.25;g1350;0.04;0.04;0.15;g1350;-0.17;0.06;0.29
g1351;0;-0.14;-0.16;g1351;-0.43;-0.51;0.02;g1351;-0.14;-0.16;0.18;g1351;-0.19;0.09;0.12;g1351;0.04;0.14;-0.19;g1351;0.11;1.14;0.43;g1351;0.53;0.2;0.4;g1351;0.01;0.75;0.08
g1352;0.28;0.22;-0.25;g1352;-0.34;-0.37;0.49;g1352;-0.13;0.18;0.51;g1352;-0.19;0.09;0.38;g1352;0.22;0.32;-0.06;g1352;0;0.34;0.5;g1352;0.03;0.2;0.13;g1352;-0.1;-0.13;0.08
g1353;0.68;0.34;0.09;g1353;-0.06;-1.14;0.23;g1353;-0.01;-0.14;0.52;g1353;-0.64;-0.26;0.37;g1353;-0.1;0.23;-0.04;g1353;-0.1;0.1;0.25;g1353;0.29;0.48;-0.1;g1353;-0.04;0.4;-0.14
g1354;0.38;0.51;0.3;g1354;-0.28;-0.52;0.21;g1354;-0.26;-1.34;0.16;g1354;0.1;0;-0.22;g1354;-0.11;-0.09;-0.18;g1354;0.16;0.64;-0.07;g1354;0;0;-0.14;g1354;-0.03;1.23;-0.18
g1355;0.02;0;-0.04;g1355;0.04;0.2;0.01;g1355;-0.13;-0.5;0;g1355;-0.24;0.14;-0.22;g1355;-0.31;-0.15;0.06;g1355;-0.07;0.02;0.08;g1355;0.23;-0.07;0.2;g1355;-0.39;-0.15;-0.02
g1356;-0.37;-0.17;-0.53;g1356;-0.21;-0.24;0.05;g1356;-0.04;0;0;g1356;0.1;-0.02;-0.08;g1356;0;-0.03;-0.43;g1356;0.38;-0.05;0.4;g1356;-0.14;-0.22;0.46;g1356;-0.1;0.72;0.5
g1357;0.09;0.01;0.19;g1357;-0.01;0.47;-0.02;g1357;0.14;-0.08;0.25;g1357;0.22;0.15;0.25;g1357;-0.54;-0.3;-0.26;g1357;-0.28;-0.14;0.21;g1357;0.19;-0.6;-0.34;g1357;-0.08;-0.12;-0.08
g1358;-0.09;0.35;0.13;g1358;0.01;-0.04;0.09;g1358;0.09;0.55;0.14;g1358;0.55;-0.27;0.12;g1358;-0.01;-0.18;0.09;g1358;-0.09;-0.18;0.07;g1358;0.12;-0.31;-0.17;g1358;-0.32;-0.64;0.46
g1359;0.29;0.01;1.28;g1359;0.21;0.25;-0.08;g1359;0.34;-0.42;-0.17;g1359;0.18;0.1;0.09;g1359;0.15;-0.19;-0.23;g1359;-0.19;-0.01;-0.25;g1359;0.29;-0.5;-0.82;g1359;-0.29;0.01;-0.08
g1360;0.08;0.17;-0.15;g1360;-0.12;-0.33;0.35;g1360;0.06;0.07;0.1;g1360;0.14;-0.45;0.27;g1360;0.04;-0.15;-0.2;g1360;0.2;0.17;0.13;g1360;0.2;0.09;-0.62;g1360;-0.01;0.67;0.27
g1361;0.09;0.25;0.1;g1361;0.14;-0.01;-0.38;g1361;0.09;-0.08;-0.23;g1361;0.02;-0.31;-0.28;g1361;-0.21;-0.08;-0.06;g1361;0.19;-0.31;0.24;g1361;0.04;0.05;-0.28;g1361;-0.24;-0.14;0.16
g1362;0.05;-0.16;0.35;g1362;0.01;-0.1;0.11;g1362;0.18;0.11;0.03;g1362;0.36;-0.05;0.06;g1362;-0.03;-0.16;0.01;g1362;-0.12;0.05;-0.05;g1362;0.22;-0.41;-0.27;g1362;-0.56;-0.01;0.09
g1363;-0.44;-0.49;0.52;g1363;0.29;0.46;-0.43;g1363;0.58;-0.88;-0.34;g1363;0.18;0.27;0.09;g1363;0.26;-0.24;-0.14;g1363;0.18;0.02;-0.1;g1363;0.3;-0.65;-0.34;g1363;-0.14;0.1;-0.01
g1364;0.06;-0.42;0.14;g1364;0.49;0.3;-0.53;g1364;-0.52;-0.61;-0.3;g1364;0.04;0.3;-0.22;g1364;-0.05;-0.74;-0.17;g1364;-0.15;-0.2;-0.57;g1364;-0.22;-0.85;-0.32;g1364;-0.1;0.04;0.17
g1365;-0.03;0.69;0.12;g1365;-0.19;0.39;0.41;g1365;0.18;0.35;0.27;g1365;0.52;0.07;0.17;g1365;0.08;-0.58;0.2;g1365;-0.19;0.01;-0.09;g1365;0.32;0.12;-0.11;g1365;-0.3;-0.2;0.21
g1366;0.44;-0.58;-0.47;g1366;-0.3;-0.19;-0.4;g1366;-0.05;-0.26;0.15;g1366;-0.21;0.27;-0.13;g1366;0.08;-0.11;-0.49;g1366;-0.32;0.34;0.48;g1366;0.12;-0.15;0.61;g1366;-0.23;0.19;0.39
g1367;0.27;0.06;0;g1367;-0.1;0.2;-0.04;g1367;-0.05;0.08;0.39;g1367;-0.17;-0.21;-0.1;g1367;-0.51;-0.19;-0.18;g1367;-0.13;0.34;-0.33;g1367;0.32;-0.15;-0.28;g1367;-0.53;-0.03;0.07
g1368;0.23;-0.91;0.5;g1368;-0.03;0.28;-0.22;g1368;0.42;-0.16;0.09;g1368;-0.1;-0.26;0.15;g1368;0.12;-0.33;-0.07;g1368;-0.08;0.15;0;g1368;0.23;-0.76;-0.2;g1368;-0.34;0.24;-0.3
g1369;0.04;-0.11;-0.05;g1369;-0.4;0.32;0.24;g1369;0.04;-0.05;0.45;g1369;-0.16;0.3;0.07;g1369;0.1;-0.21;-0.13;g1369;-0.16;-0.57;-0.07;g1369;0.07;-0.07;-0.3;g1369;-0.11;0.2;-0.07
g1370;0.25;-0.76;0.09;g1370;-0.15;0.06;-0.23;g1370;0.24;-0.17;0.32;g1370;-0.2;0.12;-0.02;g1370;0.04;-0.56;-0.13;g1370;-0.22;0.06;0.25;g1370;0.06;-0.4;-0.05;g1370;-0.1;0.1;-0.15
g1371;-0.23;0.36;0.06;g1371;-0.05;0.08;0.26;g1371;0.12;-0.19;0.11;g1371;-0.2;-0.13;0.28;g1371;-0.47;-0.35;-0.28;g1371;-0.33;0.08;0.19;g1371;-0.05;-0.09;0.19;g1371;-0.39;0.3;0
g1372;-0.04;0.26;0.3;g1372;-0.02;-0.29;-0.15;g1372;-0.15;0.4;0.06;g1372;0.27;-0.22;-0.23;g1372;-0.32;-0.03;-0.4;g1372;-0.28;-0.03;0.06;g1372;0.01;0.18;-0.05;g1372;-0.56;0;0.3
g1373;0.04;-0.46;-0.22;g1373;-0.26;0.25;0.62;g1373;-0.02;-0.26;0.53;g1373;-0.26;0.53;0.5;g1373;0.16;-0.09;-0.24;g1373;-0.02;0.42;0.29;g1373;0.06;-0.11;0.42;g1373;-0.19;0.36;0.24
g1374;0.11;-0.7;0.16;g1374;-0.06;0.24;0.07;g1374;0.04;-0.02;0.35;g1374;-0.21;0.25;-0.01;g1374;0.13;-0.25;-0.24;g1374;0;0.33;0.44;g1374;0.24;-0.21;-0.15;g1374;-0.25;0.17;0.11
g1375;0.03;0.22;-0.29;g1375;-0.39;0.15;0.16;g1375;0;0.21;0.09;g1375;-0.51;0.2;0.25;g1375;-0.03;0.21;-0.16;g1375;-0.31;0.19;0.24;g1375;0.33;0.19;0.38;g1375;-0.12;0.04;-0.07
g1376;-0.3;0.16;-0.13;g1376;0.07;-0.08;-0.18;g1376;0.09;0.2;-0.04;g1376;0.14;-0.06;0.07;g1376;0.15;-0.14;0.3;g1376;-0.36;0.29;-0.28;g1376;0.07;-0.31;-0.14;g1376;-0.32;0.02;0.16
g1377;-0.34;0.03;-0.18;g1377;-0.04;-0.06;-0.21;g1377;0.25;0.08;-0.11;g1377;0.12;0.05;0.18;g1377;0.51;0.08;-0.13;g1377;0.19;-0.06;0.18;g1377;0.11;-0.01;0.21;g1377;-0.42;0.03;0.08
g1378;-0.12;-0.55;-0.32;g1378;0.16;0.76;0.07;g1378;0.2;1.09;0.18;g1378;0.33;0.6;0.28;g1378;0.33;0.07;0.06;g1378;0.1;0.09;-0.04;g1378;0.03;0.1;0.26;g1378;-0.17;0.19;-0.06
g1379;-0.53;0.26;-0.29;g1379;0.14;-0.13;-0.13;g1379;0.35;-0.49;-0.09;g1379;-0.15;0.06;-0.1;g1379;0.49;0.23;0.04;g1379;0.26;0.27;0.08;g1379;0.37;0.12;0.15;g1379;0.11;0.35;0.01
g1380;-0.36;0.76;0.16;g1380;-0.02;-0.06;0.42;g1380;0.07;1.03;0.01;g1380;0.25;-0.09;0.12;g1380;0.05;-0.02;0.21;g1380;-0.3;-0.04;-0.32;g1380;-0.03;0.58;-0.34;g1380;-0.08;-0.36;-0.23




;c0;c0;c0;c0;c0;c0;c0;c0;;c1;c1;c1;c1;c1;c1;c1;c1;;c3;c3;c3;c3;c3;c3;c3;c3;;
;t4;t7;t8;t9;t10;t11;t12;t13;;t4;t7;t8;t9;t10;t11;t12;t13;;t4;t7;t8;t9;t10;t11;t12;t13;;
g1188;-0.34;-0.13;0.36;0.49;0.56;0.05;0.01;-0.2;g1188;-0.69;0.25;0.04;0.34;-0.55;0.13;-0.53;-0.1;g1188;0.02;0.33;0.1;0.13;-0.08;-0.13;0.02;0.2
g1189;-0.45;-0.14;0.63;0.19;0.56;0.05;0.17;-0.14;g1189;-0.95;0.69;0.5;0.97;0.39;-0.14;-0.28;-0.75;g1189;0.06;-0.1;-0.26;0.12;-0.03;-0.28;-0.12;0.29
g1190;-0.01;-0.23;0.33;0.28;0.54;-0.19;0.02;-0.19;g1190;-0.05;0.02;0.23;0.03;-0.05;0.16;-0.15;-0.21;g1190;-0.14;0.3;0.16;0.16;-0.25;0.12;0.62;0.21
g1191;-0.14;-0.22;0.23;-0.34;0.21;0.03;-0.07;-0.34;g1191;0.42;0;0.64;-0.09;0.3;0;0.19;0.01;g1191;0.03;-0.04;-0.12;0.12;-0.06;0.13;0.22;0.2
g1192;-0.3;0.13;0.36;0.36;0.75;-0.11;-0.07;-0.12;g1192;-0.84;-0.13;-0.75;0.27;-0.28;0.08;-0.22;0.23;g1192;0.27;0.25;-0.08;0.34;0.43;-0.04;0.07;-0.24
g1193;-0.04;-0.11;0.45;-0.06;0.44;-0.12;0.11;0.06;g1193;-0.19;-0.04;-0.17;-0.08;-0.04;-0.22;-0.22;0.06;g1193;0.17;-0.15;-0.08;0.02;-0.19;0.05;0.05;-0.1
g1194;-0.43;-0.08;0.25;0.3;0.27;-0.17;0;-0.21;g1194;-0.34;0.19;-0.87;0.19;-0.52;0.27;-0.4;0.42;g1194;-0.34;-0.04;-0.21;-0.18;0.11;-0.16;0;0.2
g1195;-0.42;-0.08;0.34;0.07;0.25;0.03;0.23;-0.19;g1195;-0.12;0.12;0.12;0.5;0.31;0.36;-0.12;0.16;g1195;0.02;-0.09;-0.1;-0.05;-0.05;-0.02;0.13;0
g1196;0.16;-0.34;0.32;0.36;0.14;0.07;0.1;-0.24;g1196;-0.66;0.44;0.05;0.35;-0.38;-0.05;-0.44;-0.42;g1196;0.16;0.23;0.09;0.29;0.04;0.07;-0.23;-0.02
g1197;0.1;-0.03;0.09;0;-0.21;-0.05;0.12;-0.25;g1197;0.21;0.2;-0.22;0.01;-0.24;-0.02;0.2;0.26;g1197;-0.27;-0.01;0.13;0.11;0.27;0.11;0.01;-0.2
g1198;0.19;-0.15;0.2;0.03;0.09;0.03;0.15;-0.45;g1198;-0.56;0.09;-0.67;0.09;-0.4;0.31;-0.73;0.39;g1198;-0.31;0.26;0.19;0.19;-0.24;0.16;0.18;0
g1199;0.11;0.04;0.04;0.11;-0.31;-0.13;0.08;-0.19;g1199;0.12;0.12;-0.41;-0.27;-0.6;-0.1;0.49;0.12;g1199;-0.14;0.07;0.11;-0.45;0.28;0;0.04;-0.05
